
[00:00:00.000 --> 00:00:02.000]  我們在地上的父親
[00:00:02.000 --> 00:00:04.000]  有時用盡方法
[00:00:04.000 --> 00:00:06.000]  希望子女明白
[00:00:06.000 --> 00:00:08.000]  爸爸的心聲
[00:00:08.000 --> 00:00:10.000]  但有時方法是錯的
[00:00:10.000 --> 00:00:12.000]  效果就適得其反
[00:00:12.000 --> 00:00:14.000]  有一個
[00:00:14.000 --> 00:00:16.000]  五歲的小女孩
[00:00:16.000 --> 00:00:18.000]  有一晚睡覺
[00:00:18.000 --> 00:00:20.000]  外邊行雷閃電
[00:00:20.000 --> 00:00:22.000]  她很害怕
[00:00:22.000 --> 00:00:24.000]  她走進了爸爸媽媽的房間
[00:00:24.000 --> 00:00:26.000]  她想找媽媽
[00:00:26.000 --> 00:00:28.000]  誰知吵醒了爸爸
[00:00:28.000 --> 00:00:30.000]  爸爸就很生氣
[00:00:30.000 --> 00:00:32.000]  「你快點回房睡」
[00:00:32.000 --> 00:00:34.000]  「不要煩著我」
[00:00:34.000 --> 00:00:36.000]  這個小女孩就說
[00:00:36.000 --> 00:00:38.000]  「爸爸我很害怕」
[00:00:38.000 --> 00:00:40.000]  這個爸爸就更生氣
[00:00:40.000 --> 00:00:42.000]  對她大叫
[00:00:42.000 --> 00:00:46.000]  「有什麼理由你五歲都不能面對行雷閃電?」
[00:00:46.000 --> 00:00:48.000]  「你快點回房睡」
[00:00:48.000 --> 00:00:50.000]  「不要再煩我」
[00:00:50.000 --> 00:00:52.000]  這個小女孩沒辦法
[00:00:52.000 --> 00:00:54.000]  被爸爸趕走了
[00:00:54.000 --> 00:00:56.000]  她去到浴室裏面
[00:00:56.000 --> 00:00:58.000]  在浴缸
[00:00:58.000 --> 00:01:00.000]  打著燈
[00:01:00.000 --> 00:01:02.000]  過了一晚
[00:01:02.000 --> 00:01:04.000]  她反鎖自己在浴室裏面
[00:01:04.000 --> 00:01:06.000]  結果
[00:01:06.000 --> 00:01:08.000]  每次行雷閃電
[00:01:08.000 --> 00:01:10.000]  這個小女孩就進了浴室
[00:01:10.000 --> 00:01:12.000]  反鎖在裏面
[00:01:12.000 --> 00:01:14.000]  開著燈過夜
[00:01:14.000 --> 00:01:16.000]  這是真人真事
[00:01:16.000 --> 00:01:18.000]  到今天這個小女孩
[00:01:18.000 --> 00:01:20.000]  她不再害怕行雷閃電
[00:01:20.000 --> 00:01:22.000]  但她害怕誰?
[00:01:22.000 --> 00:01:24.000]  她害怕爸爸
[00:01:24.000 --> 00:01:26.000]  她害怕和爸爸溝通
[00:01:26.000 --> 00:01:30.000]  我們每個人的地上父親
[00:01:30.000 --> 00:01:32.000]  都很想我們明白爸爸的心聲
[00:01:32.000 --> 00:01:34.000]  但我們會用我們的方法
[00:01:34.000 --> 00:01:36.000]  很多時候是錯的方法
[00:01:36.000 --> 00:01:38.000]  結果就適得其反
[00:01:38.000 --> 00:01:40.000]  但我們有一個天上的父親
[00:01:40.000 --> 00:01:44.000]  他同樣想我們明白他的心聲
[00:01:44.000 --> 00:01:46.000]  而他的方法就是永遠都不會錯的
[00:01:46.000 --> 00:01:48.000]  為什麼呢?
[00:01:48.000 --> 00:01:50.000]  因為這位天上的神
[00:01:50.000 --> 00:01:52.000]  他親自來到世間
[00:01:52.000 --> 00:01:54.000]  他告訴我們
[00:01:54.000 --> 00:01:56.000]  祂是怎樣的神
[00:01:56.000 --> 00:01:58.000]  耶穌基督來到這個世界
[00:01:58.000 --> 00:02:00.000]  告訴我們
[00:02:00.000 --> 00:02:02.000]  祂是怎樣的神
[00:02:02.000 --> 00:02:04.000]  藉著耶穌基督
[00:02:04.000 --> 00:02:06.000]  這個父懷女的獨生子
[00:02:06.000 --> 00:02:08.000]  將天父表明出來
[00:02:08.000 --> 00:02:10.000]  這位上帝用了一個
[00:02:10.000 --> 00:02:12.000]  最有效最幫到我們的方法
[00:02:12.000 --> 00:02:14.000]  而今天
[00:02:14.000 --> 00:02:16.000]  我們一起看這一段經文
[00:02:16.000 --> 00:02:18.000]  在《馬太福音》第六章的經文
[00:02:18.000 --> 00:02:20.000]  這裡耶穌教導
[00:02:20.000 --> 00:02:22.000]  門徒怎樣祈禱
[00:02:22.000 --> 00:02:24.000]  祈禱不單是
[00:02:24.000 --> 00:02:26.000]  我們向神
[00:02:26.000 --> 00:02:28.000]  向天父
[00:02:28.000 --> 00:02:30.000]  去講我們的心聲
[00:02:30.000 --> 00:02:32.000]  而祈禱也是一個
[00:02:32.000 --> 00:02:34.000]  途徑我們去明白
[00:02:34.000 --> 00:02:36.000]  天父的心意
[00:02:36.000 --> 00:02:38.000]  所以最好的祈禱是什麼呢?
[00:02:38.000 --> 00:02:40.000]  能夠我們講到天父的心意
[00:02:40.000 --> 00:02:42.000]  所以這個
