
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹 早安
[00:00:02.000 --> 00:00:05.000]  多謝主席剛才的禱告
[00:00:05.000 --> 00:00:09.000]  基本上就將我今天要講的道已經傳耀了
[00:00:09.000 --> 00:00:14.000]  我們人生有很多的計劃
[00:00:14.000 --> 00:00:16.000]  我們會計劃我們的未來
[00:00:16.000 --> 00:00:18.000]  計劃結婚 計劃生小孩
[00:00:18.000 --> 00:00:22.000]  計劃我們的子女什麼時候去出國留學
[00:00:22.000 --> 00:00:25.000]  計劃什麼時候去買樓 換樓
[00:00:25.000 --> 00:00:28.000]  或者甚至乎買車換車
[00:00:28.000 --> 00:00:31.000]  計劃要賺很多很多的錢
[00:00:31.000 --> 00:00:33.000]  大家知不知道近期
[00:00:33.000 --> 00:00:36.000]  最能夠賺到錢的是什麼呢
[00:00:36.000 --> 00:00:40.000]  是的 大家都是要很有留意新聞
[00:00:40.000 --> 00:00:43.000]  就是買iPhone 6 還要plus
[00:00:43.000 --> 00:00:45.000]  iPhone 6都不值錢的
[00:00:45.000 --> 00:00:48.000]  為什麼呢 因為當再易手的時候
[00:00:48.000 --> 00:00:52.000]  往往原來是比原價可以賺多一倍
[00:00:52.000 --> 00:00:54.000]  所以有些人就去計劃
[00:00:54.000 --> 00:00:59.000]  怎樣去得到所謂的金磚
[00:00:59.000 --> 00:01:02.000]  有些人提早一個星期去排隊
[00:01:02.000 --> 00:01:04.000]  誰知及後發現是排錯隊
[00:01:04.000 --> 00:01:09.000]  也有些人去到當網上可以開賣的時候
[00:01:09.000 --> 00:01:13.000]  幾部電腦在面前一直不停地按
[00:01:13.000 --> 00:01:15.000]  我不知道你有沒有按壞你的鍵盤
[00:01:15.000 --> 00:01:19.000]  不同的人很想去得到
[00:01:19.000 --> 00:01:22.000]  以至到能夠可以賺到快錢
[00:01:22.000 --> 00:01:27.000]  有些人都會計劃去想想未來的退休生活
[00:01:27.000 --> 00:01:29.000]  最近在這半年裏面
[00:01:29.000 --> 00:01:33.000]  我都接到一些我不知道是誰的人打來給我
[00:01:33.000 --> 00:01:36.000]  跟我談一下將來我的退休金
[00:01:36.000 --> 00:01:39.000]  他說退休之後沒有一兩千萬
[00:01:39.000 --> 00:01:41.000]  很難維持生活
[00:01:41.000 --> 00:01:43.000]  對你來說可能覺得嫌少
[00:01:43.000 --> 00:01:45.000]  一兩千萬怎麼止
[00:01:45.000 --> 00:01:47.000]  對我來說是一個天文數字
[00:01:47.000 --> 00:01:50.000]  你對於明日發生的事情
[00:01:50.000 --> 00:01:53.000]  究竟有多大的把握呢
[00:01:53.000 --> 00:01:56.000]  在為未來去計劃的時候
[00:01:56.000 --> 00:01:59.000]  已經成為了我們生活裏面的一部份
[00:01:59.000 --> 00:02:02.000]  很多人都會習慣將明日要做的事情
[00:02:02.000 --> 00:02:05.000]  都會很仔細地去列出
[00:02:05.000 --> 00:02:07.000]  很擔心有什麼遺漏
[00:02:07.000 --> 00:02:11.000]  沒錯 預先計劃固然是一件好事
[00:02:11.000 --> 00:02:13.000]  但我們要小心
[00:02:13.000 --> 00:02:15.000]  我們要警醒墮入
[00:02:15.000 --> 00:02:22.000]  小心誤以為人是可以掌握一切的陷阱
[00:02:22.000 --> 00:02:27.000]  真言教導我們怎樣去待人接物
[00:02:27.000 --> 00:02:30.000]  但更加重要它提醒我們
[00:02:30.000 --> 00:02:34.000]  我們和神之間的真正關係
[00:02:34.000 --> 00:02:38.000]  究竟我們怎樣去計劃我們的人生呢
[00:02:38.000 --> 00:02:39.000]  以達到走向
[00:02:39.000 --> 00:02:42.000]  我們是走向一個標竿人生
[00:02:42.000 --> 00:02:48.000]  一個按神給我們生命的計劃目標而進發的人生
[00:02:48.000 --> 00:02:51.000]  而不是一個標項的人生
[00:02:51.000 --> 00:02:53.000]  什麼是標項的人生呢
[00:02:53.000 --> 00:02:55.000]  就是我們按著自己的心意
[00:02:55.000 --> 00:03:00.000]  凝凝逆逆地流汗地去空跑我們一生
[00:03:00.000 --> 00:03:03.000]  卻是不知為何
[00:03:03.000 --> 00:03:07.000]  剛才主席也帶領我們一起去看
[00:03:07.000 --> 00:03:10.000]  今天我們要看的這段經文
[00:03:10.000 --> 00:03:13.000]  這段經文提醒我們
[00:03:13.000 --> 00:03:17.000]  作為神管家要注意的事項
[00:03:17.000 --> 00:03:19.000]  究竟什麼是管家呢
[00:03:19.000 --> 00:03:24.000]  強調我們的人生是一個被託管的人生
[00:03:24.000 --> 00:03:26.000]  上帝在我們生命裏面
[00:03:26.000 --> 00:03:28.000]  祂固然就是我們的主宰
[00:03:28.000 --> 00:03:32.000]  而我們自己就是生命的管家
[00:03:32.000 --> 00:03:36.000]  當我們去計劃未來的時候
[00:03:36.000 --> 00:03:39.000]  往往我們都會有三種錯誤的態度
[00:03:39.000 --> 00:03:41.000]  第一種錯誤的態度
[00:03:41.000 --> 00:03:45.000]  就是我們按著我們個人的期望來做策劃
[00:03:45.000 --> 00:03:46.000]  經文裏面提到
[00:03:46.000 --> 00:03:49.000]  這裏有羊群和牛群
[00:03:49.000 --> 00:03:53.000]  所指的就是一般人生命裏面認為最放心
[00:03:53.000 --> 00:03:55.000]  最被祝福的部份
[00:03:55.000 --> 00:03:59.000]  同樣也是上帝所託付給我們的負擔
[00:03:59.000 --> 00:04:01.000]  物質和產業
[00:04:01.000 --> 00:04:03.000]  作為一個牧人
[00:04:03.000 --> 00:04:05.000]  他固然要非常小心
[00:04:05.000 --> 00:04:09.000]  全面地深入去照顧
[00:04:09.000 --> 00:04:13.000]  他所擁有的羊群和牛群
[00:04:13.000 --> 00:04:14.000]  經文裏面提到
[00:04:14.000 --> 00:04:18.000]  這個牧羊人會詳細察看
[00:04:18.000 --> 00:04:19.000]  意思就是說
[00:04:19.000 --> 00:04:23.000]  他會很清楚認識每一隻羊的臉孔
[00:04:23.000 --> 00:04:26.000]  很懂得分別牠們的樣貌
[00:04:26.000 --> 00:04:30.000]  了解牠們的特點和需要
[00:04:30.000 --> 00:04:32.000]  下半節亦提到這個牧人
[00:04:32.000 --> 00:04:35.000]  他會留心了理牠的牛群
[00:04:35.000 --> 00:04:36.000]  意思就是說
[00:04:36.000 --> 00:04:39.000]  他會將牛群放在他的心上
[00:04:39.000 --> 00:04:42.000]  當我們去計劃未來的時候
[00:04:42.000 --> 00:04:44.000]  我們必須先要了解
