
[00:00:00.000 --> 00:00:03.000]  在剛剛的星期三下班之後
[00:00:03.000 --> 00:00:05.000]  打算出去走走
[00:00:05.000 --> 00:00:07.000]  因為坐了一整天
[00:00:07.000 --> 00:00:10.000]  不如做一些運動
[00:00:10.000 --> 00:00:13.000]  走到柴灣港鐵站的時候
[00:00:13.000 --> 00:00:16.000]  想起有位弟兄
[00:00:16.000 --> 00:00:19.000]  跌倒進了醫院
[00:00:19.000 --> 00:00:27.000]  當時轉變原本是想散步
[00:00:27.000 --> 00:00:31.000]  乘車去了東區醫院
[00:00:31.000 --> 00:00:33.000]  探望這位弟兄
[00:00:33.000 --> 00:00:35.000]  去到床邊的時候
[00:00:35.000 --> 00:00:39.000]  剛好有位醫生在他身邊說
[00:00:39.000 --> 00:00:43.000]  要從你去驗血
[00:00:43.000 --> 00:00:46.000]  準備做一個手術
[00:00:46.000 --> 00:00:49.000]  原來他的血小板低
[00:00:49.000 --> 00:00:53.000]  所以院協都要仔細清楚
[00:00:53.000 --> 00:00:58.000]  覺得他的情況可以幫他做手術
[00:00:58.000 --> 00:01:03.000]  原來他左邊的腦部有一些積血
[00:01:03.000 --> 00:01:06.000]  因為對上一個星期六
[00:01:06.000 --> 00:01:09.000]  在家中跌倒的緣故引致
[00:01:09.000 --> 00:01:14.000]  之前我沒想過這麼快去探望這位弟兄
[00:01:14.000 --> 00:01:17.000]  因為聽聞他要做手術
[00:01:17.000 --> 00:01:19.000]  如果做手術去探望
[00:01:19.000 --> 00:01:22.000]  可能他都迷迷糊糊 累了
[00:01:22.000 --> 00:01:25.000]  但因為一直走的時候
[00:01:25.000 --> 00:01:28.000]  感到其後就覺得
[00:01:28.000 --> 00:01:30.000]  原來聖靈提醒自己
[00:01:30.000 --> 00:01:33.000]  去探望這位弟兄
[00:01:33.000 --> 00:01:35.000]  去到他還沒做手術
[00:01:35.000 --> 00:01:36.000]  還是很精神
[00:01:36.000 --> 00:01:39.000]  所以可以跟他聊天
[00:01:39.000 --> 00:01:40.000]  有一個關心
[00:01:40.000 --> 00:01:44.000]  跟他一起為將要做手術去禱告
[00:01:44.000 --> 00:01:46.000]  這個都是很感恩
[00:01:46.000 --> 00:01:49.000]  神體當中的帶領
[00:01:49.000 --> 00:01:53.000]  在讀經文裏面
[00:01:53.000 --> 00:01:59.000]  讓我們看到過去復活節
[00:01:59.000 --> 00:02:01.000]  受苦節
[00:02:01.000 --> 00:02:03.000]  讓我們從溫度
[00:02:03.000 --> 00:02:06.000]  耶穌基督因為愛神的緣故
[00:02:06.000 --> 00:02:09.000]  信服神的旨意
[00:02:09.000 --> 00:02:12.000]  走上十字架的路
[00:02:12.000 --> 00:02:16.000]  愛和信服都是分不開
[00:02:16.000 --> 00:02:19.000]  我們都可以遵行神的說話
[00:02:19.000 --> 00:02:23.000]  神的命令去取悅神
[00:02:23.000 --> 00:02:29.000]  亦都表示我們對神一份愛心的表達
[00:02:29.000 --> 00:02:36.000]  但在這個充滿敵對神的環境裏
[00:02:36.000 --> 00:02:40.000]  信徒去遵行神的誡明
[00:02:40.000 --> 00:02:42.000]  真是不容易
[00:02:42.000 --> 00:02:45.000]  所以主耶穌為我們預備保衛詩
[00:02:45.000 --> 00:02:51.000]  成為我們大大的祝福支持幫助
[00:02:51.000 --> 00:02:55.000]  幫助我們去面對不同的處境
[00:02:55.000 --> 00:03:00.000]  保衛詩原來昔日是指到一些
[00:03:00.000 --> 00:03:03.000]  在法庭被召來
[00:03:03.000 --> 00:03:07.000]  為著被告去作證的人
[00:03:07.000 --> 00:03:12.000]  為著被告去申辯求情的人
[00:03:12.000 --> 00:03:16.000]  亦都指到當人在困境裏
[00:03:16.000 --> 00:03:21.000]  保衛詩可以為這個有困難的人
[00:03:21.000 --> 00:03:26.000]  成為他一個問題的幫助支援
[00:03:26.000 --> 00:03:31.000]  意思是主差遣聖靈
[00:03:31.000 --> 00:03:35.000]  在我們當中成為我們隨時的幫助
[00:03:35.000 --> 00:03:37.000]  保護我們
[00:03:37.000 --> 00:03:46.000]  內文裏提到「另外賜給我們一位的保衛詩」
[00:03:46.000 --> 00:03:51.000]  表明耶穌在世時和門徒在一起
[00:03:51.000 --> 00:03:56.000]  祂已經成為門徒第一位的保衛詩
[00:03:56.000 --> 00:04:01.000]  當五旬節聖靈降臨在信徒身上
[00:04:01.000 --> 00:04:07.000]  加上主耶穌聖靈有兩位保衛詩
[00:04:07.000 --> 00:04:10.000]  成為眾信徒的幫助
[00:04:10.000 --> 00:04:14.000]  如果我們看約翰一書二章一節裏
[00:04:14.000 --> 00:04:19.000]  講到「在乎那裏我們有一位的中保
[00:04:19.000 --> 00:04:22.000]  就是那二者耶穌基督」
[00:04:22.000 --> 00:04:27.000]  這個中保這個字和保衛詩是同一個字
[00:04:27.000 --> 00:04:32.000]  意思是主自己是我們的保衛詩
[00:04:32.000 --> 00:04:36.000]  也差遣聖靈成為我們的保衛詩
[00:04:36.000 --> 00:04:38.000]  可以看到主耶穌對我們
[00:04:38.000 --> 00:04:42.000]  對適合門徒那份愛是多麼深
[00:04:42.000 --> 00:04:49.000]  保衛詩永遠可以和我們一起
[00:04:49.000 --> 00:04:55.000]  耶穌將要離開門徒的時候
[00:04:55.000 --> 00:04:59.000]  求父差遣另一位的保衛詩
[00:04:59.000 --> 00:05:01.000]  和門徒在一起
[00:05:01.000 --> 00:05:05.000]  扮演著耶穌和他們同行的角色
