
[00:00:00.000 --> 00:00:07.000]  我相信無論我們安坐在教會之中,或者在家看網上直播,
[00:00:07.000 --> 00:00:11.000]  我們相信主耶穌基督對我們說這個笑話願你們平安,
[00:00:11.000 --> 00:00:16.000]  是我們真是到現在的情況來說是非常之需要的,
[00:00:16.000 --> 00:00:20.000]  是上帝自己給我們的一個平安。
[00:00:20.000 --> 00:00:24.000]  我想在過去的一段日子裡面,
[00:00:24.000 --> 00:00:27.000]  每一位牧師,每一位傳道,
[00:00:27.000 --> 00:00:33.000]  在講台上宣講上帝的訊息都是一件較為困難的事。
[00:00:33.000 --> 00:00:39.000]  很多人在質疑到底講道還有沒有用,
[00:00:39.000 --> 00:00:45.000]  或者有些人就說到底我們讀的經文對我們今天的生活起什麼作用,
[00:00:45.000 --> 00:00:49.000]  因此很多人無論在家裡,在街上,
[00:00:49.000 --> 00:00:52.000]  他們生命裡遇到困難的時候,
[00:00:52.000 --> 00:00:57.000]  覺得講台上的訊息對他們好像離得太遠了。
[00:00:57.000 --> 00:01:02.000]  但是我們人的生命總是在一些緊張的關頭的時候,
[00:01:02.000 --> 00:01:04.000]  就會想起一些事情,
[00:01:04.000 --> 00:01:06.000]  我真是希望今天經文裡面所說的,
[00:01:06.000 --> 00:01:09.000]  主耶穌基督能夠開我們的心窖,
[00:01:09.000 --> 00:01:13.000]  在一些特定的時刻裡面能夠想起聖經的說話,
[00:01:13.000 --> 00:01:17.000]  想起聖經裡面對我們的教導。
[00:01:17.000 --> 00:01:24.000]  其實《路加福音》第24章整篇的聖經是記載一件事,
[00:01:24.000 --> 00:01:29.000]  我們剛剛所讀的44到49節是其中最後的一個片段,
[00:01:29.000 --> 00:01:33.000]  實際上我們在主義學裡面,或者在團體裡面,
[00:01:33.000 --> 00:01:35.000]  或者在講台上面都經常講這段經文,
[00:01:35.000 --> 00:01:39.000]  那段經文就是耶穌基督和二馬五師路上的兩個門徒,
[00:01:39.000 --> 00:01:42.000]  在那裡相遇的故事。
[00:01:42.000 --> 00:01:46.000]  耶穌基督已經復活了,耶路撒冷整個城在那裡大聲的,
