
[00:00:00.000 --> 00:00:02.880]  好 各位 今晚黑是最後一課
[00:00:02.880 --> 00:00:06.320]  會講一講今晚黑是怎樣上課的
[00:00:06.320 --> 00:00:11.440]  今晚會由第一章看到第三章一次過看完
[00:00:11.440 --> 00:00:16.680]  因為如果你記得 上兩課已經講了一些最重要的重點
[00:00:16.680 --> 00:00:19.720]  但我們是查經的 識經的
[00:00:19.720 --> 00:00:22.440]  所以有些經文我們未看不可以不看
[00:00:22.440 --> 00:00:24.160]  所以今晚黑會看完
[00:00:24.160 --> 00:00:27.440]  有時候我們很快就會看第一章和第二章
[00:00:27.440 --> 00:00:31.000]  然後休息 休息之前有些廣告時間
[00:00:31.000 --> 00:00:34.880]  我們這個教會有些特別的聚會
[00:00:34.880 --> 00:00:38.840]  而我們大埔也很想你們去祈禱
[00:00:38.840 --> 00:00:43.120]  因為我們在林村許願樹旁邊開報道會
[00:00:43.120 --> 00:00:44.280]  是不是很可怕
[00:00:44.280 --> 00:00:48.840]  靈界裏面很大挑戰 到時再講一講
[00:00:48.840 --> 00:00:52.200]  休息一會後我們會看第三章
[00:00:52.200 --> 00:00:55.080]  第一第二章會很快看 因為我們已經看了
[00:00:55.080 --> 00:01:00.600]  今晚沒有PowerPoint 我們特別上一課已經看了焦點
[00:01:00.600 --> 00:01:04.240]  但我很想和大家了解聖經特別第三章
[00:01:04.240 --> 00:01:08.440]  講到神的作為的時候 與古時一樣
[00:01:08.440 --> 00:01:14.120]  看那些經文究竟和他們之前發生了甚麼事
[00:01:14.120 --> 00:01:16.440]  我們會來帶大家去看這些
[00:01:16.440 --> 00:01:19.400]  好 我們開始的時候先低頭我們去祈禱
[00:01:25.080 --> 00:01:41.440]  我們很快 由第一章的第一節讀到第四節
[00:01:41.440 --> 00:01:42.640]  我們一起來讀出
[00:01:42.640 --> 00:01:45.360]  第一章的第一到第四節我們一起來讀出
[00:01:55.080 --> 00:01:58.640]  我愛求你 你還不拯救?
[00:01:58.640 --> 00:02:01.400]  你為何使我看見罪孽?
[00:02:01.400 --> 00:02:04.760]  你為何看著姦惡而不理?
[00:02:04.760 --> 00:02:07.720]  毀滅和強暴在我面前
[00:02:07.720 --> 00:02:11.120]  又起了爭端和相鬥的事
[00:02:11.120 --> 00:02:15.120]  因此律法放鬆 公理也不顯明
[00:02:15.120 --> 00:02:17.160]  惡人為困二人
[00:02:17.160 --> 00:02:20.080]  所以公理顯然顛倒
[00:02:20.080 --> 00:02:21.560]  我們講了這個背景
[00:02:21.560 --> 00:02:26.840]  當先知見到國家裏有很多混亂、不公平的事發生
[00:02:26.840 --> 00:02:30.000]  他在質問神為何會這樣
[00:02:30.000 --> 00:02:32.400]  他的質問是基於他對神的認識
[00:02:32.400 --> 00:02:35.720]  因為他相信他的神是一位公義聖潔的神
[00:02:35.720 --> 00:02:39.320]  為何可以有這麼多不公平的事發生呢?
[00:02:39.320 --> 00:02:41.440]  於是他就來求問神
[00:02:41.440 --> 00:02:44.440]  這個很值得我們去學習和反思
[00:02:44.440 --> 00:02:48.400]  當我們有問題、困難、困擾的時候
[00:02:48.400 --> 00:02:52.200]  我們應該可以很坦誠去問神
[00:02:52.200 --> 00:02:54.680]  究竟為何會有這些事發生
[00:02:54.680 --> 00:02:58.040]  神是接受一個誠實的懷疑者
[00:02:58.040 --> 00:03:00.800]  當我們在信仰上有掙扎的時候
[00:03:00.800 --> 00:03:03.000]  其實這個掙扎是一個祝福
[00:03:03.000 --> 00:03:06.480]  如果我們經歷到這個掙扎之後
[00:03:06.480 --> 00:03:08.360]  其實我們的信心會更加強
[00:03:08.360 --> 00:03:09.680]  你不知我們要何時
[00:03:09.680 --> 00:03:11.840]  因為強暴哀求理你還不拯救
[00:03:11.840 --> 00:03:13.920]  他看見國中裏面有很多的人
[00:03:13.920 --> 00:03:16.280]  有錢的人欺負窮人
[00:03:16.280 --> 00:03:20.360]  而一些法律又很不明顯
[00:03:20.360 --> 00:03:26.080]  甚至一些審判官就因為錢的緣故而收受賄賂
[00:03:26.080 --> 00:03:28.400]  他們就會來屈往正直
[00:03:28.400 --> 00:03:31.400]  所以他發覺為何這樣都可以呢?
[00:03:31.400 --> 00:03:33.600]  他就在問神這件事
[00:03:33.600 --> 00:03:37.760]  使我看見罪孽,你為何看著姦惡而不理呢?
[00:03:37.760 --> 00:03:41.280]  毀滅和強暴在我面前,又豈料爭點和相鬥的事
[00:03:41.280 --> 00:03:45.080]  今晚或明天我都會錄永善論壇
[00:03:45.080 --> 00:03:47.360]  大家知道過去這個星期日
[00:03:47.360 --> 00:03:51.720]  已經西九龍補選
[00:03:51.720 --> 00:03:54.320]  結果所謂泛民的就輸了
[00:03:54.320 --> 00:03:55.600]  李卓人輸了
[00:03:55.600 --> 00:03:59.640]  馮檢基加起來都輸了九百多票
[00:03:59.640 --> 00:04:01.200]  所以人們就說不關事
[00:04:01.200 --> 00:04:02.160]  但不是的
[00:04:02.160 --> 00:04:03.440]  我會解釋
[00:04:03.440 --> 00:04:05.440]  因為有很多中間派見到大家在爭拗
[00:04:05.440 --> 00:04:08.560]  我就懶得去參與
[00:04:08.560 --> 00:04:14.960]  所以那個投票數字不能反映真實的情況
[00:04:14.960 --> 00:04:16.280]  我舉一個例子,很不幸
[00:04:16.280 --> 00:04:17.320]  我曾經說過
[00:04:17.320 --> 00:04:20.280]  今晚有一位在紐西蘭過來
[00:04:20.280 --> 00:04:22.960]  在紐西蘭一個地方
[00:04:22.960 --> 00:04:25.040]  不說了,有錄音
[00:04:25.040 --> 00:04:28.240]  那個地方很小,只有一間華人教會
[00:04:28.240 --> 00:04:31.720]  但後來那個牧師回來香港有事
[00:04:31.720 --> 00:04:34.600]  原來有另一個牧師頂替他
[00:04:34.600 --> 00:04:38.400]  回去之後,兩個就有很多問題產生
[00:04:38.400 --> 00:04:41.200]  不知為何一山不能藏二虎
