
[00:00:00.000 --> 00:00:05.000]  安提柯教會聽到聖靈的呼召
[00:00:05.000 --> 00:00:11.000]  叫他們來猜派巴拿巴和保羅出去
[00:00:11.000 --> 00:00:15.000]  做宣教傳福音的工作
[00:00:15.000 --> 00:00:19.000]  安提柯教會是一個新興的教會
[00:00:19.000 --> 00:00:22.000]  安提柯是一個很大的城市
[00:00:22.000 --> 00:00:24.000]  在第一世紀
[00:00:24.000 --> 00:00:28.000]  安提柯是現在敘利亞的地方
[00:00:28.000 --> 00:00:31.000]  敘利亞是一個最大的城市
[00:00:31.000 --> 00:00:34.000]  教會有很多工作
[00:00:34.000 --> 00:00:38.000]  但神卻要教會來向外
[00:00:38.000 --> 00:00:42.000]  繼續傳福音的工作
[00:00:42.000 --> 00:00:47.000]  這裡提到的福音猜傳
[00:00:47.000 --> 00:00:51.000]  傳福音的工作是一個教會性的工作
[00:00:51.000 --> 00:00:53.000]  也是一個新的嘗試
[00:00:53.000 --> 00:00:59.000]  因為我們看到福音由耶路撒冷傳到撒瑪利亞
[00:00:59.000 --> 00:01:01.000]  傳到猶太傳遞
[00:01:01.000 --> 00:01:04.000]  某程度上教會是很被動的
[00:01:04.000 --> 00:01:09.000]  教會沒有一個很清楚的決定或計劃
[00:01:09.000 --> 00:01:12.000]  去推動福音的工作
[00:01:12.000 --> 00:01:15.000]  因為在耶路撒冷聖靈降臨
[00:01:15.000 --> 00:01:17.000]  使徒出去為耶穌作見證
[00:01:17.000 --> 00:01:18.000]  很多人來而已
[00:01:18.000 --> 00:01:22.000]  福音離開耶路撒冷因為有逼迫
[00:01:22.000 --> 00:01:24.000]  人們返回自己的家鄉
[00:01:24.000 --> 00:01:27.000]  福音傳到撒瑪利亞
[00:01:27.000 --> 00:01:29.000]  是因為神感到肥膩去做
[00:01:29.000 --> 00:01:31.000]  福音傳到外邦人
[00:01:31.000 --> 00:01:33.000]  傳到哥尼留一家
[00:01:33.000 --> 00:01:35.000]  是神給予一個意象去做
[00:01:35.000 --> 00:01:39.000]  全部的事情都是很被動地去做
[00:01:39.000 --> 00:01:42.000]  全部的事情都是很個人地去做
[00:01:42.000 --> 00:01:44.000]  但是在少林寺第十三章
[00:01:44.000 --> 00:01:47.000]  我們看到神開始讓教會
[00:01:47.000 --> 00:01:51.000]  有一個集體的決定去做各方面的工作
[00:01:51.000 --> 00:01:54.000]  所以保羅是被教會差派出去的
[00:01:54.000 --> 00:01:57.000]  所以我們知道保羅幾次旅行報道之後
[00:01:57.000 --> 00:01:59.000]  都是返回安藤那教會述職的
[00:01:59.000 --> 00:02:01.000]  要說他做些什麼
[00:02:01.000 --> 00:02:05.000]  所以這個工作不是保羅個人的工作
[00:02:05.000 --> 00:02:08.000]  不是保羅有感動有意象
[00:02:08.000 --> 00:02:11.000]  自己走去做傳福音的工作
[00:02:11.000 --> 00:02:13.000]  是教會差派他去的
[00:02:13.000 --> 00:02:15.000]  是教會有意象
[00:02:15.000 --> 00:02:19.000]  是教會知道神的心意
[00:02:19.000 --> 00:02:21.000]  要將福音從耶路撒冷
[00:02:21.000 --> 00:02:24.000]  由大全地撒瑪利亞直到地極
[00:02:24.000 --> 00:02:26.000]  要去為耶穌基督作見證
[00:02:26.000 --> 00:02:30.000]  所以教會是要出去做一些事情的
[00:02:30.000 --> 00:02:34.000]  今天我們很擔心教會忘記了自己的使命
[00:02:34.000 --> 00:02:36.000]  當教會經過五十年
[00:02:36.000 --> 00:02:39.000]  當教會經過二千年
[00:02:39.000 --> 00:02:41.000]  當教會在很多不同的地方
[00:02:41.000 --> 00:02:43.000]  經過很多代人之後
[00:02:43.000 --> 00:02:48.000]  我們開始慢慢失去了教會的使命
[00:02:48.000 --> 00:02:51.000]  我們忘記了神為什麼要設立教會
[00:02:51.000 --> 00:02:54.000]  神呼召門徒聚集他們
[00:02:54.000 --> 00:02:57.000]  要讓他們集合他們的力量
[00:02:57.000 --> 00:02:59.000]  去做福音的工作
[00:02:59.000 --> 00:03:02.000]  去將福音傳到地極
[00:03:02.000 --> 00:03:06.000]  使萬民做耶穌基督的門徒
[00:03:06.000 --> 00:03:10.000]  教會很容易就變成一個俱樂部
[00:03:10.000 --> 00:03:11.000]  一個鄉村俱樂部
[00:03:11.000 --> 00:03:13.000]  我們要招收會員
[00:03:13.000 --> 00:03:14.000]  都要招收會員的
[00:03:14.000 --> 00:03:15.000]  鄉村俱樂部沒有會員
[00:03:15.000 --> 00:03:17.000]  要收會費的
[00:03:17.000 --> 00:03:22.000]  但是鄉村俱樂部最重要的是服務會員
[00:03:22.000 --> 00:03:24.000]  當會員入會之後
[00:03:24.000 --> 00:03:28.000]  他們就要搞很多活動來幫助他們
[00:03:28.000 --> 00:03:30.000]  來滿足他們
[00:03:30.000 --> 00:03:31.000]  來讓他們開心
[00:03:31.000 --> 00:03:32.000]  讓他們不會退會
[00:03:32.000 --> 00:03:34.000]  讓他們會介紹更多會員進去
[00:03:34.000 --> 00:03:37.000]  以至這個鄉村俱樂部
[00:03:37.000 --> 00:03:39.000]  是越來越發展得好的
[00:03:39.000 --> 00:03:42.000]  什麼叫鄉村俱樂部呢
[00:03:42.000 --> 00:03:43.000]  就是俱樂部的意思
[00:03:43.000 --> 00:03:46.000]  他們所重要的關注
[00:03:46.000 --> 00:03:49.000]  就是他們會員的需要
[00:03:49.000 --> 00:03:51.000]  但是我們是教會
[00:03:51.000 --> 00:03:53.000]  我們不是鄉村俱樂部
[00:03:53.000 --> 00:03:57.000]  我們最重要的不是會友的需要
[00:03:57.000 --> 00:03:58.000]  因為會友都有需要
[00:03:58.000 --> 00:04:01.000]  我們都可以有能力幫助一下
[00:04:01.000 --> 00:04:04.000]  但是一個教會最重要做的事
[00:04:04.000 --> 00:04:07.000]  就是要使萬民做耶穌基督的門徒
[00:04:07.000 --> 00:04:09.000]  就是說我們最關注的
[00:04:09.000 --> 00:04:13.000]  是那些未信耶穌的人的需要
[00:04:13.000 --> 00:04:16.000]  我們的教會很容易失去了這個使命
[00:04:16.000 --> 00:04:18.000]  變成一個鄉村俱樂部
[00:04:18.000 --> 00:04:21.000]  我們只是關心我們會友的需要
[00:04:21.000 --> 00:04:23.000]  因為我們是講會眾制的
[00:04:23.000 --> 00:04:25.000]  我們會友選出來的
[00:04:25.000 --> 00:04:27.000]  我們的教會是由會友領導的
[00:04:27.000 --> 00:04:28.000]  所以會友需要什麼
[00:04:28.000 --> 00:04:30.000]  我們就要提供什麼
[00:04:30.000 --> 00:04:31.000]  這個不是一個教會
[00:04:31.000 --> 00:04:34.000]  這個是一個俱樂部
[00:04:34.000 --> 00:04:38.000]  一個教會是關注耶穌基督的心意的
[00:04:38.000 --> 00:04:39.000]  耶穌基督的心意
[00:04:39.000 --> 00:04:41.000]  是要使萬民做耶穌基督的門徒
[00:04:41.000 --> 00:04:43.000]  所以對我們的教會來說
[00:04:43.000 --> 00:04:47.000]  最重要的就是外面的人的需要
[00:04:47.000 --> 00:04:50.000]  最重要就是使更多人來認識耶穌
[00:04:50.000 --> 00:04:52.000]  這些人能不能來到我們教會
[00:04:52.000 --> 00:04:53.000]  總是次要的
[00:04:53.000 --> 00:04:55.000]  如果教會只是關心
[00:04:55.000 --> 00:04:57.000]  他的教會多不多人呢
[00:04:57.000 --> 00:04:59.000]  多不多會友呢
[00:04:59.000 --> 00:05:00.000]  多不多人奉獻呢
[00:05:00.000 --> 00:05:02.000]  多不多人參與呢
[00:05:02.000 --> 00:05:04.000]  這個教會一定不會做猜拳
[00:05:04.000 --> 00:05:07.000]  因為那些人一定不來你教會的
[00:05:07.000 --> 00:05:09.000]  猜拳你去別的地方傳方教
[00:05:09.000 --> 00:05:11.000]  你帶其他人去信耶穌
[00:05:11.000 --> 00:05:13.000]  一個教會如果關心
[00:05:13.000 --> 00:05:17.000]  究竟人是需要認識福音的
[00:05:17.000 --> 00:05:19.000]  什麼人最需要認識福音呢
[00:05:19.000 --> 00:05:21.000]  什麼人最容易認識福音呢
