
[00:00:00.000 --> 00:00:01.340]  你們好
[00:00:01.340 --> 00:00:06.440]  很榮幸可以來到這裡跟大家見面
[00:00:06.440 --> 00:00:12.880]  你們的地址是在這個廬山大廈是吧
[00:00:12.880 --> 00:00:14.380]  廬山 對了
[00:00:14.380 --> 00:00:16.500]  廬山 沒錯
[00:00:16.500 --> 00:00:18.000]  中國人有一句話說
[00:00:18.000 --> 00:00:20.000]  不知廬山真面目
[00:00:20.000 --> 00:00:22.900]  只緣身在此山中
[00:00:22.900 --> 00:00:27.540]  當我進入了太古城這個很大的房子
[00:00:27.540 --> 00:00:30.640]  這個群樓裏面我真的有點迷惘
[00:00:30.640 --> 00:00:32.640]  感謝主當我迷惘的時候
[00:00:32.640 --> 00:00:34.640]  我就打開我的手機
[00:00:34.640 --> 00:00:36.640]  電子手杖
[00:00:36.640 --> 00:00:40.140]  就看到張維銘傳到
[00:00:40.140 --> 00:00:42.640]  他已經把那個地圖放在那邊了
[00:00:42.640 --> 00:00:45.140]  那我就很輕鬆的就來到這裡
[00:00:45.140 --> 00:00:47.840]  沒有遲到 鯊魚也不怕
[00:00:47.840 --> 00:00:51.040]  所以我們的人生也是一樣
[00:00:51.040 --> 00:00:53.540]  是需要有一個指引
[00:00:53.540 --> 00:00:55.340]  什麼是我們的指引呢
[00:00:55.340 --> 00:00:56.640]  上帝的話語
[00:00:56.640 --> 00:00:58.640]  要我們一同來低頭禱告
[00:00:58.640 --> 00:01:01.140]  親愛的天父上帝我們謝謝你
[00:01:01.140 --> 00:01:04.140]  你愛這個太古城堂
[00:01:04.140 --> 00:01:05.640]  你愛這個教會
[00:01:05.640 --> 00:01:09.140]  因為你是用你的生命買俗為來的
[00:01:09.140 --> 00:01:11.640]  願意我們在這裡每一位貴眾
[00:01:11.640 --> 00:01:15.140]  也是傳授一個單純的心來親近你
[00:01:15.140 --> 00:01:18.140]  讓他們得教你話語的威揚
[00:01:18.140 --> 00:01:21.640]  做母者的按時派糧給他們
[00:01:21.640 --> 00:01:23.140]  讓他們成長
[00:01:24.140 --> 00:01:27.140]  禱告奉告我主基督耶穌的名氣
