
[00:00:00.000 --> 00:00:03.580]  今天要講羅馬書第十七章
[00:00:03.580 --> 00:00:05.360]  就是羅馬書的七章
[00:00:05.360 --> 00:00:07.460]  七至十三節
[00:00:07.460 --> 00:00:10.120]  我們又是講七節的經文
[00:00:10.120 --> 00:00:11.320]  不要講太多
[00:00:11.320 --> 00:00:14.660]  太多可能不能消化
[00:00:14.660 --> 00:00:20.540]  羅馬書第七章是講信徒和律法的關係
[00:00:20.540 --> 00:00:22.140]  今天我要講的
[00:00:22.140 --> 00:00:25.820]  就是律法既彰顯我們的罪性
[00:00:25.820 --> 00:00:28.140]  又引我們犯罪
[00:00:28.140 --> 00:00:29.120]  很奇怪
[00:00:29.120 --> 00:00:32.540]  律法不單止不能夠救贖我們
[00:00:32.540 --> 00:00:34.240]  不能夠定我們的罪
[00:00:34.240 --> 00:00:36.400]  反而會引我們犯罪
[00:00:36.400 --> 00:00:38.680]  會彰顯出我們的罪性
[00:00:38.680 --> 00:00:42.040]  稍後我們就會來解釋這一切
[00:00:42.040 --> 00:00:46.280]  首先我們先看看一些回顧
[00:00:46.280 --> 00:00:49.640]  羅馬書其實整部書都是在講
[00:00:49.640 --> 00:00:52.440]  因信清義的教導
[00:00:52.440 --> 00:00:55.940]  羅馬書的一章十六至十七節
[00:00:55.940 --> 00:00:59.640]  其實可以說是羅馬書的主題
[00:00:59.640 --> 00:01:01.580]  這一節的經文怎麼講
[00:01:01.580 --> 00:01:04.500]  保羅說 我不以福音為恥
[00:01:04.500 --> 00:01:07.080]  這福音本是神的大能
[00:01:07.080 --> 00:01:09.380]  要救一切相信的
[00:01:09.380 --> 00:01:11.260]  先是猶太人
[00:01:11.260 --> 00:01:13.020]  後是希里尼人
[00:01:13.020 --> 00:01:17.500]  因為神的義正在這福音上顯明出來
[00:01:17.500 --> 00:01:19.660]  這義是本於信
[00:01:19.660 --> 00:01:21.260]  以至於信
[00:01:21.260 --> 00:01:23.180]  如經上所記
[00:01:23.180 --> 00:01:25.660]  義人因信得信
[00:01:25.660 --> 00:01:30.380]  因信得信就是保羅所講的因信清義
[00:01:30.380 --> 00:01:33.620]  在羅馬書的第一章和第二章
[00:01:33.620 --> 00:01:36.960]  保羅說出救贖的需要
[00:01:36.960 --> 00:01:39.300]  為何我們需要被神救贖
[00:01:39.300 --> 00:01:42.460]  我們每一個人生出來都是有罪性
[00:01:42.460 --> 00:01:44.160]  每一個人生出來
[00:01:44.160 --> 00:01:47.220]  都是因為亞當夏娃犯了罪
[00:01:47.220 --> 00:01:49.200]  以至我們都是罪人
[00:01:49.200 --> 00:01:51.260]  我們與神是分離
[00:01:51.260 --> 00:01:53.920]  我們需要與神和好
[00:01:53.920 --> 00:01:57.940]  這在第一章和第二章講得很清楚
[00:01:57.940 --> 00:01:59.900]  第三章和第四章
[00:01:59.900 --> 00:02:02.700]  講出了救贖的途徑
[00:02:02.700 --> 00:02:04.620]  既然我們與神分離
[00:02:04.620 --> 00:02:07.500]  怎樣能夠再次與神和好
[00:02:07.500 --> 00:02:11.280]  我們需要憑著信心來接受耶穌基督
[00:02:11.280 --> 00:02:13.420]  不是靠我們的行為
[00:02:13.420 --> 00:02:17.020]  所以保羅說義人因信得信
[00:02:17.020 --> 00:02:20.340]  一個人怎樣能夠被神稱為義人
[00:02:20.340 --> 00:02:22.660]  是靠接受耶穌基督
[00:02:22.660 --> 00:02:26.960]  以至我們能夠成為一個義人
[00:02:26.960 --> 00:02:31.060]  跟著羅馬書的第五章至第八章
[00:02:31.060 --> 00:02:35.660]  就是給我們看到救贖的三個結果
[00:02:35.660 --> 00:02:37.260]  哪三個結果
[00:02:37.260 --> 00:02:40.420]  第一 在羅馬書的第五章告訴我們
[00:02:40.420 --> 00:02:42.080]  我們接受耶穌基督
[00:02:42.080 --> 00:02:44.340]  就能夠與神和好
[00:02:44.340 --> 00:02:47.780]  能夠避開神將來的審判
[00:02:47.780 --> 00:02:49.660]  將來的怒氣
[00:02:49.660 --> 00:02:51.420]  這是第五章
[00:02:51.420 --> 00:02:53.860]  第六章告訴我們
[00:02:53.860 --> 00:02:55.740]  一個真正得救的人
