
[00:00:00.000 --> 00:00:01.540]  各位電影節目,早晨
[00:00:01.540 --> 00:00:05.480]  感謝晨,在過去五月份裏面
[00:00:05.480 --> 00:00:07.760]  我們經歷了有母親節
[00:00:07.760 --> 00:00:09.960]  未來六月份有什麼?
[00:00:09.960 --> 00:00:11.720]  父親節
[00:00:11.720 --> 00:00:13.720]  作為父母
[00:00:13.720 --> 00:00:15.460]  甚至是一個家裏面
[00:00:15.460 --> 00:00:17.720]  可能有公公婆婆,爺爺奶奶
[00:00:17.720 --> 00:00:22.800]  他們是對家庭付出很多的愛
[00:00:22.800 --> 00:00:24.160]  很多的貢獻
[00:00:24.160 --> 00:00:27.720]  是很值得我們去表揚,欣賞和紀念的
[00:00:28.060 --> 00:00:32.400]  而有些家庭多了一個角色或群體
[00:00:32.400 --> 00:00:36.360]  同樣是肩負起照顧家人的職責
[00:00:36.360 --> 00:00:38.560]  大家猜猜是什麼角色和群體?
[00:00:38.560 --> 00:00:41.640]  對,大家很聰明
[00:00:41.640 --> 00:00:42.920]  就是家庸
[00:00:42.920 --> 00:00:45.880]  原來在香港有一個
[00:00:45.880 --> 00:00:48.400]  印尼家庸關愛組
[00:00:48.400 --> 00:00:51.640]  就是一些不同的關愛機構
[00:00:51.640 --> 00:00:53.960]  他們聯合組成這個小組
[00:00:53.960 --> 00:00:55.040]  去推動
[00:00:55.040 --> 00:00:56.520]  他們鼓吹一件事
[00:00:56.520 --> 00:01:00.000]  就是原來在2011年開始
[00:01:00.000 --> 00:01:05.160]  已經想推動每年5月第四個星期日
[00:01:05.160 --> 00:01:09.080]  特別是在母親節和父親節之間
[00:01:09.080 --> 00:01:12.560]  去推動一個關愛家庸主日
[00:01:12.560 --> 00:01:16.440]  很希望香港教會的弟兄姊妹
[00:01:16.440 --> 00:01:20.600]  來到我們身邊所接觸到的家庸
[00:01:20.600 --> 00:01:23.120]  或者在社區裏面見到的家庸
[00:01:23.120 --> 00:01:27.160]  作速欣賞和謝意
[00:01:27.160 --> 00:01:32.880]  原來根據香港2021年人口普查的數據
[00:01:32.880 --> 00:01:36.200]  在香港裏面最大的傭工群體
[00:01:36.200 --> 00:01:40.520]  菲律賓籍的傭工大概有175,000
[00:01:40.520 --> 00:01:43.640]  第二大的群體是印尼籍的
[00:01:43.640 --> 00:01:45.800]  大概有133,000人
[00:01:45.800 --> 00:01:49.160]  當然也會有泰人或者越南人
[00:01:49.160 --> 00:01:52.040]  外籍家庸他們轉傳港
[00:01:52.640 --> 00:01:55.240]  香港的總人口大概是4%
[00:01:55.240 --> 00:01:58.320]  當然幾年後可能現在也會更加遞增
[00:01:58.320 --> 00:02:01.560]  即是說大概每25人左右
[00:02:01.560 --> 00:02:02.920]  大家在街上看到
[00:02:02.920 --> 00:02:07.880]  每25人原來有機會見到一個外籍的家庸
[00:02:07.880 --> 00:02:12.840]  他們從遠方他們自己的國家來到香港裏面
[00:02:12.840 --> 00:02:15.480]  進入到我們很多的家庭當中
[00:02:15.480 --> 00:02:18.320]  去照顧小朋友、照顧長者
[00:02:18.320 --> 00:02:22.600]  打點家裏面的家務
