
[00:00:00.000 --> 00:00:02.000]  我們一起做個祈禱
[00:00:02.000 --> 00:00:06.000]  繼續去聽這場講道
[00:00:06.000 --> 00:00:09.000]  我們主耶穌基督再次感謝祢
[00:00:09.000 --> 00:00:12.000]  感謝祢 祢的愛
[00:00:12.000 --> 00:00:15.000]  使我們能夠彼此相愛
[00:00:15.000 --> 00:00:19.000]  藉著祢 我們能夠明白神的心意
[00:00:19.000 --> 00:00:21.000]  因為祢是我們的榜樣
[00:00:21.000 --> 00:00:22.000]  求祢幫助我們
[00:00:22.000 --> 00:00:25.000]  求祢幫助我們藉著一層講道的信息
[00:00:25.000 --> 00:00:29.000]  能夠明白我們如何去跟隨祢
[00:00:29.000 --> 00:00:32.000]  因為我們在困難當中 在絕境當中
[00:00:32.000 --> 00:00:33.000]  我們怎樣依靠祢
[00:00:33.000 --> 00:00:35.000]  從何得到力量呢
[00:00:35.000 --> 00:00:37.000]  求祢捆綁撒旦的作為
[00:00:37.000 --> 00:00:39.000]  好使我 祢的孩子
[00:00:39.000 --> 00:00:41.000]  能夠將祢的話語能夠釋放出來
[00:00:41.000 --> 00:00:43.000]  求祢幫助我們 幫助眾人
[00:00:43.000 --> 00:00:45.000]  能夠聽得清楚 看得明白
[00:00:45.000 --> 00:00:46.000]  我們以上的禱告
[00:00:46.000 --> 00:00:48.000]  是奉主耶穌不死命之祈求
[00:00:48.000 --> 00:00:49.000]  下門
[00:00:49.000 --> 00:00:51.000]  我繼續的時候
[00:00:51.000 --> 00:00:54.000]  我就會一起看看今天的經文
[00:00:54.000 --> 00:00:56.000]  我們今天的經文再看下去的時候
[00:00:56.000 --> 00:01:01.000]  其實二十六章至三十一章是一個單元
[00:01:01.000 --> 00:01:04.000]  因為當時看到那個故事的時候
[00:01:04.000 --> 00:01:09.000]  我看到原來大衛一直都繼續被數羅去追殺
[00:01:09.000 --> 00:01:11.000]  追殺到一個地步
[00:01:11.000 --> 00:01:13.000]  大衛再次進到他的軍營
[00:01:13.000 --> 00:01:15.000]  我們在二十六章的時候
[00:01:15.000 --> 00:01:18.000]  進去軍營就拿了他的長槍
[00:01:18.000 --> 00:01:20.000]  拿了他的武器
[00:01:20.000 --> 00:01:27.000]  讓數羅知道原來大衛再在他身邊出現的時候
[00:01:27.000 --> 00:01:30.000]  他繼續放過數羅
[00:01:30.000 --> 00:01:32.000]  但是數羅不肯放手
[00:01:32.000 --> 00:01:34.000]  繼續去追殺大衛
[00:01:34.000 --> 00:01:39.000]  結果大衛和他的六百個跟隨者就投靠了菲律師人
[00:01:39.000 --> 00:01:41.000]  在投靠菲律師人的時候
[00:01:41.000 --> 00:01:48.000]  大衛就和菲律師人阿吉王去攻打數羅
[00:01:48.000 --> 00:01:51.000]  數羅看到菲律師人來攻打他的時候
[00:01:51.000 --> 00:01:54.000]  他就開始到二十八章的時候
[00:01:54.000 --> 00:01:56.000]  神很感謝神
[00:01:56.000 --> 00:02:03.000]  神就雖然大衛在阿吉王面前受到得寵
[00:02:03.000 --> 00:02:07.000]  但是當菲律師人去攻打大衛的時候
