
[00:00:00.000 --> 00:00:03.040]  成為香港最重要的國民
[00:00:03.040 --> 00:00:07.120]  因為剛剛候任特首一出來
[00:00:07.120 --> 00:00:10.620]  她當選第一個月
[00:00:10.620 --> 00:00:16.720]  她的首要任務是修補香港社會的私隱
[00:00:16.720 --> 00:00:20.520]  我都很尊重她
[00:00:20.520 --> 00:00:24.800]  所以我跟她都合作了很多年
[00:00:24.800 --> 00:00:26.880]  所以我覺得她是真心的
[00:00:26.880 --> 00:00:29.400]  所以她會有一條專行道
[00:00:29.880 --> 00:00:33.680]  不過我這裡要特別多謝張建宗市長
[00:00:33.680 --> 00:00:36.760]  因為我跟他都合作了很多年
[00:00:36.760 --> 00:00:39.400]  你知道香港現在很多私隱
[00:00:39.400 --> 00:00:42.160]  私隱最嚴重是在家裏
[00:00:42.160 --> 00:00:47.080]  所以變了一些年青人很多情緒問題
[00:00:47.080 --> 00:00:50.160]  在這裏我不說的熟悉
[00:00:50.160 --> 00:00:51.840]  很多自殺
[00:00:51.840 --> 00:00:55.400]  因為在家裏種種原因
[00:00:55.400 --> 00:00:56.960]  很困難
[00:00:57.200 --> 00:01:00.120]  當然香港很困難,很困難,很困難
[00:01:00.120 --> 00:01:05.160]  所以我跟著在4月20日
[00:01:05.160 --> 00:01:07.920]  都是沒有急來的
[00:01:07.920 --> 00:01:12.320]  叫做「跨代跨界結連同補社會私隱」
[00:01:12.320 --> 00:01:13.920]  不單止是私隱
[00:01:13.920 --> 00:01:17.320]  很多校長很多不同的界別一齊來
[00:01:17.320 --> 00:01:20.440]  用行動去回應,不是說
[00:01:20.440 --> 00:01:22.520]  因為我只覺得說是沒有用的
[00:01:22.520 --> 00:01:24.680]  而且我自己就感覺
[00:01:24.960 --> 00:01:29.240]  私隱如果你用政治的手段
[00:01:29.240 --> 00:01:32.360]  經濟的方法
[00:01:32.360 --> 00:01:37.280]  或者法律的方式處理
[00:01:37.280 --> 00:01:39.160]  不會解決到的
[00:01:39.160 --> 00:01:43.440]  因為很多私隱正是因為權力的鬥爭
[00:01:43.440 --> 00:01:47.400]  金錢的分配不平均
[00:01:47.400 --> 00:01:51.240]  於是我覺得其實如果純粹這樣
[00:01:51.240 --> 00:01:53.280]  不會解決的
[00:01:54.040 --> 00:01:56.760]  所以我就當然你都要處理
[00:01:56.760 --> 00:01:58.960]  即是你在香港你政治能力
[00:01:58.960 --> 00:01:59.880]  但我告訴你
[00:01:59.880 --> 00:02:03.440]  全世界的專家寫題目都是寫這個題目
