
[00:00:00.000 --> 00:00:08.980]  我們繼續學習「遇見耶穌,靈命會更生」系列
[00:00:08.980 --> 00:00:13.700]  過去我們不斷在聖經中尋溯
[00:00:13.700 --> 00:00:16.560]  到底遇見耶穌基督的不同
[00:00:16.560 --> 00:00:21.000]  特別是女士,過去幾次都是女士、姊妹
[00:00:21.000 --> 00:00:24.220]  如何遇見耶穌時,她的生命是如何被改變
[00:00:24.220 --> 00:00:30.300]  如果你記得不被定罪的一位女士遇見耶穌時
[00:00:30.300 --> 00:00:33.340]  她如何被主釋放、醫治
[00:00:33.340 --> 00:00:41.140]  上星期你會看到馬大馬尼亞如何遇見耶穌
[00:00:41.140 --> 00:00:44.300]  雖然遇見耶穌時被祂罵
[00:00:44.300 --> 00:00:47.920]  所以遇見耶穌時也不一定會被祂讚賞
[00:00:47.920 --> 00:00:50.880]  但也要遇見,因為不遇見祂
[00:00:50.880 --> 00:00:54.260]  他們不知道被罵,也不知道自己錯了什麼
[00:00:54.260 --> 00:00:59.900]  我們心裡很煩亂,很亡亂
[00:00:59.900 --> 00:01:04.780]  今天我們繼續看「當傾出外,打破肉瓶」
[00:01:04.780 --> 00:01:07.940]  這段經文在約翰福音十二章
[00:01:07.940 --> 00:01:11.840]  我一會兒會說之前,我想先問這個問題
[00:01:11.840 --> 00:01:17.280]  如果你所愛的親人或朋友
[00:01:17.280 --> 00:01:21.340]  去遠遊或出差,坐飛機
[00:01:21.340 --> 00:01:24.180]  你會送什麼禮物給他呢?
[00:01:24.180 --> 00:01:27.280]  有沒有想過?有沒有朋友最近要出差?
[00:01:27.280 --> 00:01:29.180]  所愛的人
[00:01:29.180 --> 00:01:32.400]  可能出差的人你不所愛,所以你不買東西
[00:01:32.400 --> 00:01:35.560]  有一個父親要坐飛機去工幹
[00:01:35.560 --> 00:01:38.240]  他的兒子給了他一份小禮物
[00:01:38.240 --> 00:01:41.280]  他將小禮物放在袋子裡,壓著它
[00:01:41.280 --> 00:01:42.960]  他對父親說
[00:01:42.960 --> 00:01:47.080]  「你去到飛機的時候,緊急的時候,你就可以打開來用了」
[00:01:47.080 --> 00:01:52.360]  他爸爸聽到後,是否最近真的有很多困難呢?
[00:01:52.360 --> 00:01:54.180]  是你給我一個錦囊,還是怎樣呢?
[00:01:54.180 --> 00:01:56.220]  但他都覺得很開心,很窩心
[00:01:56.220 --> 00:01:59.900]  因為是兒子,通常兒子都不理父母
[00:01:59.900 --> 00:02:03.940]  這個兒子很細心,放小禮物在袋子裡
[00:02:03.940 --> 00:02:08.200]  他上到飛機的時候,他就想很開心
[00:02:08.200 --> 00:02:11.880]  忍不住,又不是什麼緊急事
[00:02:11.880 --> 00:02:14.280]  他打開來看看是什麼
[00:02:14.280 --> 00:02:15.960]  打開來發現是什麼呢?
[00:02:15.960 --> 00:02:19.420]  他發現是一支很小的手霜
[00:02:19.420 --> 00:02:22.600]  手霜即是護手霜
[00:02:22.600 --> 00:02:26.080]  很香的,很有壓力的那種
[00:02:26.080 --> 00:02:29.980]  他看到有一張小紙
[00:02:29.980 --> 00:02:31.460]  那張小紙說
[00:02:31.460 --> 00:02:34.620]  「爸爸,我發現你最近手很乾」
[00:02:34.620 --> 00:02:40.960]  「你如果塗上這個手霜,就可以活化、柔潤你的手了」
[00:02:40.960 --> 00:02:42.720]  好像廣告一樣
[00:02:42.720 --> 00:02:46.480]  他一邊看著那張紙,一邊塗的時候
[00:02:46.480 --> 00:02:49.320]  覺得很放鬆,很香,很舒服
[00:02:49.320 --> 00:02:51.940]  覺得兒子真的很愛他
[00:02:51.940 --> 00:02:54.040]  有沒有試過這樣的經歷?
[00:02:54.040 --> 00:02:56.080]  很羨慕吧?
[00:02:56.080 --> 00:02:57.580]  無論如何
[00:02:57.580 --> 00:03:01.980]  他塗上這個字條,原來還有一句
[00:03:01.980 --> 00:03:03.140]  那句是什麼呢?
[00:03:03.140 --> 00:03:08.140]  那句就是「爸爸,記得你見耶穌之前」
[00:03:08.140 --> 00:03:12.220]  「記得塗一塗它,才可以跟耶穌握手」
[00:03:12.220 --> 00:03:17.980]  他爸爸看完之後,他怎麼理解這句話呢?
[00:03:17.980 --> 00:03:20.640]  有時候小朋友就是這樣,天真無邪
[00:03:20.640 --> 00:03:23.780]  這句話是詛咒你,還是祝福呢?
[00:03:23.780 --> 00:03:25.660]  但無論如何,他看完之後
[00:03:25.660 --> 00:03:30.140]  他覺得兒子什麼都想好了
[00:03:30.140 --> 00:03:32.460]  如果爸爸真的有什麼空欄
[00:03:32.460 --> 00:03:38.220]  還是要塗上它,跟耶穌握手之前塗一塗它
[00:03:38.220 --> 00:03:41.920]  當你收到一些這麼驚喜的禮物
[00:03:41.920 --> 00:03:44.140]  或者是送這個禮物給別人
[00:03:44.140 --> 00:03:46.220]  你會有很多的思想當中
[00:03:46.220 --> 00:03:49.100]  收到的時候,你會有一份感覺
[00:03:49.100 --> 00:03:52.680]  送的時候,你要想想送什麼呢?
[00:03:52.680 --> 00:03:55.160]  這次我們看這段聖經
[00:03:55.160 --> 00:03:58.880]  有一位姊妹,其實就是馬尼亞
[00:03:58.880 --> 00:04:02.040]  她也送了一份很特別的禮物給耶穌
