
[00:00:00.000 --> 00:00:08.280]  根據聖經記載 耶穌出生後有一段時間
[00:00:08.280 --> 00:00:12.000]  我們不知道祂的生活是怎樣
[00:00:12.000 --> 00:00:18.280]  我們在聖誕節讀到耶穌在巴黎行出世
[00:00:18.280 --> 00:00:22.280]  聖誕節大家都唱很多歌 祂出世了
[00:00:22.280 --> 00:00:28.480]  主要是說到祂三十歲左右出來公開傳道
[00:00:28.480 --> 00:00:31.800]  但中間只有一個記載
[00:00:31.800 --> 00:00:36.400]  是有關祂由出世到三十歲之間
[00:00:36.400 --> 00:00:39.120]  就是今天我們所讀的這段聖經
[00:00:39.120 --> 00:00:44.600]  說到祂十二歲的時候去耶路撒冷這個地方
[00:00:44.600 --> 00:00:52.360]  我們首先看看地圖
[00:00:52.360 --> 00:00:59.760]  在地理上 上面是拿撒勒這個地方 耶穌長大的地方
[00:00:59.760 --> 00:01:01.760]  我們知道祂出世在巴黎行
[00:01:01.760 --> 00:01:07.160]  但後來祂回到拿撒勒這個地方 就是北部的
[00:01:07.160 --> 00:01:11.960]  就是靠近加利利湖的地方 或者加利利海
[00:01:11.960 --> 00:01:15.680]  其實是一個所謂偏遠地區
[00:01:15.680 --> 00:01:23.560]  或者是小漁村小農村的地方 祂在那個地方長大
[00:01:23.560 --> 00:01:27.040]  耶路撒冷就在這裡下面
[00:01:27.040 --> 00:01:31.560]  祂那年和家人去耶路撒冷
[00:01:31.560 --> 00:01:41.120]  這個距離由拿撒勒到耶路撒冷大概是七十五里左右
[00:01:41.120 --> 00:01:47.800]  差不多是從這裡去到明卡多 或者是羅倫斯特那邊
[00:01:47.800 --> 00:01:51.960]  開車就很快了 一個多小時就到了
[00:01:51.960 --> 00:01:54.840]  但行路就不是那麼容易
[00:01:54.840 --> 00:01:59.960]  你還要想一下 那時候的路不像現在我們的路
[00:01:59.960 --> 00:02:02.800]  像泥路 山路那樣
[00:02:02.800 --> 00:02:09.200]  還有他們多數猶太人如果是過節的時候才去耶路撒冷
[00:02:09.200 --> 00:02:13.520]  不會走這裡的地方 這裡是最近
[00:02:13.520 --> 00:02:16.840]  但那裡是撒瑪利亞人的地方
[00:02:16.840 --> 00:02:19.840]  外邦人的地方 他們避開
[00:02:19.840 --> 00:02:26.160]  所以多數走約旦河這裡比較平一點的河邊一直走下去
[00:02:26.160 --> 00:02:30.880]  來到下面這裡 耶利哥就再要爬山上去
