
[00:00:00.000 --> 00:00:02.360]  「我是生命的糧」
[00:00:02.360 --> 00:00:08.040]  對猶太人來說 耶穌這七個宣告或宣稱
[00:00:08.040 --> 00:00:12.000]  他們絕對不陌生 為什麼會引起這麼大的爭論呢
[00:00:12.000 --> 00:00:16.560]  大家也知道耶穌當時是用雅蘭話說的
[00:00:16.560 --> 00:00:20.320]  希臘文寫出來的是「我是」
[00:00:20.320 --> 00:00:24.720]  但是在猶太人的文化和背景裡 他們絕對不會陌生地說
[00:00:24.720 --> 00:00:34.600]  「我是」這個宣稱是耶和華上帝專用的一個宣稱
[00:00:34.600 --> 00:00:38.720]  所以當耶穌說「我是」的時候
[00:00:38.720 --> 00:00:42.480]  很多人就有不同的反應
[00:00:42.480 --> 00:00:44.720]  因為我們看到在NIV裡的譯奏就是爭論
[00:00:44.720 --> 00:00:48.640]  其實中文的爭論就像大家聊天 大家表達意見
[00:00:48.640 --> 00:00:57.040]  不是啊 NIV的譯奏就是Angry Debate 是一個很憤怒的 很激情的爭論
[00:00:57.040 --> 00:01:02.160]  有人想二比三就要打他了 這種的爭論
[00:01:02.160 --> 00:01:09.080]  因為這個宣稱是耶和華上帝自己的一個宣稱
[00:01:09.080 --> 00:01:14.480]  就像今天中國人也有些宣稱 你聽了之後 你會知道他在說些什麼
[00:01:14.480 --> 00:01:20.480]  以下我想說的是 朕今天龍體欠安
[00:01:20.480 --> 00:01:25.600]  待會宣讀完聖旨之後 我就要擺御駕回宮了
[00:01:25.600 --> 00:01:30.720]  你聽了這段話之後 今天真的要起床了 喉嚨痛
[00:01:30.720 --> 00:01:34.480]  你聽了這段話之後 你會說 梁振英在說些什麼
[00:01:34.480 --> 00:01:44.960]  要麼你就傻傻的 要麼你還沒做主任牧師就覺得自己是皇帝了
[00:01:44.960 --> 00:01:49.840]  你囂張不囂張啊 甚至你會覺得他神經病
[00:01:49.840 --> 00:01:57.120]  如果你真的有一個皇帝的話 這個簡直是褻瀆 這個簡直是欺君犯上
[00:01:57.120 --> 00:02:01.440]  因為秦始皇以來只有皇帝才可叫朕的
[00:02:01.440 --> 00:02:06.080]  當你聽到的時候 中國人都會知道有些尊重的名詞
[00:02:06.080 --> 00:02:14.000]  是不可以隨便說的 當你說的時候 要麼你開玩笑 要麼就亂說就痛了
[00:02:14.000 --> 00:02:18.480]  因為在猶太人來說 希臘文這個字
[00:02:18.480 --> 00:02:27.280]  Ergo emi 這個字是指自己本身 代表他自己第一生說的話
[00:02:27.280 --> 00:02:31.600]  所以你會明白 背景就是為什麼猶太人這麼憎恨耶穌
[00:02:31.600 --> 00:02:35.040]  當他說了這麼多個我事的時候
[00:02:35.040 --> 00:02:41.280]  大家知道在背景就是耶穌五餅二魚的神蹟
[00:02:41.280 --> 00:02:46.880]  這個神蹟在這段話之前發生了 在白菜大發生的
[00:02:46.880 --> 00:02:53.200]  這個神蹟是一個很重要的神蹟 因為四本福音書都有記載過
[00:02:53.200 --> 00:02:57.360]  不是每個神蹟 四本福音書都有記載的
[00:02:57.360 --> 00:03:00.640]  也不是每件事 耶穌四本福音書都有記載過
[00:03:00.640 --> 00:03:06.960]  如果你看耶穌出世 在馬可和約翰福音是沒有記載過的
[00:03:06.960 --> 00:03:11.520]  但是在四本福音書裡面都特別記載了這個神蹟
[00:03:11.520 --> 00:03:15.760]  肯定這是一個很轟轟烈烈 很重要的神蹟
[00:03:15.760 --> 00:03:21.200]  而約翰福音大家都知道 約翰是後期寫這本福音書的
[00:03:21.200 --> 00:03:26.480]  他專門抽了七個神蹟出來
[00:03:26.480 --> 00:03:30.400]  耶穌行的神蹟 約翰行的神蹟差不多有四十個左右
[00:03:30.400 --> 00:03:33.120]  而約翰只抽了七個出來 為什麼呢
[00:03:33.120 --> 00:03:35.760]  如果你看解經教的話就知道
[00:03:35.760 --> 00:03:43.280]  約翰是專門去建設這本福音書讓我們看到耶穌的神聖
[00:03:43.280 --> 00:03:57.200]  約翰覺得七個夠 為什麼呢 七個的前後 約翰也有一段辯論
[00:03:57.200 --> 00:04:00.240]  每逢有神蹟的前後都會有這些辯論
[00:04:00.240 --> 00:04:05.680]  就像他剛才所說的 讀了一大篇 實實在在告訴你們幾十次
[00:04:05.680 --> 00:04:13.840]  這個辯證是要解釋神蹟背後一些很重要的意思
[00:04:13.840 --> 00:04:19.920]  耶穌說我是好木人 耶穌說我是道路真理生命
[00:04:19.920 --> 00:04:24.240]  耶穌說我是生命的糧 我是活水
[00:04:24.240 --> 00:04:28.720]  這些不是單單一個宣告 不是單單一個神蹟做出來
[00:04:28.720 --> 00:04:34.880]  而是背後約翰要透過耶穌說的話去解釋清楚
[00:04:34.880 --> 00:04:42.000]  究竟耶穌的神聖是怎樣的 我們應該怎樣去面對耶穌基督呢
[00:04:42.000 --> 00:04:46.720]  今天我們來看其中一個神蹟之後的辯證
[00:04:46.720 --> 00:04:50.000]  五丙儒神蹟大家都很熟悉的
[00:04:50.000 --> 00:04:54.160]  很多時候我們要有猶太人的文化背景
[00:04:54.160 --> 00:04:59.600]  明白他們的背景之後 我們就明白為什麼約翰要說這一段說話
[00:04:59.600 --> 00:05:04.960]  有時候我們看六章 一直看到最後 哇 這麼深奧
[00:05:04.960 --> 00:05:11.760]  不知道說什麼吃肉 喝血 甚至有人說這是聖餐
[00:05:11.760 --> 00:05:15.280]  其實不一定的 我們看看聖經裡面怎麼說
[00:05:15.280 --> 00:05:23.760]  我們看看這三段說話 究竟耶穌要跟我們說些什麼呢
[00:05:23.760 --> 00:05:31.040]  我們第一段說話 那些人的要求就是給我東西吃
[00:05:31.040 --> 00:05:36.880]  第二段說話 那些人的要求就是給我東西吃
[00:05:36.880 --> 00:05:41.440]  第三段說話 那些人的要求就是給我好處
[00:05:41.440 --> 00:05:48.960]  我們看看耶穌怎樣回應這三段說話裡面說些什麼
[00:05:48.960 --> 00:05:54.240]  這段說話的背景 請給我一個計時器
[00:05:54.240 --> 00:06:01.440]  這個背景我怕說得太長 消防員可能會跑掉
[00:06:01.440 --> 00:06:05.040]  當時的背景很簡單
[00:06:05.040 --> 00:06:13.920]  你們都知道上文就是希律王殺了他的表哥施浸約翰
[00:06:13.920 --> 00:06:21.760]  而門徒也被他開除去做科工工作 回來做一些匯報
[00:06:21.760 --> 00:06:26.880]  還有耶穌也知道那些猶太人 因為他們做了很多神蹟
[00:06:26.880 --> 00:06:31.120]  那些猶太人就開始強迫他們做王 就是雷塞雅
[00:06:31.120 --> 00:06:37.920]  雷塞雅在猶太人的觀念裡面 雷塞雅不是一個受苦的僕人
[00:06:37.920 --> 00:06:42.480]  他看不到聖經裡面說的雷塞雅是一個受苦的僕人
[00:06:42.480 --> 00:06:48.880]  而是一個強而有力的軍事領袖
[00:06:48.880 --> 00:06:54.400]  他來到要拯救猶太人離開羅馬的統治
[00:06:54.400 --> 00:07:01.760]  所以在這個觀念裡面 耶穌不想他們有這種想法推他做王
[00:07:01.760 --> 00:07:03.760]  於是他就退去
[00:07:03.760 --> 00:07:12.560]  但是有千上萬的人說 餵飽有五千 連同小孩 連同女人
[00:07:12.560 --> 00:07:14.560]  可能已經超過一萬人了
[00:07:14.560 --> 00:07:17.520]  一萬人在當中
