
[00:00:00.000 --> 00:00:08.600]  各位大英雄,你們好,很開心可以和大家一起分享神的說話
[00:00:08.600 --> 00:00:17.180]  但是今天更加特別的感受是,因為是教會三十週年了
[00:00:17.180 --> 00:00:22.360]  三十而立,是一個新的開始
[00:00:22.360 --> 00:00:31.560]  還有就是這間教堂一開始的時候,在這間教堂一開始建堂的時候,我有份在這裡講道
[00:00:31.560 --> 00:00:38.280]  但是今天再一次能夠在大家當中,是一個祝福
[00:00:38.280 --> 00:00:42.520]  明天會有兩堂的訊息
[00:00:42.520 --> 00:00:45.960]  第一堂就是講感恩
[00:00:45.960 --> 00:00:50.960]  感恩就是我們蒙福的起點
[00:00:50.960 --> 00:00:56.080]  你越感恩,越會得到祝福
[00:00:56.080 --> 00:01:01.080]  第二堂就是要前進
[00:01:01.080 --> 00:01:05.720]  前進就是要擴展的起點
[00:01:05.720 --> 00:01:08.680]  但是今天跟大家分享的是什麼題目呢?
[00:01:08.680 --> 00:01:16.960]  因為很多時候,我們週年紀念都要回顧一下
[00:01:16.960 --> 00:01:22.160]  究竟回顧是對的還是錯的呢?
[00:01:22.160 --> 00:01:27.200]  我們會帶大家去看一看這個課題
[00:01:27.200 --> 00:01:35.320]  好了,我們有時候讀聖經的時候,會不會感覺到聖經裡面有一些矛盾呢?
[00:01:35.320 --> 00:01:41.000]  有時候,有些經文好像互相之間出了問題
[00:01:41.000 --> 00:01:43.720]  很簡單舉一個例子
[00:01:43.720 --> 00:01:49.320]  聖經說,神是絕對不會後悔的
[00:01:49.320 --> 00:01:55.840]  我們一起來讀文數記第23章第19節
[00:01:55.840 --> 00:01:58.160]  我們一起來讀出
[00:01:58.160 --> 00:02:03.600]  「神非人,必不致說謊,也非人之,必不致後悔。」
[00:02:03.600 --> 00:02:08.160]  「祂說話,豈不道者喜呢?祂發言,豈不要成就呢?」
[00:02:08.160 --> 00:02:13.360]  聖經很清楚說,神是絕對不會後悔的
[00:02:13.360 --> 00:02:16.520]  神是一位無所不知的神
[00:02:16.520 --> 00:02:21.320]  祂更加會預知事情是怎麼發生
[00:02:21.320 --> 00:02:23.440]  所以祂是不會後悔的
[00:02:23.440 --> 00:02:32.720]  人會,你有沒有見過在賭場裡的人低著頭,會怎樣呢?
[00:02:32.720 --> 00:02:37.200]  輸了錢,那你有沒有後悔呢?
[00:02:37.200 --> 00:02:44.120]  當然有,買大去開小,買小去開大
[00:02:44.120 --> 00:02:47.320]  但這些後悔是沒有用的
[00:02:47.320 --> 00:02:52.960]  聖經說,我們能夠依著神的意思
[00:02:52.960 --> 00:02:58.360]  可以產生沒有後悔的懊悔
[00:02:58.360 --> 00:03:03.720]  即是在聖靈感動之下,你承認自己的罪
[00:03:03.720 --> 00:03:07.840]  「懊悔」,但你會得救
[00:03:07.840 --> 00:03:10.720]  但另外一段經文很矛盾
[00:03:10.720 --> 00:03:14.920]  我們在《創世紀》第六章第六節
[00:03:14.920 --> 00:03:17.360]  我們一起來讀出來
[00:03:17.360 --> 00:03:21.840]  「耶和華就後悔在人在地上,心中憂傷」
[00:03:21.840 --> 00:03:25.160]  這裡很清楚說神是後悔
[00:03:25.160 --> 00:03:31.640]  聖經也說神後悔,但祂高立了數羅作王
[00:03:31.640 --> 00:03:34.320]  那究竟神是否後悔呢?
[00:03:34.320 --> 00:03:36.200]  這就是矛盾
[00:03:36.200 --> 00:03:39.160]  我們再看另外一段經文
[00:03:39.160 --> 00:03:42.200]  神很清楚宣告
[00:03:42.200 --> 00:03:47.000]  祂是「滿有恩典,慈愛,憐憫」的神
[00:03:47.000 --> 00:03:51.080]  而且祂是願意寬恕人的
[00:03:51.080 --> 00:03:57.280]  我們一起來看《創世紀》第六章第七節
[00:03:57.280 --> 00:03:58.400]  我們一起來讀出
[00:03:58.400 --> 00:04:21.760]  「耶和華在祂面前宣告說:耶和華,耶和華,是由憐憫,由恩典的神,不經意發怒,並有分勝的慈愛和誠實,為千萬人存有慈愛,赦予罪孽,過犯和罪惡,萬不以有罪的為無罪,必追討祂的罪,自父及子,直到三世代」
[00:04:21.760 --> 00:04:25.120]  這裡很清楚說神是「滿有恩典,慈愛,憐憫」的神
[00:04:25.120 --> 00:04:27.880]  這裡很清楚說神是「滿有恩典,慈愛,憐憫」的神
[00:04:27.880 --> 00:04:30.880]  最重要的是神是公義的
[00:04:30.880 --> 00:04:33.840]  「萬不以有罪的為無罪,必追討祂的罪,自父及子,直到三世代」
[00:04:33.840 --> 00:04:35.200]  「萬不以有罪的為無罪,必追討祂的罪,自父及子,直到三世代」
[00:04:35.200 --> 00:04:37.840]  第一句說話,我在報道會多數不讀這句話
[00:04:37.840 --> 00:04:40.480]  但是我們在報道會多數不讀這句話
[00:04:40.480 --> 00:04:42.080]  以免引起人們誤會
[00:04:42.080 --> 00:04:44.080]  免得人們誤會
[00:04:44.080 --> 00:04:48.560]  祂說「我會追討祂的罪,自父及子,直到三世代」
[00:04:48.560 --> 00:04:51.640]  祂說「我會追討祂的罪,自父及子,直到三世代」
[00:04:51.640 --> 00:04:53.320]  這些就是「連坐法」
[00:04:53.320 --> 00:05:01.120]  這是否最嚴重地影響「諸九族」
[00:05:01.120 --> 00:05:06.760]  這很恐怖,一個人犯罪,不是一人做事,一人當嗎?
[00:05:06.760 --> 00:05:09.840]  這很恐怖,一個人犯罪,不是一人做事,一人當嗎?
[00:05:09.840 --> 00:05:13.280]  為何要追討祂的罪,自父及子,直到三世代?
[00:05:13.280 --> 00:05:15.960]  為何要追討祂的罪,自父及子,直到三世代?
