
[00:00:00.000 --> 00:00:01.460]  (主席)親愛的弟兄姊妹,平安!
[00:00:01.460 --> 00:00:03.460]  (弟兄姊妹)平安!
[00:00:03.460 --> 00:00:07.460]  (主席)眨眨眼,今天已經是二零一九年三月最後一日了
[00:00:07.460 --> 00:00:09.460]  (主席)過了一季了
[00:00:09.460 --> 00:00:12.460]  (主席)時間真的過得很快
[00:00:12.460 --> 00:00:14.460]  (主席)記得三年之前呢
[00:00:14.460 --> 00:00:21.460]  (主席)當我兒子還是接受一個比較密集的言語治療的日子
[00:00:21.460 --> 00:00:28.460]  (主席)言語治療師其中一個要訓練剛剛才開始懂得說話的嬰兒
[00:00:28.460 --> 00:00:34.460]  (主席)就是幫助他讀出或者理解出一些
[00:00:34.460 --> 00:00:37.460]  (主席)因為XXX所以XXX
[00:00:37.460 --> 00:00:40.460]  (主席)這個這麼基本的句式
[00:00:40.460 --> 00:00:46.460]  (主席)所以當我默想今天說到這段短短八節的經課的時候
[00:00:46.460 --> 00:00:51.460]  (主席)在當中竟然出現三次所以
[00:00:51.460 --> 00:00:56.460]  (主席)就尤其令到我注意到
[00:00:56.460 --> 00:00:59.460]  (主席)這三個的所以包括什麼呢
[00:00:59.460 --> 00:01:03.460]  (主席)A部分的十六節
[00:01:03.460 --> 00:01:08.460]  (主席)所以從今以後我們不再按人的看法來認識人
[00:01:08.460 --> 00:01:10.460]  (主席)第二個部分就是B部分
[00:01:10.460 --> 00:01:12.460]  (主席)十七至十九節
[00:01:12.460 --> 00:01:15.460]  (主席)所以為
[00:01:15.460 --> 00:01:22.460]  (主席)所以成為新做的人的信徒
[00:01:22.460 --> 00:01:26.460]  (主席)已經被託付傳和好訊息的特使
[00:01:26.460 --> 00:01:28.460]  (主席)第三部分就是C部分
[00:01:28.460 --> 00:01:31.460]  (主席)就是二十至二十一節
[00:01:31.460 --> 00:01:34.460]  (主席)所以我們做基督的特使就要好像上帝
[00:01:34.460 --> 00:01:37.460]  (主席)我們勸你們一般
[00:01:37.460 --> 00:01:42.460]  (主席)究竟士徒保羅在這三個所以之前
[00:01:42.460 --> 00:01:44.460]  (主席)應該有因為的
[00:01:44.460 --> 00:01:46.460]  (主席)因為什麼所以什麼
[00:01:46.460 --> 00:01:48.460]  (主席)究竟在這三個所以之前
[00:01:48.460 --> 00:01:51.460]  (主席)究竟士徒保羅寫了什麼的因為呢
[00:01:51.460 --> 00:01:53.460]  (主席)而當中
[00:01:53.460 --> 00:01:57.460]  (主席)又帶給我們一些什麼的教導和提醒呢
[00:01:57.460 --> 00:02:00.460]  (主席)讓我們今天一起細看這段經文
[00:02:00.460 --> 00:02:02.460]  (主席)我們一起先祈禱
[00:02:02.460 --> 00:02:06.460]  (主席)親愛的聖靈
[00:02:06.460 --> 00:02:10.460]  (主席)求祢充滿我們每一位
[00:02:10.460 --> 00:02:14.460]  (主席)祢親自教導我們
[00:02:14.460 --> 00:02:16.460]  (主席)認識祢的真理
[00:02:18.460 --> 00:02:21.460]  (主席)願我們無論聽的講的
