
[00:00:00.000 --> 00:00:04.800]  今天我們繼續來看林健的第六章
[00:00:04.800 --> 00:00:08.160]  大家記不記得上星期蔡牧師說了甚麼
[00:00:08.160 --> 00:00:12.160]  至少說了第幾章
[00:00:12.160 --> 00:00:16.000]  第五章是嗎?第六章前幾天是第五章
[00:00:16.000 --> 00:00:18.720]  大家都不是很難回答的問題
[00:00:18.720 --> 00:00:20.720]  蔡牧師說了第五章
[00:00:20.720 --> 00:00:23.040]  大家還記不記得上次你說了第幾章
[00:00:23.040 --> 00:00:25.680]  說了甚麼題目
[00:00:28.480 --> 00:00:30.160]  大家都頗正常的
[00:00:30.160 --> 00:00:32.640]  上一次我說了
[00:00:32.640 --> 00:00:35.600]  第四章一個其實對我們都很熟悉的
[00:00:35.600 --> 00:00:36.880]  其中一句說話叫做
[00:00:36.880 --> 00:00:39.360]  因為我們成了一台甚麼
[00:00:39.360 --> 00:00:41.360]  成了一台戲
[00:00:41.360 --> 00:00:42.960]  其實在早之前
[00:00:42.960 --> 00:00:45.920]  4月的時候蔡牧師說了很多戲
[00:00:45.920 --> 00:00:49.280]  我們上一次跟大家說我們成了一台戲
[00:00:49.280 --> 00:00:50.880]  成了一台戲的時候
[00:00:50.880 --> 00:00:52.160]  我都問過一個問題
[00:00:52.160 --> 00:00:53.200]  成了一台戲的時候
[00:00:53.200 --> 00:00:57.760]  我就問大家覺不覺得你在那台戲裏面
[00:00:57.760 --> 00:01:00.720]  你的角色可以有得選擇
[00:01:00.720 --> 00:01:04.160]  大家可以選擇做男主角、女主角、配角
[00:01:04.160 --> 00:01:10.960]  或者粵劇就甚麼花旦、文生武生
[00:01:10.960 --> 00:01:13.600]  大家還記不記得你有沒有得選擇
[00:01:13.600 --> 00:01:17.120]  我又相信在保羅的經歷裏面
[00:01:17.120 --> 00:01:19.840]  他告訴我們保羅有沒有得選擇
[00:01:19.840 --> 00:01:20.800]  保羅沒有得選擇
[00:01:20.800 --> 00:01:23.520]  保羅說上次那一題是基督
[00:01:23.520 --> 00:01:25.440]  他說到上四章的時候
[00:01:25.440 --> 00:01:28.480]  第十節我們為基督的緣故
[00:01:28.480 --> 00:01:29.280]  他為了基督
[00:01:29.280 --> 00:01:32.960]  基督讓他的人生所經歷的
[00:01:32.960 --> 00:01:36.560]  有少少不是他自己可以選擇的
[00:01:36.560 --> 00:01:38.400]  但我們又知道上次那一題
[00:01:38.400 --> 00:01:40.640]  整個我們人生的一場戲
[00:01:40.640 --> 00:01:42.240]  最重要其實是神
[00:01:42.240 --> 00:01:44.720]  祂是一個觀眾
[00:01:44.720 --> 00:01:47.760]  但神更加是這場戲的導演
[00:01:47.760 --> 00:01:51.600]  神知道我們今天應該扮演甚麼角色
[00:01:51.600 --> 00:01:55.200]  所以在我們這位神的手裏面
[00:01:55.200 --> 00:01:58.560]  我們可以放心來交給祂
[00:01:58.560 --> 00:02:01.280]  今天我想和大家從第六章說
[00:02:01.280 --> 00:02:04.240]  我給一個題目叫不情願的角色
[00:02:04.240 --> 00:02:06.480]  既然上次我提到大家的角色沒得選擇
[00:02:06.480 --> 00:02:09.760]  可能大家覺得都幾艱難
[00:02:09.760 --> 00:02:13.920]  有時候做到女主角、男主角就更加好
[00:02:13.920 --> 00:02:18.000]  但做個配角或者做個整套戲死幾次的角色
[00:02:18.000 --> 00:02:20.800]  即是以前早排看電視
[00:02:20.800 --> 00:02:22.400]  一個人死幾次
[00:02:22.400 --> 00:02:24.080]  大家可能都覺得不是很想
[00:02:24.080 --> 00:02:25.280]  但有時候我們人生裏面
