
[00:00:00.000 --> 00:00:02.000]  好 我們一起禱告 好嗎
[00:00:02.000 --> 00:00:09.240]  我們在天上的父神 萬君之耶和華
[00:00:09.240 --> 00:00:15.020]  我們愛祢 因為祢先愛我們
[00:00:15.020 --> 00:00:17.560]  因為祢是我們的
[00:00:17.560 --> 00:00:21.020]  磐石 祢是我們的山寨
[00:00:21.020 --> 00:00:22.740]  祢是我們的拯救
[00:00:22.740 --> 00:00:24.640]  祢是我們的神
[00:00:24.640 --> 00:00:28.400]  祢是我們的岩石 磐石
[00:00:30.000 --> 00:00:32.900]  我們要來到祢的面前 我們要依靠祢
[00:00:32.900 --> 00:00:35.520]  就 雖然
[00:00:35.520 --> 00:00:39.620]  真的是死亡的繩索圍繞著我們
[00:00:39.620 --> 00:00:43.560]  死亡的網羅纏繞著我們
[00:00:43.560 --> 00:00:46.780]  我們有許多的困難
[00:00:46.780 --> 00:00:48.580]  在我們的生活當中
[00:00:48.580 --> 00:00:52.080]  但是我們仍然要向祢求告
[00:00:52.080 --> 00:00:56.600]  因為祢是配得稱頌 配得讚美的
[00:00:57.300 --> 00:01:00.640]  我們知道 祢會從祢的聖殿
[00:01:00.640 --> 00:01:03.980]  祢的寶座面前 聽我們的呼求
[00:01:03.980 --> 00:01:06.100]  祢垂聽我們的禱告
[00:01:06.100 --> 00:01:08.060]  我們來到祢的面前
[00:01:08.060 --> 00:01:12.120]  我們再一次的把我們自己都仰望在祢的手中
[00:01:12.120 --> 00:01:15.660]  讓我們對祢有更深的認識
[00:01:15.660 --> 00:01:19.560]  所以我們把今天這段時間交在祢自己的手裡
[00:01:19.560 --> 00:01:21.460]  祝祢自己恩代
[00:01:21.460 --> 00:01:25.040]  祝祢自己講祢的話 解釋清楚
[00:01:25.040 --> 00:01:27.320]  讓我們能夠明白
[00:01:27.320 --> 00:01:29.180]  我們謝謝祢
[00:01:29.180 --> 00:01:31.440]  禱告奉耶穌基督的聖名
[00:01:31.440 --> 00:01:32.440]  阿們
[00:01:32.440 --> 00:01:35.380]  我們繼續從這一段經文
[00:01:35.380 --> 00:01:36.660]  我們來思想
[00:01:36.660 --> 00:01:40.700]  我們在知識和各樣的見識上長進
[00:01:40.700 --> 00:01:44.500]  使我們能分辨什麼是美好的事情
[00:01:44.500 --> 00:01:46.520]  那麼在我們的和合本的聖經
[00:01:46.520 --> 00:01:49.740]  它說使我們能夠分別是非
[00:01:49.740 --> 00:01:52.540]  下面有一排的小字
[00:01:52.540 --> 00:01:56.180]  它說或做喜愛那美好的事情
[00:01:56.180 --> 00:01:57.700]  那麼英文就是
[00:01:57.700 --> 00:02:05.000]  它說So that you may approve what is excellent
[00:02:05.000 --> 00:02:10.460]  我有時候我都不知道該怎麼翻這個excellent
[00:02:10.460 --> 00:02:12.460]  那麼我們常常喜歡excel
[00:02:12.460 --> 00:02:14.460]  我們常常喜歡超越別人
[00:02:14.460 --> 00:02:17.340]  我們常常喜歡追求最好的
[00:02:17.340 --> 00:02:19.340]  那麼在這裡它就告訴我們
[00:02:19.340 --> 00:02:20.940]  當我們照著神的話
[00:02:20.940 --> 00:02:22.540]  我們去做的時候
[00:02:22.540 --> 00:02:26.300]  我們的愛心在知識和各樣的見識上
