
[00:00:00.000 --> 00:00:07.400]  疫情開始緩和,各類型的活動和餐廳都陸陸續續開放
[00:00:07.400 --> 00:00:13.400]  大家都很想或很需要出去走走,舒展身心
[00:00:13.400 --> 00:00:19.000]  不少人都趁天氣好的時候,出去下山,交友一下
[00:00:19.000 --> 00:00:21.000]  都是一件賞心樂事
[00:00:21.000 --> 00:00:25.400]  香港真是一個很特別的地方,亦是一個很精緻的地方
[00:00:25.400 --> 00:00:29.600]  雖然這個地方面積很小,有很多高樓大廈
[00:00:29.600 --> 00:00:35.000]  但同時這個地方有很多很美的大大小小的山
[00:00:35.000 --> 00:00:37.000]  我可以去我的泡泡
[00:00:37.000 --> 00:00:44.000]  亦有很多很美的海岸線,有很多島,有一些水塘的景色等等
[00:00:44.000 --> 00:00:50.600]  我們可以相約三五知己去交友一下,都是一件賞心樂事
[00:00:54.600 --> 00:01:00.600]  這裡有城門水塘,西高山等都是我最近去過的地方
[00:01:00.600 --> 00:01:02.600]  當然這張照片不是我拍的
[00:01:02.600 --> 00:01:07.600]  但是風景美,天氣好的時候真的很舒服
[00:01:07.600 --> 00:01:11.600]  可以出去走走,只要你肯走,其實有很多地方可以去
[00:01:11.600 --> 00:01:20.600]  大約一個多星期之前,我適逢DSE的同學,他們已經考完中學文憑試
[00:01:20.600 --> 00:01:26.600]  考完試,我們就約他們幾個和Andy教師一起跟他們去行山
[00:01:26.600 --> 00:01:29.600]  我先上網搜集一下資料
[00:01:29.600 --> 00:01:39.600]  選了一條路線,就是曾經在2004年被時代周刊亞洲版評為
[00:01:39.600 --> 00:01:45.600]  亞洲區的最佳市區遠足徑的龍脊
[00:01:45.600 --> 00:01:47.600]  有沒有去過?
[00:01:47.600 --> 00:01:50.600]  有去過,有人有去過
[00:01:50.600 --> 00:01:54.600]  如果你有去過,不知道你有沒有印象
[00:01:54.600 --> 00:01:56.600]  那個景很闊,很美
[00:01:56.600 --> 00:02:01.600]  我們搜集資料發現原來有兩條路線都可以走去
[00:02:01.600 --> 00:02:04.600]  要麼就由這個地圖上面,指不到
[00:02:04.600 --> 00:02:10.600]  要麼就由這個地方下面走上去,要麼就由上面走下來
[00:02:10.600 --> 00:02:14.600]  我最後就選了由上面走下來那條路線
[00:02:14.600 --> 00:02:23.600]  因為介紹的人說,首先你會先走一段比較長,很舒服,很平的路
[00:02:23.600 --> 00:02:27.600]  有樹蔭,很舒服,但沒有風景看
[00:02:27.600 --> 00:02:31.600]  當你繼續走的時候,你就會開始上山
[00:02:31.600 --> 00:02:36.600]  上山就會上上落落,就像一條龍的背脊
[00:02:36.600 --> 00:02:39.600]  沿途就會進入很開揚的地方
[00:02:39.600 --> 00:02:45.600]  就會帶你去一條很寬闊,很美景的路線
[00:02:45.600 --> 00:02:48.600]  所以我們就選了這條路線
[00:02:48.600 --> 00:02:52.600]  我們就由大潭峽出發,去到龍脊
[00:02:52.600 --> 00:02:55.600]  然後去到打爛程炳山
[00:02:55.600 --> 00:03:00.600]  再去到終點土地灣村
[00:03:00.600 --> 00:03:03.600]  的確我們就是這樣走
[00:03:03.600 --> 00:03:08.600]  當日很感恩,因為之前那幾天又下雨,之後又下雨
[00:03:08.600 --> 00:03:12.600]  我們去了中途那段日子,天氣很好
[00:03:12.600 --> 00:03:15.600]  所以我們都很開心的一起去郊遊
[00:03:15.600 --> 00:03:19.600]  去到一些特別的位置,當然要拍照打卡
[00:03:19.600 --> 00:03:22.600]  例如去到一些分岔路
[00:03:22.600 --> 00:03:26.600]  這裡是上山,這裡是下沙灘
[00:03:26.600 --> 00:03:28.600]  先拍張照片
[00:03:28.600 --> 00:03:31.600]  當我們去到打爛程炳山
[00:03:31.600 --> 00:03:35.600]  我經常都會說錯,打爛草庭山,不是打爛程炳山
[00:03:35.600 --> 00:03:38.600]  去到這個牌,當然要打卡留念
[00:03:38.600 --> 00:03:41.600]  因為我們又去到這個景點
[00:03:41.600 --> 00:03:45.600]  走這條路線,我又長了一個知識
[00:03:45.600 --> 00:03:50.600]  不知道大家有沒有見過這個樣子的一條柱
[00:03:50.600 --> 00:03:55.600]  其實如果你有行過山,應該都有機會見過它
[00:03:55.600 --> 00:03:59.600]  因為在不同的山頂上都會有這條柱
[00:03:59.600 --> 00:04:02.600]  我都知道它叫做標高柱
[00:04:02.600 --> 00:04:09.600]  但我跟很多人一樣,都以為它會在一座山的最頂那一點
[00:04:09.600 --> 00:04:12.600]  代表你已經去到最頂那一點
[00:04:12.600 --> 00:04:14.600]  但原來不一定
[00:04:14.600 --> 00:04:19.600]  它說原來有可能是一個比較高的位置
[00:04:19.600 --> 00:04:21.600]  然後是比較開揚的
[00:04:21.600 --> 00:04:25.600]  它就會放這條柱在這裏作測量的用途
[00:04:25.600 --> 00:04:28.600]  所以不一定是最高那一點,但通常都很高
[00:04:28.600 --> 00:04:33.600]  原來全香港有二百多條這樣的標高柱
[00:04:33.600 --> 00:04:36.600]  亦都有一些行山愛好者
[00:04:36.600 --> 00:04:38.600]  他會出了一些叫做Q標的攻略
[00:04:38.600 --> 00:04:43.600]  就是告訴你全香港最特別的標高柱在哪裏
[00:04:43.600 --> 00:04:46.600]  你就可以搜集資料
[00:04:46.600 --> 00:04:50.600]  然後你可以定個目標就去不同的點去找這條柱
[00:04:50.600 --> 00:04:54.600]  就跟它去打卡、拍照
[00:04:54.600 --> 00:04:59.600]  這個旅程有不同的景點
[00:04:59.600 --> 00:05:04.600]  有人都會用一個旅程來形容我們的人生
[00:05:04.600 --> 00:05:10.600]  這個世界最具影響力的一個人
[00:05:10.600 --> 00:05:12.600]  一定是耶穌基督
[00:05:12.600 --> 00:05:14.600]  在這個世界歷史上
[00:05:14.600 --> 00:05:17.600]  他活在世上的日子其實可以說很短
[00:05:17.600 --> 00:05:20.600]  因為他只有三十三年
[00:05:20.600 --> 00:05:24.600]  我們這裏在座目測大部份都長命過他
[00:05:24.600 --> 00:05:26.600]  我們沒有什麼厲害
[00:05:26.600 --> 00:05:28.600]  我們唯一厲害可能就是長命過他
[00:05:28.600 --> 00:05:31.600]  當然他亦都是世上最長命的人
[00:05:31.600 --> 00:05:34.600]  因為他到現在都還活著
[00:05:34.600 --> 00:05:38.600]  在一年裏面
[00:05:38.600 --> 00:05:41.600]  有人因為耶穌三十三年
[00:05:41.600 --> 00:05:44.600]  就已經完成他在這個世界上的任務
[00:05:44.600 --> 00:05:47.600]  根據教會的傳統
[00:05:47.600 --> 00:05:51.600]  就會將耶穌基督在生平三十三年裏面
[00:05:51.600 --> 00:05:54.600]  一些重要的事就去建立一個點
[00:05:54.600 --> 00:05:57.600]  就好像一個旅程的一些景點
[00:05:57.600 --> 00:06:00.600]  在這一年裏面
[00:06:00.600 --> 00:06:03.600]  這些點就幫助我們去紀念
[00:06:03.600 --> 00:06:05.600]  耶穌基督為我們所做的事
[00:06:05.600 --> 00:06:11.600]  教會傳統就稱這個為基督年
[00:06:11.600 --> 00:06:14.600]  或者是教會年曆
[00:06:14.600 --> 00:06:17.600]  所以有時候你聽教會的時候
[00:06:17.600 --> 00:06:18.600]  可能你沒有留意
[00:06:18.600 --> 00:06:21.600]  但其實在崇拜的設計裏面
[00:06:21.600 --> 00:06:24.600]  都會有將基督年的元素
[00:06:24.600 --> 00:06:27.600]  放到一些詩歌一些讀經部份
[00:06:27.600 --> 00:06:29.600]  知道了之後你可以留意一下
[00:06:29.600 --> 00:06:34.600]  有沒有印象知道基督年裏面
[00:06:34.600 --> 00:06:37.600]  有什麼節期有什麼景點
[00:06:37.600 --> 00:06:43.600]  聖誕節
[00:06:43.600 --> 00:06:49.600]  復活節
[00:06:49.600 --> 00:06:51.600]  還有沒有
[00:06:51.600 --> 00:06:53.600]  除了這兩個之外還有沒有其他
[00:06:53.600 --> 00:06:55.600]  聖靈降臨節
[00:06:55.600 --> 00:06:57.600]  我聽到了不知道在哪裏
[00:06:57.600 --> 00:07:01.600]  原來在這些節期裏面
[00:07:01.600 --> 00:07:06.600]  可以有六個主要的節期
[00:07:06.600 --> 00:07:10.600]  每一個裏面都可以再細分一點
[00:07:10.600 --> 00:07:13.600]  讓你看看有什麼
[00:07:13.600 --> 00:07:16.600]  看你是否認識的
[00:07:16.600 --> 00:07:18.600]  遮住了那條線
[00:07:18.600 --> 00:07:21.600]  那條線應該是
[00:07:21.600 --> 00:07:25.600]  你想像一下由張臨祺那裏上去的
[00:07:25.600 --> 00:07:27.600]  就好像一條路線那樣
[00:07:27.600 --> 00:07:31.600]  張臨祺就在這裏一開始的起步
[00:07:31.600 --> 00:07:33.600]  就是每一年的十一月尾開始的
[00:07:33.600 --> 00:07:36.600]  他就會預備耶穌基督的降生
[00:07:36.600 --> 00:07:39.600]  接著就會進入聖誕期
[00:07:39.600 --> 00:07:42.600]  就是有一段顯現期
[00:07:42.600 --> 00:07:44.600]  接著就去到
[00:07:44.600 --> 00:07:46.600]  通常每年的三月左右
[00:07:46.600 --> 00:07:48.600]  就是有一個御府期
[00:07:48.600 --> 00:07:50.600]  接著就有復活期
[00:07:50.600 --> 00:07:53.600]  然後就到聖靈降臨期
[00:07:53.600 --> 00:08:01.600]  大家知不知道我們現在在哪裏呢
[00:08:01.600 --> 00:08:04.600]  剛才主席都有提示我們
