
[00:00:00.000 --> 00:00:20.000]  今天我要講一段很難講的經文
[00:00:20.000 --> 00:00:28.000]  特別是年代,今天我要講的主題是「敬老主人」
[00:00:28.000 --> 00:00:33.000]  最近我和師母兩個人
[00:00:33.000 --> 00:00:40.000]  帶同我的媽媽和我的妹妹去澳洲旅行
[00:00:40.000 --> 00:00:45.000]  在途中我們經過一個市鎮
[00:00:45.000 --> 00:00:52.000]  適逢當地舉辦一個工藝展覽
[00:00:52.000 --> 00:01:02.000]  所以我們一行四人去那裏參觀
[00:01:02.000 --> 00:01:07.000]  當中有很多的藝術品
[00:01:07.000 --> 00:01:15.000]  因為我知道媽媽之前掉失了一隻耳環
[00:01:15.000 --> 00:01:27.000]  那裏有耳環賣
[00:01:27.000 --> 00:01:35.000]  所以就選了一對珍珠耳環送給她
[00:01:35.000 --> 00:01:40.000]  我請師母幫我付錢
[00:01:40.000 --> 00:01:47.000]  媽媽看了很喜歡
[00:01:47.000 --> 00:01:51.000]  但是老人家總是覺得那東西很貴
[00:01:51.000 --> 00:01:58.000]  於是我指另外一對給她看
[00:01:58.000 --> 00:02:00.000]  是塑膠做的
[00:02:00.000 --> 00:02:03.000]  綠色都很漂亮
[00:02:03.000 --> 00:02:08.000]  價錢只需要五塊澳幣
[00:02:08.000 --> 00:02:13.000]  如果乘四倍就是三十五塊
[00:02:13.000 --> 00:02:15.000]  她很喜歡
[00:02:15.000 --> 00:02:18.000]  所以她第二天就帶了那對耳環
[00:02:18.000 --> 00:02:26.000]  大家不妨看看珍珠和耳環究竟是怎樣
[00:02:26.000 --> 00:02:31.000]  因為我在網上拿
[00:02:31.000 --> 00:02:36.000]  所以這些影像是大家要靠想像才看到它怎樣漂亮
[00:02:36.000 --> 00:02:38.000]  因為我在網上拿的資料
[00:02:38.000 --> 00:02:41.000]  所以大家要靠你的幻想來看
[00:02:41.000 --> 00:02:46.000]  珍珠的價值是不是很高呢?
[00:02:46.000 --> 00:02:48.000]  珍珠的價值是不是很高呢?
[00:02:48.000 --> 00:02:54.000]  如果你是女孩子
[00:02:54.000 --> 00:02:57.000]  珍珠是不是很值錢呢?
[00:02:57.000 --> 00:03:00.000]  珍珠是否很值錢呢?
[00:03:00.000 --> 00:03:03.000]  可能以前很值錢
[00:03:03.000 --> 00:03:09.000]  但現在的婦女最喜歡的是甚麼呢?
[00:03:09.000 --> 00:03:12.000]  肯定不是珍珠
[00:03:12.000 --> 00:03:16.000]  因為人老的珠黃
[00:03:16.000 --> 00:03:20.000]  有甚麼東西是不變的呢?
[00:03:20.000 --> 00:03:23.000]  就是那些閃爍的東西
[00:03:23.000 --> 00:03:26.000]  一百年都不會變
[00:03:26.000 --> 00:03:30.000]  那些是最值錢的
[00:03:30.000 --> 00:03:33.000]  但當時來說,我相信珍珠是很值錢的
[00:03:33.000 --> 00:03:37.000]  但當時來說,珍珠是非常值錢的
[00:03:37.000 --> 00:03:43.000]  所以第31章第10節是這樣說
[00:03:43.000 --> 00:03:49.000]  才德的婦人誰能得著呢?
[00:03:49.000 --> 00:03:55.000]  她的價值遠勝過珍珠
[00:03:55.000 --> 00:04:00.000]  今天讓我們看一看這篇真言的教導
[00:04:00.000 --> 00:04:03.000]  今天讓我們看一看這篇真言的教導
[00:04:03.000 --> 00:04:07.000]  是幫助我們怎樣去侍奉神
[00:04:07.000 --> 00:04:10.000]  是幫助我們怎樣去侍奉神
[00:04:10.000 --> 00:04:12.000]  是怎樣去敬重我們上一代
[00:04:12.000 --> 00:04:15.000]  是怎樣去敬重我們上一代
[00:04:15.000 --> 00:04:20.000]  從這篇真言裏面
[00:04:20.000 --> 00:04:22.000]  從這篇真言裏面
[00:04:22.000 --> 00:04:25.000]  我們可以看到一個婦人
[00:04:25.000 --> 00:04:27.000]  我們可以看到一個婦人
[00:04:27.000 --> 00:04:30.000]  怎樣去履行她作為妻子的職責
[00:04:30.000 --> 00:04:33.000]  怎樣去履行她作為妻子的責任
[00:04:33.000 --> 00:04:36.000]  她第一個責任就是辛勤地管理家務
[00:04:36.000 --> 00:04:40.000]  她第一個責任就是很辛勤地管理她的家務
[00:04:40.000 --> 00:04:42.000]  為家人提供食物
[00:04:42.000 --> 00:04:44.000]  為家人提供食物
[00:04:44.000 --> 00:04:47.000]  所以不是說現在的婦女喜歡烹調
[00:04:47.000 --> 00:04:51.000]  所以不是今天的婦女都不太喜歡烹調
[00:04:51.000 --> 00:04:55.000]  所以不是現在的婦女都不太喜歡烹調
[00:04:55.000 --> 00:04:57.000]  現在的人只喜歡吃蛋糕
[00:04:57.000 --> 00:04:59.000]  現在的人只喜歡吃蛋糕
[00:04:59.000 --> 00:05:00.000]  那時候的人都是這樣
[00:05:00.000 --> 00:05:01.000]  那時候的人都是這樣
[00:05:01.000 --> 00:05:03.000]  已經把食物分給家人
[00:05:03.000 --> 00:05:03.000]  已經把食物分給家人
[00:05:03.000 --> 00:05:06.000]  那時候的人他們都會把食物分給家人
[00:05:06.000 --> 00:05:07.000]  那時候的人他們都會把食物分給家人
[00:05:07.000 --> 00:05:09.000]  還未到黎明的時候他們就起來
[00:05:09.000 --> 00:05:10.000]  還未到黎明的時候他們就起來
[00:05:10.000 --> 00:05:11.000]  還未到黎明的時候他們就起來
[00:05:11.000 --> 00:05:12.000]  還未到黎明的時候他們就起來
[00:05:12.000 --> 00:05:14.000]  把食物分給家裡的人
[00:05:14.000 --> 00:05:15.000]  把食物分給家中的人
[00:05:15.000 --> 00:05:16.000]  把食物分給家中的人
[00:05:16.000 --> 00:05:18.000]  把當作的工分派給
[00:05:18.000 --> 00:05:19.000]  把當作的工分派給
[00:05:19.000 --> 00:05:21.000]  把當作的工分派給
[00:05:21.000 --> 00:05:22.000]  婦女
[00:05:22.000 --> 00:05:22.000]  婦女
[00:05:22.000 --> 00:05:24.000]  所以她是一個主母
[00:05:24.000 --> 00:05:26.000]  所以她是一個主母
[00:05:26.000 --> 00:05:30.000]  第二個職責是為家人提供衣服
[00:05:30.000 --> 00:05:31.000]  第二個職責是為家人提供衣服
