
[00:00:00.000 --> 00:00:03.640]  有些道要在合適的時間講
[00:00:03.640 --> 00:00:07.600]  今天是生死篇
[00:00:07.600 --> 00:00:11.560]  大家會否在崇拜完結後要去掃墓?
[00:00:11.560 --> 00:00:13.080]  有沒有?
[00:00:13.080 --> 00:00:14.360]  沒有嗎?
[00:00:14.360 --> 00:00:16.360]  但是柴灣很塞車
[00:00:16.360 --> 00:00:17.600]  什麼人去的呢?
[00:00:17.600 --> 00:00:18.800]  大家都不去
[00:00:18.800 --> 00:00:22.520]  我們基督徒會說去掃墓
[00:00:22.520 --> 00:00:26.360]  微信的人會說去擺傘
[00:00:26.360 --> 00:00:29.760]  這篇道是留待掃墓才講的
[00:00:29.760 --> 00:00:32.760]  就是這篇生死篇
[00:00:32.760 --> 00:00:36.880]  各位姐妹你喜歡去墳場嗎?
[00:00:36.880 --> 00:00:38.280]  喜歡去墳場嗎?
[00:00:38.280 --> 00:00:39.520]  沒有人喜歡
[00:00:39.520 --> 00:00:40.880]  有些人只要去
[00:00:40.880 --> 00:00:44.080]  9月3日就去軍人墳場
[00:00:44.080 --> 00:00:48.320]  軍人墳場很整齊很漂亮
[00:00:48.320 --> 00:00:52.120]  想不到師母突然爆一句
[00:00:52.120 --> 00:00:55.080]  這兩個墳墓整齊整齊
[00:00:55.080 --> 00:00:55.920]  合在一起的
[00:00:55.920 --> 00:00:57.000]  零零碎碎
[00:00:57.000 --> 00:00:58.200]  是兩夫婦
[00:00:58.200 --> 00:01:01.520]  我們將來還是這樣好嗎?
[00:01:01.520 --> 00:01:07.640]  我真的想不到在軍人墳場說這樣的說話
[00:01:07.640 --> 00:01:10.160]  一會兒再說我會不會這樣
[00:01:10.160 --> 00:01:11.200]  各位姐妹
[00:01:11.200 --> 00:01:14.520]  有些墳地真的要去看看
[00:01:14.520 --> 00:01:17.680]  施班完我介紹你們有機會去旅行
[00:01:17.680 --> 00:01:20.080]  就一定要去維也納
[00:01:20.080 --> 00:01:24.040]  維也納是全歐洲最大的公墓
[00:01:24.040 --> 00:01:30.960]  有250萬個墓碑
[00:01:30.960 --> 00:01:34.320]  維也納的公墓是音樂之都
[00:01:34.320 --> 00:01:37.880]  莫扎特在32A區
[00:01:37.880 --> 00:01:41.120]  史特勞斯、貝多芬、舒伯特
[00:01:41.120 --> 00:01:43.400]  最顯眼的是莫扎特
[00:01:43.400 --> 00:01:44.200]  莫扎特是32A區
[00:01:44.200 --> 00:01:48.880]  莫扎特幾多歲?很年輕
