
[00:00:00.000 --> 00:00:02.000]  今日我同大家講嘅題目係
[00:00:02.000 --> 00:00:04.600]  成為遵行主導嘅群體
[00:00:04.600 --> 00:00:06.000]  如果大家有留意呢
[00:00:06.000 --> 00:00:08.600]  我呢段時間嘅講道呢
[00:00:08.600 --> 00:00:10.000]  都係集中喺約翰一書
[00:00:10.000 --> 00:00:11.000]  而且都係
[00:00:11.000 --> 00:00:13.600]  題目都係以成為XXX嘅群體
[00:00:13.600 --> 00:00:15.400]  當然係配合緊我哋嘅連題
[00:00:15.400 --> 00:00:17.000]  使人得記啲群體
[00:00:17.000 --> 00:00:18.000]  喺上一個月
[00:00:18.000 --> 00:00:20.200]  我哋講成為認罪嘅群體
[00:00:20.200 --> 00:00:23.000]  今日我哋講成為遵行主導嘅群體
[00:00:23.000 --> 00:00:24.000]  兩個星期之後
[00:00:24.000 --> 00:00:27.200]  成為勝過世界嘅群體
[00:00:27.200 --> 00:00:30.400]  再到月尾
[00:00:30.400 --> 00:00:31.400]  9月1號
[00:00:31.400 --> 00:00:33.400]  就係成為被恩告嘅群體
[00:00:33.400 --> 00:00:35.400]  我哋繼續停留一項一書
[00:00:35.400 --> 00:00:37.000]  一書嘅主題係
[00:00:37.000 --> 00:00:38.000]  神制光
[00:00:38.000 --> 00:00:40.000]  神制愛
[00:00:40.000 --> 00:00:42.000]  讓我哋睇下約翰
[00:00:42.000 --> 00:00:45.000]  俾我哋有啲咩嘅提醒
[00:00:45.000 --> 00:00:47.400]  讓我哋重溫返上個月
[00:00:47.400 --> 00:00:49.000]  所講嘅道
[00:00:49.000 --> 00:00:51.000]  唔知大家仲記得到幾多呀
[00:00:51.000 --> 00:00:53.600]  喺一項一書嘅一章五字
[00:00:53.600 --> 00:00:55.400]  二章二字裏面話
[00:00:55.400 --> 00:00:57.400]  上帝係光
[00:00:57.400 --> 00:00:59.400]  光嘅屬性就係榮耀
[00:00:59.400 --> 00:01:00.400]  聖潔
[00:01:00.400 --> 00:01:01.200]  誠信
[00:01:01.200 --> 00:01:02.400]  真實係公義
[00:01:02.400 --> 00:01:05.400]  呢個就係我哋所認識嘅上帝
[00:01:05.400 --> 00:01:07.000]  而當我哋要話同呢位
[00:01:07.000 --> 00:01:10.000]  屬於光嘅上帝去相交
[00:01:10.000 --> 00:01:12.400]  要同神有一個團契
[00:01:12.400 --> 00:01:13.400]  契合嘅時候
[00:01:13.400 --> 00:01:14.600]  去提醒我哋
[00:01:14.600 --> 00:01:16.000]  我哋要遠離黑暗
[00:01:16.000 --> 00:01:17.600]  行喺光明當中
[00:01:17.600 --> 00:01:20.400]  而且我哋更加要承認有罪
[00:01:20.400 --> 00:01:22.200]  活喺真理嘅裏面
[00:01:22.200 --> 00:01:23.600]  我哋承認犯過罪
[00:01:23.600 --> 00:01:26.200]  而且讓耶穌基督成為我哋嘅代求
[00:01:26.200 --> 00:01:27.600]  成為我哋嘅贖罪劑
[00:01:27.600 --> 00:01:29.400]  我哋先能夠同上帝
[00:01:29.400 --> 00:01:32.400]  呢個光明嘅上帝有相交
[00:01:32.400 --> 00:01:34.600]  跟住畀大家兩個嘅
[00:01:34.600 --> 00:01:36.600]  應用嘅行動
[00:01:36.600 --> 00:01:37.600]  第一個就係
[00:01:37.600 --> 00:01:40.400]  係咩阻隔咗我哋群體嘅相交呢
[00:01:40.400 --> 00:01:41.800]  就係行喺黑暗
[00:01:41.800 --> 00:01:43.200]  遠離真理
[00:01:43.200 --> 00:01:44.400]  就好多嘅謊言
