
[00:00:00.000 --> 00:00:06.000]  今朝我們會繼續以去聆聽神的話語去敬大主
[00:00:06.000 --> 00:00:10.000]  我們一齊打開你的程序表
[00:00:10.000 --> 00:00:14.000]  剛才宣召經民都登過這三節的聖經
[00:00:14.000 --> 00:00:17.000]  今日的主題是講禱告
[00:00:17.000 --> 00:00:23.000]  我們一齊讀出鐵撒羅尼加前書五章十六至十八節
[00:00:23.000 --> 00:00:26.000]  十六至十八節
[00:00:26.000 --> 00:00:28.000]  找到我們一齊讀出
[00:00:28.000 --> 00:00:30.000]  預備起
[00:00:30.000 --> 00:00:32.000]  以常常喜樂不住的禱告
[00:00:32.000 --> 00:00:34.000]  凡事謝因
[00:00:34.000 --> 00:00:37.000]  因為這次神在基督耶穌裡
[00:00:37.000 --> 00:00:39.000]  向你們所定的旨意
[00:00:39.000 --> 00:00:40.000]  再一次
[00:00:40.000 --> 00:00:41.000]  預備起
[00:00:41.000 --> 00:00:44.000]  以常常喜樂不住的禱告
[00:00:44.000 --> 00:00:46.000]  凡事謝因
[00:00:46.000 --> 00:00:48.000]  因為這次神在基督耶穌裡
[00:00:48.000 --> 00:00:51.000]  向你們所定的旨意
[00:00:51.000 --> 00:00:53.000]  我們再一齊禱告
[00:00:53.000 --> 00:00:58.000]  讓我們用一個忘我的心
[00:00:58.000 --> 00:01:01.000]  不要再想自己的事
[00:01:01.000 --> 00:01:07.000]  不要再掛慮世上的各樣事務
[00:01:07.000 --> 00:01:12.000]  讓我們在神面前承認自己的罪
[00:01:12.000 --> 00:01:17.000]  我們或許有些黑暗的事求神光照我們
[00:01:17.000 --> 00:01:21.000]  叫我們可以和上帝毫無阻隔
[00:01:21.000 --> 00:01:26.000]  求神教我們怎樣禱告親近祂
[00:01:26.000 --> 00:01:28.000]  就在這一刻
[00:01:28.000 --> 00:01:34.000]  讓我們全個心都去仰望上主
[00:01:34.000 --> 00:01:36.000]  求主得著我們的心
[00:01:36.000 --> 00:01:40.000]  得著我們整個生命
[00:01:40.000 --> 00:01:42.000]  好像聖經所說
[00:01:42.000 --> 00:01:45.000]  求祢讓我們有喜樂的心
[00:01:45.000 --> 00:01:49.000]  讓我們懂得不住的禱告去依靠祢
[00:01:49.000 --> 00:01:52.000]  更加我們懂得凡事謝因
[00:01:52.000 --> 00:01:55.000]  因為這是神對我們的心意
[00:01:55.000 --> 00:01:57.000]  求主幫助我們
[00:01:57.000 --> 00:01:59.000]  讓我們同心祈禱
[00:01:59.000 --> 00:02:01.000]  奉耶穌基督的聖名
[00:02:01.000 --> 00:02:02.000]  阿們
[00:02:02.000 --> 00:02:06.000]  禱告是我們作為基督徒
[00:02:06.000 --> 00:02:07.000]  一個生命
[00:02:07.000 --> 00:02:12.000]  差不多是其中一個很重要很重要的事
[00:02:12.000 --> 00:02:15.000]  除了耶穌基督自己
[00:02:15.000 --> 00:02:17.000]  是我們生命最重要
[00:02:17.000 --> 00:02:21.000]  我們說我們生命最重要的一位
[00:02:21.000 --> 00:02:23.000]  禱告是我們生活裏面
[00:02:23.000 --> 00:02:28.000]  差不多是第一最要緊的一個任務
[00:02:28.000 --> 00:02:32.000]  或者一個要做的事
[00:02:32.000 --> 00:02:35.000]  最重要的人或最重要的人物
[00:02:35.000 --> 00:02:36.000]  是基督自己
[00:02:36.000 --> 00:02:38.000]  而最重要的活動
[00:02:38.000 --> 00:02:41.000]  我們的生活就是禱告
[00:02:41.000 --> 00:02:44.000]  但是禱告是一個屬靈的操練
[00:02:44.000 --> 00:02:47.000]  和理性有什麼關係呢?
[00:02:47.000 --> 00:02:49.000]  你要知道
[00:02:49.000 --> 00:02:51.000]  我想問大家知不知道
[00:02:51.000 --> 00:02:52.000]  禱告重要?
[00:02:52.000 --> 00:02:55.000]  如果你都覺得你都認為
[00:02:55.000 --> 00:02:57.000]  你都知道禱告是重要的
[00:02:57.000 --> 00:02:58.000]  請你都拍一下手
