
[00:00:00.000 --> 00:00:05.880]  現在來到教會篇這個講道系列的最後一講
[00:00:05.880 --> 00:00:09.180]  很快來到了教會講道篇的最後一講
[00:00:09.180 --> 00:00:12.360]  不知道大家記不記得之前那三講是講的題目是什麼
[00:00:12.360 --> 00:00:15.060]  大家是否記得之前的三講是講什麼呢
[00:00:15.060 --> 00:00:18.000]  其實這個講道系列講的教會生活裡面
[00:00:18.000 --> 00:00:22.160]  有四個很重要的元素
[00:00:22.160 --> 00:00:25.800]  其實教會篇的講道中有四個很重要的元素
[00:00:25.800 --> 00:00:30.840]  之前我們三個的題目是講到敬拜 侍奉與見證
[00:00:30.840 --> 00:00:34.920]  之前我們講到的其中三個題目是敬拜 侍奉和見證
[00:00:34.920 --> 00:00:37.380]  今天講的是第四個相當重要的題目
[00:00:37.380 --> 00:00:40.580]  是講到我們教會 弟兄姊妹的相交
[00:00:40.580 --> 00:00:45.020]  今天所講的是最後的一個非常重要的題目
[00:00:45.020 --> 00:00:46.520]  是教會的相交
[00:00:46.520 --> 00:00:49.100]  我們今天的今天是使徒行政的第二章
[00:00:49.100 --> 00:00:51.600]  今天我們講的經文是使徒行政的第二章
[00:00:51.600 --> 00:00:53.360]  可以這樣講使徒行政的第二章
[00:00:53.360 --> 00:00:57.600]  其實記載了早期教會或者教會的成立的過程
[00:00:57.600 --> 00:01:00.600]  很明顯使徒行政第二章記載的是
[00:01:00.600 --> 00:01:04.040]  當初起教會建立的使徒的事件
[00:01:04.040 --> 00:01:07.580]  主耶穌升天之後
[00:01:07.580 --> 00:01:10.680]  門徒開始奉耶穌的名來聚會
[00:01:10.680 --> 00:01:14.120]  門徒奉耶穌的名來聚會
[00:01:14.120 --> 00:01:17.520]  在一次幾千人的聚會裡面
[00:01:17.520 --> 00:01:19.660]  在幾千人的一次聚會當中
[00:01:19.660 --> 00:01:23.700]  使徒彼得站起來宣講神的信息
[00:01:23.700 --> 00:01:25.760]  使徒彼得站起來宣講神的信息
[00:01:25.760 --> 00:01:30.700]  我們可以想像當時的使徒彼得在台上大聲疾呼
[00:01:30.700 --> 00:01:34.300]  我們可以想像當時的使徒彼得在台上大聲疾呼
[00:01:34.300 --> 00:01:36.940]  他來到勸勉各人要悔改
[00:01:36.940 --> 00:01:38.440]  勸勉各人要悔改
[00:01:38.440 --> 00:01:41.980]  奉耶穌的名來受洗
[00:01:41.980 --> 00:01:43.620]  奉耶穌基督的名來受洗
[00:01:43.620 --> 00:01:47.280]  受洗的意思就是說相信耶穌和跟從耶穌
[00:01:47.280 --> 00:01:50.120]  受洗的意思就是說相信耶穌和跟從耶穌
[00:01:50.120 --> 00:01:51.560]  以至聚得赦免
[00:01:51.560 --> 00:01:52.660]  以至聚得赦免
[00:01:52.660 --> 00:01:57.660]  然後聖靈進入信徒的生命裡面
