
[00:00:00.000 --> 00:00:10.000]  前幾日看到袁天佑牧師寫一篇文章,題目是「基督徒會令基督徒貶值嗎?」
[00:00:10.000 --> 00:00:17.000]  丙姐妹你覺得基督徒會令基督徒貶值嗎?
[00:00:17.000 --> 00:00:29.000]  事緣是近日有一些基督徒的政治人物,作出很多惹人反感的言論,令另外的基督徒覺得被認衰了。
[00:00:29.000 --> 00:00:44.000]  所以有信徒嘗試用真假的論述去否定那些言論不太合宜的基督徒,或者用貶值來評論他們。
[00:00:44.000 --> 00:00:51.000]  袁牧師看見一位弟兄寫了一些反思,在肯定那位弟兄的反思的同時也做了一些教導。
[00:00:51.000 --> 00:00:58.000]  丙姐妹你有沒有試過因為其他的基督徒而感到羞恥?
[00:00:58.000 --> 00:01:08.000]  或者有時候羞恥到一個地步,你也不想認自己是基督徒,想找空間,不想認為你是同一條船。
[00:01:08.000 --> 00:01:25.000]  丙姐妹,無論是因為別人的過失也好,或者是因為我們自己的性格和際遇也好,如果你發現自己已經失去見證福音的勇氣,或者見證自己作為一個基督徒這種的勇氣,
[00:01:25.000 --> 00:01:37.000]  今天我很想透過保羅比提摩泰的勸勉來鼓勵我們每一位弟兄姐妹,我們學習以神的能力來克性為主作見證的羞恥感。
[00:01:37.000 --> 00:01:43.000]  有時候我們要告訴別人我們是基督徒,會覺得有一點點羞恥感。
[00:01:43.000 --> 00:01:52.000]  是什麼令我們不覺得羞恥?不是那些人的言論,而是我們靠自己的能力。
[00:01:52.000 --> 00:02:01.000]  剛才大家讀的經文是提摩泰後書,交代一下寫作的背景。提摩泰後書是保羅寫給提摩泰的個人書信。
[00:02:01.000 --> 00:02:14.000]  在保羅心目中,提摩泰就好像他的兒子那樣,所以第一第二節他的豐臣子義照著在基督耶穌裡生命的應許,作基督耶穌使徒的保羅,寫信給我親愛的兒子提摩泰。
[00:02:14.000 --> 00:02:22.000]  不是真的他親生,而是他看自己為屬靈的父親一樣,提摩泰就好像他屬靈的孩子。
