
[00:00:00.000 --> 00:00:04.160]  今天講到的題目是「變身」
[00:00:04.160 --> 00:00:05.840]  兩個「身」字是不同的
[00:00:05.840 --> 00:00:07.840]  我們講第一個變身
[00:00:07.840 --> 00:00:09.280]  第一個變身
[00:00:09.280 --> 00:00:13.840]  可能大家從小到大都聽過、見過一些變身
[00:00:13.840 --> 00:00:15.920]  由我小時候
[00:00:15.920 --> 00:00:20.720]  我最喜歡的「鹹蛋超人」變身
[00:00:20.720 --> 00:00:22.720]  接著再大一點
[00:00:22.720 --> 00:00:25.600]  「Transformer」變形金剛
[00:00:25.600 --> 00:00:27.600]  又變身
[00:00:27.600 --> 00:00:30.640]  到現在小朋友喜歡的「變身玩具」
[00:00:30.640 --> 00:00:32.640]  我都未玩過,只見過
[00:00:32.640 --> 00:00:35.440]  接著有些東西又變了
[00:00:35.440 --> 00:00:37.440]  大家有沒有玩過一些Apps
[00:00:37.440 --> 00:00:40.560]  將你的樣子變成童年的樣子
[00:00:40.560 --> 00:00:43.120]  由現在老的樣子變成小朋友的樣子
[00:00:43.120 --> 00:00:45.120]  我不知道大家有沒有玩過,我都好像玩過
[00:00:45.120 --> 00:00:48.880]  接著可能大家讀書時會知道
[00:00:48.880 --> 00:00:53.200]  毛蟲可以破繭而出,變成美麗的蝴蝶
[00:00:53.200 --> 00:00:55.200]  又是變身
[00:00:55.200 --> 00:00:59.680]  去到不止人,不止動物
[00:00:59.680 --> 00:01:02.720]  在同福堂附近的高士威道這幾十年
[00:01:02.720 --> 00:01:04.160]  有一個大的變身
[00:01:04.160 --> 00:01:07.120]  看回照片,幾十年前的高士威道
[00:01:07.120 --> 00:01:09.120]  和現在的高士威道
[00:01:09.120 --> 00:01:11.120]  是完全兩回事
[00:01:11.120 --> 00:01:12.560]  完全不同
[00:01:12.560 --> 00:01:16.320]  中國人有一個成語叫「滄海桑田」
[00:01:16.320 --> 00:01:18.560]  意思是很大很大的轉變
[00:01:18.560 --> 00:01:20.960]  天翻地覆的轉變
[00:01:20.960 --> 00:01:24.400]  變身其實是一種改變
[00:01:24.400 --> 00:01:27.040]  關於改變可能大家有兩個問題
[00:01:27.040 --> 00:01:29.040]  第一,變成怎樣
[00:01:29.040 --> 00:01:31.040]  我相信絕大部分頂尖小朋友
[00:01:31.040 --> 00:01:33.040]  你不希望變得更舊
[00:01:33.040 --> 00:01:35.040]  變得更差,變得更壞
[00:01:35.040 --> 00:01:37.040]  其實多數人都盼望有一個
[00:01:37.040 --> 00:01:39.040]  期望你的轉變是一個方向
[00:01:39.040 --> 00:01:41.680]  是變得更好,變得更新的
[00:01:41.680 --> 00:01:44.640]  好像剛才鹹蛋超人或Transformer
[00:01:44.640 --> 00:01:47.120]  他變身之後會變得更強
[00:01:47.120 --> 00:01:49.120]  毛蟲也是,當他變身之後
[00:01:49.120 --> 00:01:51.120]  就變成美麗的蝴蝶,更加美麗
[00:01:51.120 --> 00:01:54.000]  更加好,更加新
[00:01:54.000 --> 00:01:56.000]  更加有進步
[00:01:56.000 --> 00:01:58.000]  第二個問題是什麼呢
[00:01:58.000 --> 00:02:01.920]  第二個問題是誰先改變
[00:02:01.920 --> 00:02:05.920]  很多人都希望先改變其他人
[00:02:05.920 --> 00:02:07.920]  或者先改變環境
[00:02:07.920 --> 00:02:09.920]  有一個婚姻講座
[00:02:09.920 --> 00:02:15.920]  那個講員問所有參與婚姻講座的人
[00:02:15.920 --> 00:02:19.920]  你們有多少人想改變你的配偶呢
[00:02:19.920 --> 00:02:21.920]  有九成人舉手
[00:02:21.920 --> 00:02:24.920]  於是那個講員就講了以下的事
[00:02:24.920 --> 00:02:27.920]  他說倫敦西敏寺教堂
[00:02:27.920 --> 00:02:29.920]  旁邊有一塊墓碑碑石
[00:02:29.920 --> 00:02:31.920]  寫了這樣的東西
[00:02:31.920 --> 00:02:33.920]  那個墓碑碑石是這麼說的
[00:02:33.920 --> 00:02:35.920]  他說我年輕的時候
[00:02:35.920 --> 00:02:39.920]  我夢想改變這個世界
[00:02:39.920 --> 00:02:41.920]  但是當我長大一點,成熟一點
[00:02:41.920 --> 00:02:43.920]  我發覺我是不可以改變這個世界
[00:02:43.920 --> 00:02:45.920]  於是我轉為改變國家
[00:02:45.920 --> 00:02:49.920]  但是當我步入晚年的時候
[00:02:49.920 --> 00:02:51.920]  我發覺我都不可以改變我的國家
[00:02:51.920 --> 00:02:53.920]  於是想改變我的家
[00:02:53.920 --> 00:02:56.920]  但是當我人生走到差不多盡頭的時候
[00:02:56.920 --> 00:02:58.920]  我突然間有一個醒覺
[00:02:58.920 --> 00:03:02.920]  原來如果我第一天開始的時候
[00:03:02.920 --> 00:03:04.920]  我自己先改變
[00:03:04.920 --> 00:03:06.920]  我可以改變我的家
[00:03:06.920 --> 00:03:08.920]  然後我有家的支持
[00:03:08.920 --> 00:03:10.920]  我或者可以為國家做一些事
[00:03:10.920 --> 00:03:12.920]  改變一些事
[00:03:12.920 --> 00:03:14.920]  誰知道可能將來有一天
[00:03:14.920 --> 00:03:16.920]  我可以改變這個世界
[00:03:16.920 --> 00:03:19.920]  原來一切的改變
[00:03:19.920 --> 00:03:22.920]  人生的改變是由自己開始
[00:03:22.920 --> 00:03:24.920]  今天聖靈堂我們說什麼呢
[00:03:24.920 --> 00:03:26.920]  這個復活節
[00:03:26.920 --> 00:03:32.920]  這個復活節是一個復活節的崇拜
[00:03:32.920 --> 00:03:34.920]  這個復活節的週末
[00:03:34.920 --> 00:03:37.920]  是紀念一件事,就是復活
[00:03:37.920 --> 00:03:39.920]  耶穌在復活節的時候
[00:03:39.920 --> 00:03:41.920]  原來耶穌都變了身
[00:03:41.920 --> 00:03:43.920]  有一個死亡的狀態
[00:03:43.920 --> 00:03:46.920]  變成一個天上地下所有的權柄
[00:03:46.920 --> 00:03:49.920]  都歸於祂的榮耀的狀態
[00:03:49.920 --> 00:03:51.920]  本來在人眼裡
[00:03:51.920 --> 00:03:52.920]  哇,失敗了
[00:03:52.920 --> 00:03:54.920]  被撒旦打敗了
[00:03:54.920 --> 00:03:55.920]  又改變了
[00:03:55.920 --> 00:03:58.920]  變為德勝贏了撒旦
[00:03:58.920 --> 00:04:00.920]  贏了黑暗權勢的狀態
[00:04:00.920 --> 00:04:02.920]  本來有一個哀哭
[00:04:02.920 --> 00:04:04.920]  傷心流淚的狀態
[00:04:04.920 --> 00:04:07.920]  變成一個歡呼喜樂的狀態
[00:04:07.920 --> 00:04:09.920]  因為耶穌基督已經復活了
[00:04:09.920 --> 00:04:11.920]  所以耶穌不單止變了身體
[00:04:11.920 --> 00:04:13.920]  祂也變成了新的
[00:04:13.920 --> 00:04:15.920]  不是以前一樣
[00:04:15.920 --> 00:04:17.920]  天上地下所有的權柄都歸於祂
[00:04:17.920 --> 00:04:19.920]  一切榮耀都歸於祂
[00:04:19.920 --> 00:04:20.920]  不單止這樣
[00:04:20.920 --> 00:04:22.920]  耶穌不單止自己改變
[00:04:22.920 --> 00:04:24.920]  凡是真心跟隨耶穌的人
[00:04:24.920 --> 00:04:28.920]  耶穌絕對有能力去幫助你改變
[00:04:28.920 --> 00:04:30.920]  所以你不單止變了身體
[00:04:30.920 --> 00:04:32.920]  你一切都變成了新的
[00:04:32.920 --> 00:04:34.920]  一個舊的你
[00:04:34.920 --> 00:04:36.920]  變成一個新的你
[00:04:36.920 --> 00:04:37.920]  石英說得很清楚
[00:04:37.920 --> 00:04:40.920]  他說若有人在基督裡
[00:04:40.920 --> 00:04:42.920]  即是你信了耶穌
[00:04:42.920 --> 00:04:43.920]  被聖靈充滿的時候
[00:04:43.920 --> 00:04:45.920]  你就是一個新造的人
[00:04:45.920 --> 00:04:46.920]  舊事已過
[00:04:46.920 --> 00:04:48.920]  都變成新的了
[00:04:48.920 --> 00:04:51.920]  其實不單止是哥林多後書說的
[00:04:51.920 --> 00:04:54.920]  在《馬太福音》九章九至十七節
[00:04:54.920 --> 00:04:56.920]  耶穌也是在說同一樣東西
[00:04:56.920 --> 00:04:57.920]  要我們變新
[00:04:57.920 --> 00:04:59.920]  變成新的
[00:04:59.920 --> 00:05:01.920]  怎樣變成新的呢
[00:05:01.920 --> 00:05:02.920]  有兩個方向
[00:05:02.920 --> 00:05:03.920]  怎樣變呢
[00:05:03.920 --> 00:05:04.920]  有兩個方向
[00:05:04.920 --> 00:05:05.920]  第一個
[00:05:05.920 --> 00:05:09.920]  我們要改變一些一貫恩秦的習慣
[00:05:09.920 --> 00:05:11.920]  什麼叫一貫恩秦的習慣呢
[00:05:11.920 --> 00:05:13.920]  等一下我們可以問問我們自己
[00:05:13.920 --> 00:05:15.920]  在我們信仰生活裡
[00:05:15.920 --> 00:05:18.920]  有些什麼我們一向不會做的
[00:05:18.920 --> 00:05:20.920]  一向不習慣做的
[00:05:20.920 --> 00:05:24.920]  如果有一些事情我們一向都做的
[00:05:24.920 --> 00:05:26.920]  我們是一定不會改變的
[00:05:26.920 --> 00:05:27.920]  可能每個人都有
[00:05:27.920 --> 00:05:28.920]  在我們信仰生活裡都有
[00:05:28.920 --> 00:05:30.920]  在我們人心裡都有
[00:05:30.920 --> 00:05:31.920]  好了
[00:05:31.920 --> 00:05:33.920]  耶穌就是在說這件事
[00:05:33.920 --> 00:05:36.920]  我們一起先看《馬太福音》的第九章
[00:05:36.920 --> 00:05:37.920]  九至十節
[00:05:37.920 --> 00:05:39.920]  等一下讓大家看到我們一起讀
[00:05:39.920 --> 00:05:40.920]  一二三
[00:05:40.920 --> 00:05:43.920]  耶穌從那裡往前走
[00:05:43.920 --> 00:05:46.920]  看見一個人名叫馬太
[00:05:46.920 --> 00:05:48.920]  坐在隧關上
[00:05:48.920 --> 00:05:49.920]  就對他說
[00:05:49.920 --> 00:05:51.920]  你跟從我來
[00:05:51.920 --> 00:05:55.920]  他就起來跟從了耶穌
[00:05:55.920 --> 00:05:58.920]  耶穌在屋裡坐直的時候
[00:05:58.920 --> 00:06:01.920]  有好些稅吏和罪人來
[00:06:01.920 --> 00:06:05.920]  與耶穌和他的門徒一同坐直
[00:06:05.920 --> 00:06:08.920]  先說一下那個馬太是誰
[00:06:08.920 --> 00:06:09.920]  馬太那個很清楚
[00:06:09.920 --> 00:06:11.920]  就是《馬太福音》的作者
[00:06:11.920 --> 00:06:13.920]  馬太的職業是什麼呢
[00:06:13.920 --> 00:06:14.920]  稅吏
[00:06:14.920 --> 00:06:19.920]  稅吏不是做稅務局的公務員
[00:06:19.920 --> 00:06:21.920]  那時候不是像現在這樣
[00:06:21.920 --> 00:06:23.920]  稅吏是什麼呢
[00:06:23.920 --> 00:06:27.920]  稅吏是當時耶穌時代猶太人極之憎
[00:06:27.920 --> 00:06:29.920]  極之鄙視
[00:06:29.920 --> 00:06:33.920]  他們是等同於兩個系列的
[00:06:33.920 --> 00:06:35.920]  第一個就是黑人憎
[00:06:35.920 --> 00:06:37.920]  第二個就是罪人
[00:06:37.920 --> 00:06:41.920]  所以提稅吏這個名字就等同於罪人
[00:06:41.920 --> 00:06:42.920]  為什麼呢
[00:06:42.920 --> 00:06:43.920]  兩個原因
[00:06:43.920 --> 00:06:45.920]  第一個
[00:06:45.920 --> 00:06:50.920]  這些稅吏是幫助當時統治以色列的外邦人
[00:06:50.920 --> 00:06:54.920]  外人的羅馬帝國去收稅
[00:06:54.920 --> 00:06:56.920]  所以賣國賊
[00:06:56.920 --> 00:06:59.920]  第二就是和收稅有關
[00:06:59.920 --> 00:07:00.920]  舉個例子
[00:07:00.920 --> 00:07:01.920]  譬如艾倫奧是稅吏
[00:07:01.920 --> 00:07:02.920]  我是羅馬帝國
[00:07:02.920 --> 00:07:04.920]  那我就規定他
[00:07:04.920 --> 00:07:08.920]  明天一定要交十萬元
[00:07:08.920 --> 00:07:11.920]  這個定額的準時交數
[00:07:11.920 --> 00:07:14.920]  至於艾倫奧和大家怎樣收呢
[00:07:14.920 --> 00:07:16.920]  他可能收一百萬
[00:07:16.920 --> 00:07:19.920]  又或者他用什麼方法收呢
