
[00:00:00.000 --> 00:00:06.000]  今天我選擇了一個題目叫做「壓力與祝福」
[00:00:06.000 --> 00:00:09.000]  或者我說我為什麼會選擇這個題目
[00:00:09.000 --> 00:00:13.500]  就是一年前楊牧師和我
[00:00:13.500 --> 00:00:17.500]  其實和忠誠院長開了一個會議
[00:00:17.500 --> 00:00:20.500]  當時這個會議的起源
[00:00:20.500 --> 00:00:24.500]  就是因為楊牧師覺得在職場上
[00:00:24.500 --> 00:00:29.000]  那些活友是面對很大的壓力
[00:00:29.000 --> 00:00:31.500]  所以他就想看看有什麼辦法
[00:00:31.500 --> 00:00:33.500]  可以更加好的去服侍他們
[00:00:33.500 --> 00:00:38.000]  我其實一直都很感動
[00:00:38.000 --> 00:00:41.000]  就是楊牧師對神的毀身
[00:00:41.000 --> 00:00:47.000]  和他服侍弟兄姊妹那個毫無保留的付出
[00:00:47.000 --> 00:00:48.500]  我是很感動的
[00:00:48.500 --> 00:00:50.000]  我因為有感意感意
[00:00:50.000 --> 00:00:54.000]  我就用了他有感觸的地方
[00:00:54.000 --> 00:00:58.000]  就去做了今天這個題目
[00:00:59.000 --> 00:01:03.000]  但是其實壓力就真的不是只是職場的
[00:01:03.000 --> 00:01:06.000]  你說職場是不是壓力越來越大呢
[00:01:06.000 --> 00:01:08.000]  我出自銀行界的
[00:01:08.000 --> 00:01:11.000]  我那個圍檯都有幾位是銀行界出來的
[00:01:11.000 --> 00:01:13.000]  銀行界都不同了很多
[00:01:13.000 --> 00:01:15.000]  特別是金融海嘯之後
[00:01:15.000 --> 00:01:18.000]  其實整個香港都不同了很多
[00:01:18.000 --> 00:01:21.000]  周圍其實那個壓力都大的
[00:01:21.000 --> 00:01:25.000]  最近我就增長了一些知識
[00:01:25.000 --> 00:01:26.000]  就是怎樣呢
[00:01:26.000 --> 00:01:29.000]  話說有一天我和我先生去吃午飯的時候
[00:01:29.000 --> 00:01:32.000]  隔壁桌子就坐了一對母女
[00:01:32.000 --> 00:01:35.000]  那個女的九歲大很瘦
[00:01:35.000 --> 00:01:36.000]  在讀三年班
[00:01:36.000 --> 00:01:42.000]  聊著聊著原來那個女的讀了我以前讀的那間學校
[00:01:42.000 --> 00:01:47.000]  就發覺原來這個小朋友是早上六點多起床上學
[00:01:47.000 --> 00:01:49.000]  四點多放學
[00:01:49.000 --> 00:01:56.000]  然後就有保姆由這間學校接她去另外一個補習社
[00:01:56.000 --> 00:01:59.000]  就一路去到七點多
[00:01:59.000 --> 00:02:00.000]  都未做完功課
[00:02:00.000 --> 00:02:03.000]  她一天是要做五個小時功課
[00:02:03.000 --> 00:02:06.000]  然後第二天六點多就上學了
[00:02:06.000 --> 00:02:10.000]  平均分是七十分都已經爆尾了
[00:02:10.000 --> 00:02:13.000]  我一聽到之後
[00:02:13.000 --> 00:02:15.000]  這個媽媽其實就很大壓力
[00:02:15.000 --> 00:02:17.000]  她說都不知道讀不讀得上去
[00:02:17.000 --> 00:02:20.000]  讀得上去又害怕 讀不上去又害怕
[00:02:20.000 --> 00:02:24.000]  我再和我弟父傾下update下
[00:02:24.000 --> 00:02:30.000]  原來現在上兩間學校的小朋友都不是沒有
[00:02:30.000 --> 00:02:33.000]  都很多小朋友上兩間學校
[00:02:33.000 --> 00:02:37.000]  還有些小朋友就是提前讀的
[00:02:37.000 --> 00:02:38.000]  為什麼呢
