
[00:00:00.000 --> 00:00:03.000]  我今天說參選的時候
[00:00:03.000 --> 00:00:08.000]  我揀選的經文是在《士思記》十三章一到五節
[00:00:08.000 --> 00:00:09.000]  開始的時候
[00:00:09.000 --> 00:00:11.000]  我邀請大家跟我一起讀讀這段經文
[00:00:11.000 --> 00:00:13.000]  好嗎?一二三
[00:00:13.000 --> 00:00:18.000]  以色列人又行耶和華眼中看為惡的事
[00:00:18.000 --> 00:00:23.000]  耶和華將他們交在菲律師人手中四十年
[00:00:23.000 --> 00:00:27.000]  那時有一個所拉人是屬彈族的
[00:00:27.000 --> 00:00:32.000]  名叫瑪拉雅他的妻不懷孕不生育
[00:00:32.000 --> 00:00:37.000]  耶和華的使者向那婦人顯現對她說
[00:00:37.000 --> 00:00:39.000]  向來你不懷孕不生育
[00:00:39.000 --> 00:00:43.000]  如今你必懷孕生一個兒子
[00:00:43.000 --> 00:00:45.000]  所以你當謹慎
[00:00:45.000 --> 00:00:48.000]  清酒濃酒都不可喝
[00:00:48.000 --> 00:00:51.000]  一切不潔之物也不可吃
[00:00:51.000 --> 00:00:54.000]  你必懷孕生一個兒子
[00:00:54.000 --> 00:00:57.000]  不可用剃頭刀剃他的頭
[00:00:57.000 --> 00:01:02.000]  因為這孩子一出胎就歸神作拿世爾人
[00:01:02.000 --> 00:01:08.000]  他必起手拯救以色列人脫離菲律師人
[00:01:08.000 --> 00:01:15.000]  那這段經文講到以色列人他已經進入到加拿美地
[00:01:15.000 --> 00:01:19.000]  約書亞就根據不同支派就已經分了
[00:01:19.000 --> 00:01:21.000]  你去這裡你去那裡
[00:01:21.000 --> 00:01:26.000]  以色列人就在他自己分得的地方定居下來
[00:01:26.000 --> 00:01:29.000]  不過他沒有按照神那份的吩咐
[00:01:29.000 --> 00:01:32.000]  就說你一定要將加拿人趕走
[00:01:32.000 --> 00:01:36.000]  而加拿人就是跟他們一起的居住
[00:01:36.000 --> 00:01:39.000]  以色列人慢慢被他們的風俗影響
[00:01:39.000 --> 00:01:43.000]  甚至乎就娶加拿的女子為妻
[00:01:43.000 --> 00:01:48.000]  被加拿的女子引誘他們去敬拜別的神
[00:01:48.000 --> 00:01:52.000]  以色列人你想想他明明是神的選民
[00:01:52.000 --> 00:01:56.000]  所以神其實就是他們生命裡面的王
[00:01:56.000 --> 00:01:58.000]  不過我們看《士思記》的時候
[00:01:58.000 --> 00:02:02.000]  我們看到《士思記》這樣形容當時的以色列人
[00:02:02.000 --> 00:02:03.000]  他說什麼?
[00:02:03.000 --> 00:02:05.000]  不知道耶和華
[00:02:05.000 --> 00:02:07.000]  明明神是你的神
