
[00:00:00.000 --> 00:00:03.560]  今天讀了三段經文
[00:00:03.560 --> 00:00:05.640]  剛才主席幫我讀了三段經文
[00:00:05.640 --> 00:00:07.800]  第一段是關於
[00:00:07.800 --> 00:00:11.440]  野地的牧羊人聽到天使的歌聲
[00:00:11.440 --> 00:00:13.440]  和天使向他們報信
[00:00:13.440 --> 00:00:15.080]  這是第一段經文
[00:00:15.080 --> 00:00:17.680]  第二段經文是後一點的
[00:00:17.680 --> 00:00:21.080]  就是耶穌的父母帶著耶穌
[00:00:21.080 --> 00:00:23.400]  第八天去到聖殿裏面
[00:00:23.400 --> 00:00:24.760]  行國禮的時候
[00:00:24.760 --> 00:00:26.760]  就有兩個人出現
[00:00:26.760 --> 00:00:29.480]  而且用了頗長的篇幅來講
[00:00:29.480 --> 00:00:31.480]  西面和亞拿
[00:00:31.480 --> 00:00:34.520]  他們為耶穌祝福
[00:00:34.520 --> 00:00:40.240]  第三段是有幾個東方的博士
[00:00:40.240 --> 00:00:42.920]  新社會叫做博學之士
[00:00:42.920 --> 00:00:44.560]  是很智慧的人
[00:00:44.560 --> 00:00:50.280]  他們特別是從東方跟著明星來尋找耶穌
[00:00:50.280 --> 00:00:55.200]  這三個聖經的故事或描述
[00:00:55.200 --> 00:01:02.040]  時常在聖誕節被講述
[00:01:02.040 --> 00:01:10.200]  今天我們一次過講述這三個事件
[00:01:10.200 --> 00:01:15.200]  聖誕節的主題是慶祝耶穌基督的降生
[00:01:15.200 --> 00:01:17.680]  因為時空的限制
[00:01:17.680 --> 00:01:22.040]  真的有機會見到主耶穌基督的真人
[00:01:22.040 --> 00:01:23.720]  是相當有限的
[00:01:23.720 --> 00:01:30.000]  你一定要生活在二千多年前的巴勒斯坦
[00:01:30.000 --> 00:01:33.360]  猶太這個地方
[00:01:33.360 --> 00:01:36.040]  就在耶穌同一個時空裏面
[00:01:36.040 --> 00:01:38.040]  你才會相遇得到
[00:01:38.040 --> 00:01:41.120]  你過了一點點就遇不到
[00:01:41.120 --> 00:01:45.880]  所以真的見過耶穌本人的人
[00:01:45.880 --> 00:01:48.880]  在歷史上是相當有限的
