
[00:00:00.000 --> 00:00:06.140]  總之有五兄弟姐妹都是故意的
[00:00:06.140 --> 00:00:09.720]  有一天國王說要收養他們
[00:00:09.720 --> 00:00:13.320]  村裡所有的村民知道了都很為他們高興
[00:00:13.320 --> 00:00:17.400]  對他們說你們一定要為國王預備一些東西
[00:00:17.400 --> 00:00:22.020]  總不能夠兩手空空去見他
[00:00:22.020 --> 00:00:26.120]  那五個兄弟姐妹都覺得他們說得很對
[00:00:26.120 --> 00:00:30.220]  很會雕刻的大哥就埋頭苦幹
[00:00:30.220 --> 00:00:35.080]  要為國王做一個最好的雕像
[00:00:35.080 --> 00:00:39.680]  很會畫畫的二姐姐就預備了所有的畫具
[00:00:39.680 --> 00:00:45.060]  要為國王畫一幅最美麗的圖畫
[00:00:45.060 --> 00:00:49.680]  很有智慧的三哥就說要努力讀書
[00:00:49.680 --> 00:00:54.280]  要在國王面前做一個智者
[00:00:54.280 --> 00:00:58.380]  擁有甜美歌聲的四姐姐
[00:00:58.380 --> 00:01:00.160]  也都勤力練歌
[00:01:00.160 --> 00:01:06.060]  要在國王面前獻上最美妙的歌聲
[00:01:06.060 --> 00:01:08.880]  五妹她沒有什麼藝術天分
[00:01:08.880 --> 00:01:10.920]  也都不懂得多少個字
[00:01:10.920 --> 00:01:18.080]  她只懂得為過路的旅客照顧麻醉
[00:01:18.080 --> 00:01:21.920]  慰問和關心旅客的旅程
[00:01:21.920 --> 00:01:24.480]  跟他們聊聊天
[00:01:24.480 --> 00:01:28.560]  她覺得她都需要好像哥哥姐姐一樣
[00:01:28.560 --> 00:01:30.880]  要為國王做一些事
[00:01:30.880 --> 00:01:32.920]  於是她就去找他們
[00:01:32.920 --> 00:01:35.740]  希望他們能夠教她一些技能
[00:01:35.740 --> 00:01:38.560]  但是每一次都令到她很失望
[00:01:38.560 --> 00:01:42.060]  因為哥哥姐姐全部都為著不同的需要
[00:01:42.060 --> 00:01:45.480]  而望到不願意跟她聊天
[00:01:45.480 --> 00:01:49.820]  五妹於是就繼續自己的生活
[00:01:49.820 --> 00:01:54.420]  有一天有一個旅客經過這條村
[00:01:54.420 --> 00:01:57.500]  五妹見到他就如常的上前
[00:01:57.500 --> 00:01:59.540]  去為他照顧麻醉
[00:01:59.540 --> 00:02:02.620]  又如常的跟他聊天
[00:02:02.620 --> 00:02:06.980]  原來這個是一個由遠方來到這裡的旅客
[00:02:06.980 --> 00:02:09.540]  是來找人的
[00:02:09.540 --> 00:02:11.580]  五妹問他
[00:02:11.580 --> 00:02:14.140]  你辦完事之後還會回來嗎?
[00:02:14.140 --> 00:02:15.680]  你再回來吧
[00:02:15.680 --> 00:02:19.260]  讓我再為你照顧麻醉
[00:02:19.260 --> 00:02:20.540]  他們聊了很久
[00:02:20.540 --> 00:02:23.100]  這個旅客就走了
[00:02:23.100 --> 00:02:25.660]  過了一段時間
[00:02:25.660 --> 00:02:27.200]  好一些的日子
[00:02:27.200 --> 00:02:31.300]  這個旅客再次回來
[00:02:31.300 --> 00:02:34.360]  五妹問你找到要找的人嗎?
[00:02:34.360 --> 00:02:35.380]  旅客說
[00:02:35.380 --> 00:02:36.920]  我要找的人
[00:02:36.920 --> 00:02:40.260]  第一個將他自己藏在屋裡
[00:02:40.260 --> 00:02:42.820]  好像趕著要做什麼雕塑
[00:02:42.820 --> 00:02:46.660]  什麼人都說不見
[00:02:46.660 --> 00:02:50.240]  第二個就在山上畫畫
[00:02:50.240 --> 00:02:51.780]  山下的村民說
[00:02:51.780 --> 00:02:54.860]  他不願意跟任何人去聊天
[00:02:54.860 --> 00:02:59.460]  怕會趕走所有的靈感
[00:02:59.460 --> 00:03:01.500]  第三個人我找都找不到
[00:03:01.500 --> 00:03:03.820]  村民說他搬了去大城市
[00:03:03.820 --> 00:03:08.160]  去追求更多的學問
[00:03:08.160 --> 00:03:09.960]  第四個
[00:03:09.960 --> 00:03:11.500]  在很遠的地方
[00:03:11.500 --> 00:03:13.800]  我已經聽到他美妙的歌聲
[00:03:13.800 --> 00:03:16.880]  但是他身邊有太多的人圍住
[00:03:16.880 --> 00:03:19.440]  而他又很享受他們給他的掌聲
[00:03:19.440 --> 00:03:24.560]  我根本沒有機會跟他聊天
[00:03:24.560 --> 00:03:26.600]  五妹很驚訝地問
[00:03:26.600 --> 00:03:28.900]  難道你就是國王?
[00:03:28.900 --> 00:03:32.480]  我還以為國王只會在皇宮裡辦事
[00:03:32.480 --> 00:03:35.040]  不會走出宮廷外面的
[00:03:35.040 --> 00:03:37.100]  國王笑著對他說
[00:03:37.100 --> 00:03:38.380]  是啊
[00:03:38.380 --> 00:03:41.440]  我會在宮廷裡處理朝政
[00:03:41.440 --> 00:03:45.540]  但是我也想知道我的國民在做什麼
[00:03:45.540 --> 00:03:49.880]  我也想跟他們聊天
[00:03:49.880 --> 00:03:51.160]  五妹問
[00:03:51.160 --> 00:03:53.220]  那你會收養我嗎?
[00:03:53.220 --> 00:03:55.000]  我什麼都不懂
[00:03:55.000 --> 00:03:57.320]  但是你會愛我嗎?
[00:03:57.320 --> 00:03:58.340]  國王說
[00:03:58.340 --> 00:03:59.620]  當然會
[00:03:59.620 --> 00:04:02.440]  因為你是一個肯花時間
[00:04:02.440 --> 00:04:09.340]  用心去跟我相交的人
[00:04:09.340 --> 00:04:11.900]  我們時時在想
[00:04:11.900 --> 00:04:16.260]  要為主做些什麼才行呢?
[00:04:16.260 --> 00:04:19.080]  What can I do for you?
[00:04:19.080 --> 00:04:20.360]  又或者
[00:04:20.360 --> 00:04:23.680]  有什麼我可以幫上忙的?
[00:04:23.680 --> 00:04:25.980]  How can I help?
[00:04:25.980 --> 00:04:29.060]  其實如果大家聽得清楚
[00:04:29.060 --> 00:04:33.920]  重點都是我
[00:04:33.920 --> 00:04:37.760]  但是主最想要的是什麼呢?
[00:04:37.760 --> 00:04:43.640]  那Lord, what do you want me to do?
[00:04:43.640 --> 00:04:45.700]  是我們的智慧?
[00:04:45.700 --> 00:04:46.980]  雕塑?
[00:04:46.980 --> 00:04:48.520]  繪畫?
[00:04:48.520 --> 00:04:49.540]  書法?
[00:04:49.540 --> 00:04:50.820]  歌藝?
[00:04:50.820 --> 00:04:53.380]  還是金錢?
[00:04:53.380 --> 00:04:55.160]  我們時時說
[00:04:55.160 --> 00:04:57.980]  為主付出很多
[00:04:57.980 --> 00:05:00.540]  但是他最想的
[00:05:00.540 --> 00:05:02.340]  是我們的一顆心
[00:05:02.340 --> 00:05:03.880]  還有少少的時間
[00:05:03.880 --> 00:05:07.200]  我們有給他嗎?
[00:05:07.200 --> 00:05:08.740]  因為我們已經
[00:05:08.740 --> 00:05:12.320]  不經意地好像那四個哥哥姐姐一樣
[00:05:12.320 --> 00:05:15.400]  將要為主做的事
[00:05:15.400 --> 00:05:18.720]  看得比主祂自己更加重要
[00:05:18.720 --> 00:05:21.280]  我們也將侍奉裡面的表現
[00:05:21.280 --> 00:05:28.200]  看得比主祂更加重要
[00:05:28.200 --> 00:05:31.000]  我們看我們自己所作的一切
[00:05:31.000 --> 00:05:37.400]  我們的表現比主祂自己更重要
