
[00:00:00.000 --> 00:00:09.000]  (主持人:各位電視姊妹,這個題目是張琳琪思念登山變像,她是誰?)
[00:00:09.000 --> 00:00:15.000]  (主持人:其實我覺得盧家寬說到這裏,就適合張琳琪,都很配合)
[00:00:15.000 --> 00:00:19.000]  (主持人:張琳琪是甚麼呢?張琳琪簡單說就是快到聖誕節)
[00:00:19.000 --> 00:00:26.000]  (主持人:在一些教會的行事曆,就會編這一段時間,就是張琳琪)
[00:00:26.000 --> 00:00:30.000]  (主持人:也就是說,耶穌會降生,耶穌將會來臨)
[00:00:30.000 --> 00:00:37.000]  (主持人:但亦都是所謂去思想一樣東西,就是耶穌將會降臨)
[00:00:37.000 --> 00:00:42.000]  (主持人:在末世的時代,我們是在等候耶穌再來)
[00:00:42.000 --> 00:00:49.000]  (主持人:所以我們等候耶穌再來,大家有沒有想過我們等候的耶穌是怎樣的耶穌呢?)
[00:00:49.000 --> 00:00:53.000]  (主持人:你心目中期待的耶穌是甚麼形象的耶穌呢?)
[00:00:53.000 --> 00:00:57.000]  (主持人:你認識的耶穌是怎樣的耶穌呢?)
[00:00:57.000 --> 00:01:03.000]  (主持人:從這幅畫開始,可能有些人都見過這幅畫)
[00:01:03.000 --> 00:01:10.000]  (主持人:這幅畫真是登山變象,是一幅文藝復興很出名的名畫)
[00:01:10.000 --> 00:01:18.000]  (主持人:有所謂文藝復興三傑,一個是米高安哲羅,一個是達文西,另外一個是拉斐爾)
[00:01:18.000 --> 00:01:24.000]  (主持人:拉斐爾畫這幅畫的時候,當然藝術成分很高)
[00:01:24.000 --> 00:01:30.000]  (主持人:如果登山變象,剛才讀過經,你會知道有些不同的角色)
[00:01:30.000 --> 00:01:38.000]  (主持人:有甚麼角色呢?有耶穌,有些很有趣的飛起,不是升天,但他的表達就是這樣)
[00:01:38.000 --> 00:01:43.000]  (主持人:一左一右,是誰呢?是墨西、以利亞)
[00:01:43.000 --> 00:01:49.000]  (主持人:下面三個,差點看不到,扑在這裏,彼得、雅各、約翰)
[00:01:49.000 --> 00:01:55.000]  (主持人:這幅畫的構圖我不分析了,你自己去搜尋一下)
[00:01:55.000 --> 00:02:00.000]  (主持人:但最特別的地方是這幅畫是很多人沒有留意到的)
[00:02:00.000 --> 00:02:06.000]  (主持人:我甚至有一本聖經,在家裏叫做聖經名畫,即是那些聖經的編排)
[00:02:06.000 --> 00:02:11.000]  (主持人:每一段名畫都有這幅,但他沒有提及一個很特別的地方)
[00:02:11.000 --> 00:02:17.000]  (主持人:特別的地方在哪裏呢?就是這幅畫的下面是甚麼來的,是在說甚麼)
[00:02:17.000 --> 00:02:25.000]  (主持人:下次再說,為甚麼呢?因為原來這位拉斐爾在人生的高峰的最後一幅畫)
[00:02:25.000 --> 00:02:29.000]  (主持人:他真的很認真讀聖經,簡直就是路加夫的經文)
[00:02:29.000 --> 00:02:35.000]  (主持人:為甚麼呢?因為在登山變相之後的經文,我沒有印出來,但你自己回去看)
[00:02:35.000 --> 00:02:43.000]  (主持人:就是耶穌去趕鬼,幫這幅畫的右邊的小孩去趕鬼)
[00:02:43.000 --> 00:02:50.000]  (主持人:下面就很混亂,其實就是路加夫的故事的延續,所以兩個故事在一幅畫裏面)
[00:02:50.000 --> 00:02:56.000]  (主持人:但那個藝術性或訊息是甚麼呢?即是說是一個意願)
[00:02:56.000 --> 00:03:06.000]  (主持人:你見到上面是登山變相的天上或是一個榮耀光明的景象)
[00:03:06.000 --> 00:03:16.000]  (主持人:但下面就很黑暗,地上人世間有鬼符,很混亂的情況)
[00:03:16.000 --> 00:03:23.000]  (主持人:亦都表達到上面有希望,下面有絕望,這些不是我說的,這些是分析那幅畫的)
[00:03:23.000 --> 00:03:33.000]  (主持人:因為聖經又真是所謂最美好的時代,亦都是最邪惡的時代,最差的時代就在這幅畫裏面)
[00:03:33.000 --> 00:03:37.000]  (主持人:所以這些很有永恆價值,時時都是這樣,你看這幅畫)
[00:03:37.000 --> 00:03:43.000]  (主持人:就是表達到我們基督教信仰,或者在兩段經文拍在一起看的時候)
[00:03:43.000 --> 00:03:51.000]  (主持人:就是看到我們在看哪個位置,我們是否只是在看下面呢?我們是身處在下面)
[00:03:51.000 --> 00:03:54.000]  (主持人:我們是否能夠看到上面呢?)
[00:03:54.000 --> 00:03:59.000]  (主持人:所以這幅畫開場白就看到這些東西)
[00:03:59.000 --> 00:04:07.000]  (主持人:其實在經文裏是完全在說究竟登山變相是想說些什麼)
[00:04:07.000 --> 00:04:11.000]  (主持人:為什麼我要登前面的十八節出來呢?)
