
[00:00:00.000 --> 00:00:05.120]  首先我要向大家致歉
[00:00:05.120 --> 00:00:12.880]  因為這段日子可能會悶壞你們
[00:00:12.880 --> 00:00:17.720]  因為這段日子我暗暗沉沉
[00:00:17.720 --> 00:00:19.840]  跟著約翰先生這樣
[00:00:19.840 --> 00:00:21.720]  他就是暗暗沉沉
[00:00:21.720 --> 00:00:25.160]  所以我就跟著他暗暗沉沉去暗你們
[00:00:25.160 --> 00:00:27.400]  因為他暗當時的弟兄姊妹
[00:00:27.400 --> 00:00:30.000]  我看他講解的時候
[00:00:30.000 --> 00:00:31.720]  我就跟著他的書信來講
[00:00:31.720 --> 00:00:33.920]  就是暗暗沉沉
[00:00:33.920 --> 00:00:37.000]  不過這次我告訴你一個開心的消息
[00:00:37.000 --> 00:00:39.480]  暗完這次就完了
[00:00:39.480 --> 00:00:42.960]  因為今天是約翰一書最後的一次
[00:00:42.960 --> 00:00:48.440]  不過請你們讓我再暗多一次
[00:00:48.440 --> 00:00:50.040]  不過暗都不關我的事
[00:00:50.040 --> 00:00:53.520]  約翰先生暗我就跟著暗
[00:00:53.520 --> 00:00:56.560]  我們要看約翰一書最後的一部份
[00:00:56.560 --> 00:00:59.680]  我想問你們一個問題
[00:00:59.680 --> 00:01:03.040]  想清楚,聽清楚
[00:01:03.040 --> 00:01:06.800]  你們相信不相信有永生?
[00:01:06.800 --> 00:01:10.960]  你相信你死了之後有永遠生命?
[00:01:10.960 --> 00:01:16.160]  你相信是否真的這樣相信?
[00:01:16.160 --> 00:01:21.720]  你知不知道你裏面有永生?
[00:01:21.720 --> 00:01:22.960]  我們看今日的經文
[00:01:22.960 --> 00:01:26.320]  就是在五章的十三節
[00:01:26.320 --> 00:01:27.720]  開始
[00:01:27.720 --> 00:01:29.520]  「我把這些話寫給你們
[00:01:29.520 --> 00:01:32.560]  信奉神而子之名的人
[00:01:32.560 --> 00:01:36.360]  要讓你們知道自己有永生」
[00:01:36.360 --> 00:01:41.160]  要讓你們知道自己有永生
[00:01:41.160 --> 00:01:44.120]  「我們若照著神的旨意祈求
[00:01:44.120 --> 00:01:46.040]  祂就誰聽我們
[00:01:46.040 --> 00:01:49.720]  這就是我們對祂全坦然無懼的心
[00:01:49.720 --> 00:01:53.000]  既然我們知道祂聽我們一切所求的
[00:01:53.000 --> 00:01:58.320]  就知道我們所求於祂的無不得著
[00:01:58.320 --> 00:02:02.520]  人若看弟兄犯了不致死的罪
[00:02:02.520 --> 00:02:04.120]  就要為他祈求
[00:02:04.120 --> 00:02:07.840]  神必將生命賜給他
[00:02:07.840 --> 00:02:12.720]  有一些人犯的罪是不致於死的
[00:02:12.720 --> 00:02:15.240]  有的是致於死的罪
[00:02:15.240 --> 00:02:19.560]  我不是說要為這罪祈求
[00:02:19.560 --> 00:02:23.360]  一切不義的事都是罪
[00:02:23.360 --> 00:02:26.800]  但也有不致於死的罪
[00:02:26.800 --> 00:02:30.880]  我們知道凡從神生的必不犯罪
[00:02:30.880 --> 00:02:35.800]  從神生的那一位必保守他
[00:02:35.800 --> 00:02:39.600]  那邪惡者無法加害於他
[00:02:39.600 --> 00:02:41.840]  我們知道我們是屬神的
[00:02:41.840 --> 00:02:47.280]  而全世界都服在那邪惡者的權勢之下
[00:02:47.280 --> 00:02:50.760]  我們知道神的兒子已經來到
[00:02:50.760 --> 00:02:53.080]  並且將悟性賜給我們
[00:02:53.080 --> 00:02:55.280]  使我們認識那位真實者
[00:02:55.280 --> 00:02:58.320]  我們也在那位真實者裡面
[00:02:58.320 --> 00:03:05.920]  就是在他兒子耶穌基督裡面
[00:03:05.920 --> 00:03:09.720]  這是真神
[00:03:09.720 --> 00:03:13.560]  也是永生
[00:03:13.560 --> 00:03:18.880]  「孩子們啊,你們要遠避偶像」
[00:03:18.880 --> 00:03:21.880]  我最後一節是這樣說的
[00:03:21.880 --> 00:03:27.400]  「孩子們啊,你們要遠避偶像」
[00:03:27.400 --> 00:03:30.160]  我們同心禱告
[00:03:30.160 --> 00:03:34.440]  永生的上帝,我們懇求祢光照我們
[00:03:34.440 --> 00:03:37.160]  讓我們在祢的真光裡面
[00:03:37.160 --> 00:03:39.280]  攜帶祢的真光
[00:03:39.280 --> 00:03:42.400]  我們繼續行在光明的當中
[00:03:42.400 --> 00:03:44.960]  在這段時間
[00:03:44.960 --> 00:03:47.920]  我們眾弟兄姊妹們要領受祢的話語
[00:03:47.920 --> 00:03:51.080]  求祢將祢的話語賜給我們
[00:03:51.080 --> 00:03:53.160]  我們願望祢
[00:03:53.160 --> 00:03:55.120]  我們愛祢
[00:03:55.120 --> 00:03:57.280]  我們跟隨祢
