
[00:00:00.000 --> 00:00:01.300]  好,各位弟兄姊妹早晨
[00:00:01.300 --> 00:00:05.400]  我們去到下集活現完全的愛
[00:00:05.400 --> 00:00:07.900]  如果記得我都
[00:00:07.900 --> 00:00:09.600]  整半年都是講一樣一書的了
[00:00:09.600 --> 00:00:12.100]  那我不再重複任何了
[00:00:12.100 --> 00:00:15.700]  那今天是張臨期第三主日
[00:00:15.700 --> 00:00:16.700]  那其實呢
[00:00:16.700 --> 00:00:18.500]  第三天立了你叫粉紅色
[00:00:18.500 --> 00:00:19.500]  是有一點意思的
[00:00:19.500 --> 00:00:20.800]  代表喜樂的意思
[00:00:20.800 --> 00:00:24.300]  那所以我都想在我們今天講道開始之前
[00:00:24.300 --> 00:00:26.300]  都帶點喜樂給大家
[00:00:26.300 --> 00:00:27.700]  就講個笑話給大家聽
[00:00:27.700 --> 00:00:28.600]  好不好
[00:00:29.100 --> 00:00:30.600]  那通常這樣講就很大壓力的
[00:00:30.600 --> 00:00:31.600]  因為不笑呢
[00:00:31.600 --> 00:00:35.700]  就...就...就...就...還慘過不講啊
[00:00:35.700 --> 00:00:38.200]  那就...
[00:00:38.200 --> 00:00:42.400]  在一個很繁忙的渡海小鱗碼頭那裡
[00:00:42.400 --> 00:00:45.200]  那有很多人在那裡擠湧
[00:00:45.200 --> 00:00:46.500]  那有個小朋友在那裡玩
[00:00:46.500 --> 00:00:47.100]  玩一玩呢
[00:00:47.100 --> 00:00:48.700]  整個小朋友都掉了進水裡
[00:00:48.700 --> 00:00:50.800]  哇,接著爹又很緊張了
[00:00:50.800 --> 00:00:51.700]  哇,小朋友掉進水裡了
[00:00:51.700 --> 00:00:52.900]  快點找人救他吧這樣
[00:00:52.900 --> 00:00:54.600]  個個都說快點找人救他吧
[00:00:54.600 --> 00:00:55.600]  那沒有人下去
[00:00:55.600 --> 00:00:56.900]  個個都是袖手旁觀
[00:00:56.900 --> 00:00:58.200]  接著沒多久聽到
[00:00:58.200 --> 00:00:58.800]  砰一聲
[00:00:58.800 --> 00:01:02.500]  哇,有個精壯的大漢都跳進水裡了
[00:01:02.500 --> 00:01:05.900]  很勇奮不顧身就救回小朋友上來了
[00:01:05.900 --> 00:01:07.500]  哇,接著大家都很讚賞
[00:01:07.500 --> 00:01:08.200]  拍哂欄杖
[00:01:08.200 --> 00:01:09.200]  哇,厲害這個
[00:01:09.200 --> 00:01:10.200]  哇,你好勇敢啊你
[00:01:10.200 --> 00:01:11.800]  哇,這樣都夠膽跳進水裡這樣
[00:01:11.800 --> 00:01:13.400]  接著這個壯漢
[00:01:13.400 --> 00:01:14.400]  清...就是...
[00:01:14.400 --> 00:01:15.700]  撿好自己之後呢
[00:01:15.700 --> 00:01:16.700]  就突然間很生氣地說
[00:01:16.700 --> 00:01:18.500]  剛才誰把我放進水裡了
[00:01:18.500 --> 00:01:20.000]  哇,好奇啊
[00:01:20.000 --> 00:01:20.500]  謝謝大家
[00:01:20.500 --> 00:01:21.500]  真是很給面子啊
[00:01:21.500 --> 00:01:23.000]  這樣都...都笑到是
[00:01:23.000 --> 00:01:24.500]  這樣都還可以啊
[00:01:24.500 --> 00:01:26.000]  所以有時候呢
