
[00:00:00.000 --> 00:00:01.480]  (主持人)各位頂尖姐妹早晨
[00:00:01.480 --> 00:00:06.200]  在這個講道系列裏面去到尾聲
[00:00:06.200 --> 00:00:09.040]  雖然我們在六月份我們都會繼續
[00:00:09.040 --> 00:00:12.080]  去跟大家分享如何將蒙住的祝福
[00:00:12.080 --> 00:00:14.480]  成為我們一個生活的習慣
[00:00:14.480 --> 00:00:18.400]  但是在上個星期那個退休營之前
[00:00:18.400 --> 00:00:19.720]  那兩個星期
[00:00:19.720 --> 00:00:22.360]  我們就講到生命的分享
[00:00:22.360 --> 00:00:25.680]  因為神的故事在你生命裏面
[00:00:25.680 --> 00:00:27.400]  就是你自己的故事
[00:00:27.400 --> 00:00:28.960]  是融合在一起的時候
[00:00:28.960 --> 00:00:30.680]  那個是一個很獨特
[00:00:30.680 --> 00:00:34.920]  很有吸引力的一個故事
[00:00:34.920 --> 00:00:38.120]  我記得在讀神學的時間
[00:00:38.120 --> 00:00:38.960]  很多神學生
[00:00:38.960 --> 00:00:40.920]  有時我們大家的同學聊天
[00:00:40.920 --> 00:00:44.640]  教授要我們寫我們的自傳
[00:00:44.640 --> 00:00:46.080]  即是不只是想見證
[00:00:46.080 --> 00:00:48.240]  寫自傳的意思就是從小到大
[00:00:48.240 --> 00:00:49.960]  神在你生命裏面有什麼工作
[00:00:49.960 --> 00:00:51.840]  說要寫很多東西
[00:00:51.840 --> 00:00:53.480]  那麼就每次寫完
[00:00:53.480 --> 00:00:56.360]  寫一段就跟大家分享一下
[00:00:56.360 --> 00:00:58.640]  我記得在我們分組的時候
[00:00:58.640 --> 00:01:01.960]  每個人都說其實你們聽起來很悶
[00:01:01.960 --> 00:01:03.880]  都是那些東西
[00:01:03.880 --> 00:01:06.200]  但是每次聽完一個圈之後
[00:01:06.200 --> 00:01:11.720]  總是有我們的同學哭 流淚 受感動
[00:01:11.720 --> 00:01:13.080]  當中我有一個學習就是
[00:01:13.080 --> 00:01:15.320]  其實神在我們生命當中的工作
[00:01:15.320 --> 00:01:17.840]  有時我們覺得很普通 很閒
[00:01:17.840 --> 00:01:19.880]  或者覺得好像沒有什麼獨特
[00:01:19.880 --> 00:01:21.160]  沒有什麼特別的
[00:01:21.160 --> 00:01:23.160]  但是卻是很奇妙
[00:01:23.160 --> 00:01:24.480]  因為你相信
[00:01:24.480 --> 00:01:27.760]  因為我相信神是透過基督
[00:01:27.760 --> 00:01:29.040]  去救贖我們
[00:01:29.040 --> 00:01:31.240]  我們能夠回應祂成為基督徒
[00:01:31.240 --> 00:01:33.160]  本身就是一個神蹟
[00:01:33.160 --> 00:01:37.480]  所以我們真的在跟別人分享生命見證的時候
[00:01:37.480 --> 00:01:39.800]  知道不只是靠著我們自己
[00:01:39.800 --> 00:01:42.040]  而是聖靈已經在我們生命裏面
[00:01:42.040 --> 00:01:44.160]  我們就能夠跟其他人分享
[00:01:44.160 --> 00:01:46.720]  因為我們的故事是不可以自己獨食的
[00:01:46.720 --> 00:01:48.120]  中國人特別是廣東話說
[00:01:48.120 --> 00:01:49.480]  「獨食難肥」
[00:01:49.480 --> 00:01:50.240]  千萬不要獨食
[00:01:50.240 --> 00:01:51.640]  不要想著自己擁有的
[00:01:51.640 --> 00:01:55.320]  一定需要跟別人去分享的
[00:01:55.320 --> 00:01:58.200]  說完之前我們再一次跟心機祈禱
[00:01:58.200 --> 00:01:59.640]  所以天父我們感謝祢
[00:01:59.640 --> 00:02:02.040]  求聖靈祢引導我們 帶領我們
[00:02:02.040 --> 00:02:04.360]  向我們說話 打開我們的心靈
[00:02:04.360 --> 00:02:09.240]  讓我們有任何的疑惑 抗拒
[00:02:09.240 --> 00:02:10.440]  甚至是不願意信服
[00:02:10.440 --> 00:02:12.920]  在神祢自己的呼召下的時候
[00:02:12.920 --> 00:02:14.880]  讓聖靈祢幫助我們
[00:02:14.880 --> 00:02:16.080]  能夠回應祢
[00:02:16.080 --> 00:02:17.480]  能夠打開我們的生命
[00:02:17.480 --> 00:02:18.720]  去與別人分享
[00:02:18.720 --> 00:02:21.120]  我們將以下時間公敬的仰望給天父
[00:02:21.120 --> 00:02:24.000]  求祢在我們當中向我們親自說話
[00:02:24.000 --> 00:02:28.920]  祈禱感恩 奉主耶穌基督的名求
[00:02:28.920 --> 00:02:32.480]  最近有一套歌舞劇
[00:02:32.480 --> 00:02:35.680]  有一部份第一集我看到好像已經看過了
[00:02:35.680 --> 00:02:38.360]  那句說話很難買票的
[00:02:38.360 --> 00:02:39.560]  我不是幫他賣廣告
[00:02:39.560 --> 00:02:44.000]  不過他的小說是在1986年寫的
[00:02:44.000 --> 00:02:46.160]  是在一百六十多年前寫的
[00:02:46.160 --> 00:02:47.480]  但是在一百年之後
[00:02:47.480 --> 00:02:56.880]  1984年 才第一次在倫敦成為舞台劇
[00:02:56.880 --> 00:03:00.160]  差不多今年四十年的時間
[00:03:00.160 --> 00:03:03.280]  好像長生不老一樣
[00:03:03.280 --> 00:03:06.920]  在倫敦 然後在紐約 然後多倫多
[00:03:06.920 --> 00:03:09.280]  就是這樣擴散的
[00:03:09.280 --> 00:03:12.240]  那這個孤星裡有什麼吸引的地方呢
[00:03:12.240 --> 00:03:14.560]  大家都可能會很記得它裡面的內容
[00:03:14.560 --> 00:03:17.720]  有時候你看過它的小說 看過它的電影
[00:03:17.720 --> 00:03:21.000]  其實這一幕一定記得的
[00:03:21.000 --> 00:03:24.320]  就是為了正義爭取社會公義
[00:03:24.320 --> 00:03:26.000]  為了人權自由
[00:03:26.000 --> 00:03:29.920]  為了受到剝削壓迫
[00:03:29.920 --> 00:03:33.880]  我們需要表達我們的心聲
[00:03:33.880 --> 00:03:37.800]  其實是一種發聲的意思
[00:03:37.800 --> 00:03:40.480]  我想問你
[00:03:40.480 --> 00:03:42.920]  當時可能在這套的影片裡面
[00:03:42.920 --> 00:03:45.600]  或者在舞台劇裡面都會說
[00:03:45.600 --> 00:03:48.600]  那些人是要發聲的
[00:03:48.600 --> 00:03:51.400]  那誰是還沒發聲呢
[00:03:51.400 --> 00:03:53.600]  如果那些一定要發聲的東西
[00:03:53.600 --> 00:03:55.520]  而你還沒發聲的時候
[00:03:55.520 --> 00:03:57.760]  你的生命要受到挑戰
[00:03:57.760 --> 00:03:59.480]  所以當我在想的時候
[00:03:59.480 --> 00:04:02.800]  說不可獨享的故事的時候
[00:04:02.800 --> 00:04:05.720]  我想阿神在我們生命裡面作為
[00:04:05.720 --> 00:04:07.720]  豈不是更重要過
[00:04:07.720 --> 00:04:10.520]  單單是社會公義 單單是平等自由
[00:04:10.520 --> 00:04:14.840]  單單就是剝削或者壓抑
[00:04:14.840 --> 00:04:17.120]  那些都很需要發聲
[00:04:17.120 --> 00:04:19.000]  因為社會不公義的事情需要發聲
[00:04:19.000 --> 00:04:21.560]  但是豈不是我們的故事
[00:04:21.560 --> 00:04:23.600]  神和我們之間的關係
[00:04:23.600 --> 00:04:26.400]  是一個更美更重要的故事
[00:04:26.400 --> 00:04:28.640]  神也要求我們去發聲
[00:04:28.640 --> 00:04:30.920]  因為在《羅馬書》十章十三到十四節裡面
[00:04:30.920 --> 00:04:32.880]  我們一起讀 好嗎
[00:04:32.880 --> 00:04:37.360]  「因為環球告主明的就必得救
[00:04:37.360 --> 00:04:42.000]  然而人未曾信他 怎能求告他呢
[00:04:42.000 --> 00:04:45.600]  未曾聽見他 怎能信他呢
[00:04:45.600 --> 00:04:49.880]  沒有傳道的 怎能聽見呢」
[00:04:49.880 --> 00:04:51.320]  你千萬不要讀這段經文的時候
