
[00:00:00.000 --> 00:00:03.780]  (最後一節)
[00:00:03.780 --> 00:00:05.240]  各位大英姐妹平安
[00:00:05.240 --> 00:00:08.240]  最近有一個負擔放在我的心裏
[00:00:08.240 --> 00:00:09.540]  是很重的
[00:00:09.540 --> 00:00:11.340]  就是你的心靈
[00:00:11.340 --> 00:00:12.940]  孤不孤單呢?
[00:00:12.940 --> 00:00:14.540]  原來現代人
[00:00:14.540 --> 00:00:15.940]  有很多人
[00:00:15.940 --> 00:00:18.940]  表面上我們是忙得不得了的
[00:00:18.940 --> 00:00:20.540]  又要上班
[00:00:20.540 --> 00:00:22.440]  又要應付家庭
[00:00:22.440 --> 00:00:24.040]  又要出入交通
[00:00:24.040 --> 00:00:26.040]  又要看着手機
[00:00:26.040 --> 00:00:27.540]  又要上網
[00:00:27.540 --> 00:00:29.540]  又要看各種不同的東西
[00:00:29.540 --> 00:00:31.040]  我們好處很忙
[00:00:31.040 --> 00:00:32.540]  但是我們的心靈
[00:00:32.540 --> 00:00:35.540]  卻是很孤單的
[00:00:35.540 --> 00:00:37.540]  原來現代人
[00:00:37.540 --> 00:00:40.540]  是一批很孤單的人
[00:00:40.540 --> 00:00:42.540]  爲什麼會孤單呢?
[00:00:42.540 --> 00:00:46.040]  可能都和我們成長的家庭背景有關
[00:00:46.040 --> 00:00:47.540]  如果你
[00:00:47.540 --> 00:00:50.540]  覺得你生長在一個很幸福
[00:00:50.540 --> 00:00:53.040]  你的爸爸媽媽很愛你的話
[00:00:53.040 --> 00:00:54.540]  那這堂課的信息
[00:00:54.540 --> 00:00:56.040]  你可能不用聽了
[00:00:56.040 --> 00:00:58.540]  因爲跟你沒有很大的關係
[00:00:58.540 --> 00:00:59.540]  但是我深信
[00:00:59.540 --> 00:01:01.540]  你一定有一些弟兄姐妹
[00:01:01.540 --> 00:01:02.540]  有一些朋友
[00:01:02.540 --> 00:01:04.540]  他們是生長在一個
[00:01:04.540 --> 00:01:09.540]  很被父母忽視的環境裏面
[00:01:09.540 --> 00:01:12.540]  特別在我這個年紀裏面
[00:01:12.540 --> 00:01:14.540]  我們時時有一句口號說
[00:01:14.540 --> 00:01:17.540]  我們是無父的一代
[00:01:17.540 --> 00:01:20.040]  Fatherless Generation
[00:01:20.040 --> 00:01:22.540]  我們那一代好像沒有了爸爸那樣
[00:01:22.540 --> 00:01:23.540]  爲什麼呢?
[00:01:23.540 --> 00:01:25.540]  因爲我們上一代的爸爸
[00:01:25.540 --> 00:01:28.540]  是很忙在工作上
[00:01:28.540 --> 00:01:31.540]  最近我太太就經常說
[00:01:31.540 --> 00:01:34.540]  她和她媽媽之間
[00:01:34.540 --> 00:01:36.540]  是很疏離的
