
[00:00:00.000 --> 00:00:08.000]  今天歡迎新朋友的時間,不好意思,我自作主張地調閃了。
[00:00:08.000 --> 00:00:13.000]  我們今天就將歡迎新朋友這個時間移前了。
[00:00:13.000 --> 00:00:17.000]  請問你有沒有帶新朋友來?
[00:00:17.000 --> 00:00:19.000]  請問今天你有帶新朋友來嗎?
[00:00:19.000 --> 00:00:21.000]  你有帶的,請你舉手。
[00:00:21.000 --> 00:00:23.000]  如果你有帶的,請你舉手。
[00:00:23.000 --> 00:00:32.000]  有,感謝主。請問有沒有一些迷途小羔羊自己走進來的?
[00:00:32.000 --> 00:00:37.000]  請問有沒有在座的人是迷途的小羔羊自己走進教會來的?
[00:00:37.000 --> 00:00:40.000]  有沒有啊?有啊,歡迎你。
[00:00:40.000 --> 00:00:42.000]  感謝主,歡迎你們。
[00:00:42.000 --> 00:00:45.000]  你沒有迷途啊,這個是正路來的。
[00:00:45.000 --> 00:00:47.000]  沒有沒路,這裡才是正路。
[00:00:47.000 --> 00:00:49.000]  好,感謝主。
[00:00:49.000 --> 00:00:50.000]  好,感謝主。
[00:00:50.000 --> 00:00:53.000]  今天要和大家講一下吃藥。
[00:00:53.000 --> 00:00:55.000]  今天要和大家講一下吃藥。
[00:00:55.000 --> 00:00:57.000]  不知道大家有沒有吃藥呢?
[00:00:57.000 --> 00:00:59.000]  不知道大家有沒有吃藥呢?
[00:00:59.000 --> 00:01:00.000]  我自暴家門先。
[00:01:00.000 --> 00:01:01.000]  我先自暴家門。
[00:01:01.000 --> 00:01:05.000]  我的藥有血壓藥。
[00:01:05.000 --> 00:01:07.000]  我的藥有向血壓的藥。
[00:01:07.000 --> 00:01:15.000]  有D失堪,那些骨質疏鬆,要吃D三維他命。
[00:01:15.000 --> 00:01:19.000]  吃了一些維他命D,預防骨質疏鬆。
[00:01:19.000 --> 00:01:25.000]  大家跟我差不多年紀都要吃D藥了。
[00:01:25.000 --> 00:01:28.000]  那麼大家跟我年紀差不多的人都要吃差不多這些藥了。
[00:01:28.000 --> 00:01:37.000]  有沒有人需要吃一些鎮靜,自己睡得夠,讓自己不要那麼嘈吵,或者不要那麼不開心?
[00:01:37.000 --> 00:01:43.000]  有沒有人需要吃一些鎮定的藥,需要穩定自己的情緒,或者去吃一些安眠藥,去幫助自己睡眠呢?
[00:01:43.000 --> 00:01:49.000]  都有醫過。
[00:01:49.000 --> 00:01:53.000]  有一種藥就叫做心靈空虛。
[00:01:53.000 --> 00:01:58.000]  有一種病的名字叫做心靈空虛。
[00:01:58.000 --> 00:02:02.000]  你有沒有去看過醫生說我心靈空虛,有沒有藥吃?
[00:02:02.000 --> 00:02:05.000]  你有沒有去看過醫生說我心靈空虛,想吃點藥呢?
[00:02:05.000 --> 00:02:07.000]  或者你心靈空虛,你都不知道。
[00:02:07.000 --> 00:02:10.000]  或者也許你心靈空虛,你自己卻不知道。
[00:02:10.000 --> 00:02:14.000]  你以為自己很滿足的,其實你空虛到不得了。
[00:02:14.000 --> 00:02:19.000]  其實你們空虛的不得了,所以你們需要吃藥。
[00:02:19.000 --> 00:02:22.000]  其實你是需要吃藥的。
[00:02:22.000 --> 00:02:24.000]  因為真的有一種病叫做心靈空虛。
[00:02:24.000 --> 00:02:26.000]  因為真的有一種病就叫做心靈空虛。
[00:02:26.000 --> 00:02:30.000]  就是我血壓高,你不去量一下血壓,你不像自己血壓高,要吃藥的。
[00:02:30.000 --> 00:02:34.000]  因為你血壓高,如果你不去量那個血壓,你不知道自己血壓高,你就不吃藥。
[00:02:34.000 --> 00:02:39.000]  今天就講這個,是如何醫治空虛心靈的秘方。
[00:02:39.000 --> 00:02:43.000]  今天我們就來講講如何醫治心靈空虛這樣的秘方。
[00:02:43.000 --> 00:02:46.000]  那麼這個題目是誰講的呢?
[00:02:46.000 --> 00:02:48.000]  那麼這個題目是誰講的呢?
[00:02:48.000 --> 00:02:51.000]  是一個叫做所羅門王講的。
[00:02:51.000 --> 00:02:54.000]  這是一個叫做所羅門王講的。
[00:02:54.000 --> 00:02:56.000]  你說誰需要這個配方?所羅門王?
[00:02:56.000 --> 00:02:59.000]  你說是誰需要這個配方?所羅門王嗎?
[00:02:59.000 --> 00:03:00.000]  他很有錢的嘛!
[00:03:00.000 --> 00:03:01.000]  他是很有錢的哦!
[00:03:01.000 --> 00:03:04.000]  有錢人就不需要這個配方了,對不對?
[00:03:04.000 --> 00:03:06.000]  那有錢人就不需要這個配方了,對不對?
[00:03:06.000 --> 00:03:07.000]  大家有沒有錢呢?
[00:03:07.000 --> 00:03:08.000]  大家有沒有錢呢?
[00:03:08.000 --> 00:03:10.000]  大家不認的,我知道。
[00:03:10.000 --> 00:03:12.000]  你不肯認的。
[00:03:12.000 --> 00:03:14.000]  大家可能有些人不承認自己有錢。
