
[00:00:00.000 --> 00:00:04.000]  我們繼續說一個新的系列
[00:00:04.000 --> 00:00:05.600]  上星期已經開始了
[00:00:05.600 --> 00:00:08.200]  叫《根從耶穌》的系列
[00:00:08.200 --> 00:00:14.000]  其實最近我一直在定初步
[00:00:14.000 --> 00:00:15.600]  可能都會有些轉變
[00:00:15.600 --> 00:00:20.800]  由今年一路定到明年八月份的
[00:00:20.800 --> 00:00:24.600]  所有講壇的系列
[00:00:24.600 --> 00:00:26.600]  都已經初步定下來了
[00:00:26.600 --> 00:00:28.400]  我們說完這個系列之後
[00:00:28.400 --> 00:00:31.800]  我們五月就會說《肥肉比書》
[00:00:31.800 --> 00:00:34.800]  我們會有兩個系列說《肥肉比書》
[00:00:34.800 --> 00:00:37.200]  接著我們會有一個叫《Spectrum of Life》
[00:00:37.200 --> 00:00:40.400]  就是一個生命的階段
[00:00:40.400 --> 00:00:41.800]  我們經常都說夫婦
[00:00:41.800 --> 00:00:45.200]  經常都說教養小朋友的子女
[00:00:45.200 --> 00:00:47.800]  但是有些教會裏面的群體
[00:00:47.800 --> 00:00:49.800]  彷彿經常都是忽略了的
[00:00:49.800 --> 00:00:52.200]  例如我這些年齡層
[00:00:52.200 --> 00:00:54.000]  就是老人家
[00:00:54.000 --> 00:00:58.000]  我們有青少年子女
[00:00:58.000 --> 00:01:00.000]  怎樣教養青少年仔呢
[00:01:00.000 --> 00:01:03.000]  小朋友那些當然我們經常說
[00:01:03.000 --> 00:01:04.800]  有青少年那些怎樣呢
[00:01:04.800 --> 00:01:06.600]  Gideon也很有經驗
[00:01:06.600 --> 00:01:09.400]  跟大家分享一下一些心得
[00:01:09.400 --> 00:01:13.000]  還有就是單身的
[00:01:13.000 --> 00:01:15.800]  單身的弟兄或者姊妹
[00:01:15.800 --> 00:01:17.400]  教會經常都忽略了他們
[00:01:17.400 --> 00:01:18.800]  經常都說婚姻
[00:01:18.800 --> 00:01:21.600]  單身的怎樣去處理呢
[00:01:21.600 --> 00:01:23.200]  怎樣去自處呢
[00:01:23.200 --> 00:01:25.400]  這些都是我們會去看的
[00:01:25.400 --> 00:01:30.200]  這些我們較少去說的題目
[00:01:30.200 --> 00:01:32.400]  還有就是中年危機
[00:01:32.400 --> 00:01:34.000]  我們會說Gideon
[00:01:34.000 --> 00:01:37.800]  我們一班牧者很多都是中年
[00:01:37.800 --> 00:01:40.000]  我們怎樣去處理中年危機
[00:01:40.000 --> 00:01:42.400]  這些都是聖經有出路給我們的
[00:01:42.400 --> 00:01:44.800]  但是我們在講壇裏面比較少說
[00:01:44.800 --> 00:01:46.400]  講完這個系列之後
[00:01:46.400 --> 00:01:48.800]  去到十二十一月我們會說《河西亞書》
[00:01:48.800 --> 00:01:51.400]  我們也有一個小的活動
[00:01:51.400 --> 00:01:54.200]  幫助大家去講《河西亞書》
