
[00:00:00.000 --> 00:00:05.800]  要請大家再一次低頭祈禱
[00:00:05.800 --> 00:00:08.120]  慈悲的上主 我感謝你
[00:00:08.120 --> 00:00:12.280]  因為你讓我們有機會在你的殿裡一起的誦經
[00:00:12.280 --> 00:00:14.280]  最多我們打開聖經的時候
[00:00:14.280 --> 00:00:20.560]  我們知道不是每一個人都可以在你的殿裡去敬拜
[00:00:20.560 --> 00:00:24.840]  我求你教導我們以敬畏你的心來到你的面前
[00:00:24.840 --> 00:00:28.120]  有個渴慕你的心來到你的面前
[00:00:28.120 --> 00:00:30.200]  上主就求你醫治我們
[00:00:30.200 --> 00:00:35.800]  讓我們耳朵聽得見 眼睛看得見
[00:00:35.800 --> 00:00:39.920]  我們的心裡面都明白你要對我們的說話
[00:00:39.920 --> 00:00:42.600]  有言講的和聽久都同望你的願立
[00:00:42.600 --> 00:00:47.560]  祈禱奉主耶穌基督的名求 阿們
[00:00:47.560 --> 00:00:49.160]  不知道大家記不記得
[00:00:49.160 --> 00:00:50.840]  都是考大家
[00:00:50.840 --> 00:00:52.400]  其實我都沒什麼記性
[00:00:52.400 --> 00:00:53.680]  不過還是這麼說
[00:00:53.680 --> 00:00:57.280]  大家記不記得承恩孫教師在兩個星期前
[00:00:57.280 --> 00:01:02.080]  和我們分享耶利米先知去蒙照的經過
[00:01:02.080 --> 00:01:05.440]  當時就是耶利米書的第一章
[00:01:05.440 --> 00:01:11.200]  耶利米先知是在猶大黃曰西亞在位的第十三年
[00:01:11.200 --> 00:01:14.400]  被上帝選為先知的
[00:01:14.400 --> 00:01:16.280]  其實如果我們有機會去熟讀
[00:01:16.280 --> 00:01:19.280]  或者去看這個聖經的時候
[00:01:19.280 --> 00:01:25.560]  我們就發現南角 猶大 北角 以色列
[00:01:25.560 --> 00:01:28.520]  這個角土分裂了南北兩角
[00:01:28.520 --> 00:01:31.120]  裡面有很多很多的皇帝
[00:01:31.120 --> 00:01:35.240]  不過被上帝去給評語的時候
[00:01:35.240 --> 00:01:38.600]  好的皇帝其實沒有哪幾個
[00:01:38.600 --> 00:01:40.920]  十隻手指可能都數得完
[00:01:40.920 --> 00:01:45.080]  而猶大西亞就是一個好的皇帝
[00:01:45.080 --> 00:01:46.720]  他在位第十八年的時候
[00:01:46.720 --> 00:01:48.760]  在聖殿 因為重修聖殿的時候
[00:01:48.760 --> 00:01:53.280]  就發現律法書如獲自保
[00:01:53.280 --> 00:01:54.560]  讀過之後就發現
[00:01:54.560 --> 00:01:57.440]  無論是朝廷還是民間
[00:01:57.440 --> 00:02:02.560]  我們的所作所為都遠離上帝的訓誨
[00:02:02.560 --> 00:02:07.480]  於是他決心進行宗教的改革
[00:02:07.480 --> 00:02:10.440]  當時整個猶大國裡面
[00:02:10.440 --> 00:02:13.560]  有很多的偶像崇拜
[00:02:13.560 --> 00:02:16.000]  反而回頭就沒有聖殿崇拜
[00:02:16.000 --> 00:02:19.240]  於是他就廢除國內的偶像崇拜
