
[00:00:00.000 --> 00:00:03.320]  有一艘貨船在太平洋航行
[00:00:03.320 --> 00:00:08.320]  在船尾做雜工的湯米不小心掉下水
[00:00:08.320 --> 00:00:10.840]  他不斷喊「救命啊!救命啊!」
[00:00:10.840 --> 00:00:14.120]  但因為海太大,船又太吵
[00:00:14.120 --> 00:00:17.600]  他又在船尾,所以沒有人聽到
[00:00:17.600 --> 00:00:20.480]  他眼見船越走越遠
[00:00:20.480 --> 00:00:22.880]  湯米本能上是在掙扎
[00:00:22.880 --> 00:00:26.200]  在游泳,想浮上水面
[00:00:26.200 --> 00:00:28.840]  但他就快筋疲力盡
[00:00:28.840 --> 00:00:31.800]  他覺得自己會快要沉下去
[00:00:31.800 --> 00:00:33.680]  腦中出現一把聲
[00:00:33.680 --> 00:00:36.640]  對他說「還是放棄吧!」
[00:00:36.640 --> 00:00:41.520]  就在這時,湯米突然想起他熟悉的老船長
[00:00:41.520 --> 00:00:45.600]  「老船長知道我掉了下海,他一定會回來救我」
[00:00:45.600 --> 00:00:48.200]  「不行!我不可以放棄!」
[00:00:48.200 --> 00:00:55.040]  於是湯米就盡最後一股力繼續向前游
[00:00:55.040 --> 00:00:58.480]  沒多久,老船長發現湯米失蹤
[00:00:58.480 --> 00:01:00.320]  知道他一定掉了下海
[00:01:00.320 --> 00:01:04.480]  於是就下令船要回頭去救他
[00:01:04.480 --> 00:01:06.160]  有人這樣說
[00:01:06.160 --> 00:01:08.640]  「事隔了這麼久的時間」
[00:01:08.640 --> 00:01:12.720]  「他不是浸死也會被鯊魚吃掉吧!」
[00:01:12.720 --> 00:01:14.320]  老船長想著想著
[00:01:14.320 --> 00:01:18.560]  但他決定繼續回頭去救湯米
[00:01:18.560 --> 00:01:21.240]  就在這時,有人對他說
[00:01:21.240 --> 00:01:24.280]  「你回頭救一個孤兒?值得嗎?」
[00:01:24.280 --> 00:01:26.560]  老船長說「閉嘴!」
[00:01:26.560 --> 00:01:29.000]  最後,湯米也獲救
[00:01:29.000 --> 00:01:33.200]  他很感激地跪下,向老船長道謝
[00:01:33.200 --> 00:01:34.720]  老船長扶起他
[00:01:34.720 --> 00:01:39.080]  「你為何可以在大海裡生存這麼久呢?」
[00:01:39.080 --> 00:01:43.440]  湯米說「我相信你一定會回來救我」
[00:01:43.440 --> 00:01:46.240]  「你怎麼知道我一定會回來救你呢?」
[00:01:46.240 --> 00:01:50.160]  「因為我信得過你是這樣的人」
[00:01:50.160 --> 00:01:53.640]  老船長眼有淚光
[00:01:53.640 --> 00:01:59.520]  有一本書叫《生活是一堂完美的學習課》
[00:01:59.520 --> 00:02:00.800]  書的作者這樣說
[00:02:00.800 --> 00:02:07.120]  「能夠信任或被信任,是一種幸福」
[00:02:07.120 --> 00:02:09.320]  大家知道我們的信仰也是一樣
[00:02:09.320 --> 00:02:12.160]  如果你能夠信得過我們的神
[00:02:12.160 --> 00:02:13.400]  或者像剛才所說的
[00:02:13.400 --> 00:02:16.360]  你能夠堅信我們的神
[00:02:16.360 --> 00:02:19.720]  你將會是幸福的人
[00:02:19.720 --> 00:02:23.320]  今個週末是一個復活節的週末
[00:02:23.320 --> 00:02:27.920]  等於你會否相信耶穌已經復活了呢?
[00:02:27.920 --> 00:02:31.120]  你會否堅信耶穌已經復活了呢?
[00:02:31.120 --> 00:02:32.840]  耶穌已經復活了
[00:02:32.840 --> 00:02:36.000]  究竟對你的生命帶來甚麼改變
[00:02:36.000 --> 00:02:38.200]  甚麼突破呢?
[00:02:38.200 --> 00:02:41.240]  我們知道耶穌星期五
[00:02:41.240 --> 00:02:42.640]  如果計算一下時間
[00:02:42.640 --> 00:02:45.520]  星期五祂寫在十字架上
[00:02:45.520 --> 00:02:46.640]  第三天復活
[00:02:46.640 --> 00:02:49.640]  即是相等於今天早上復活
[00:02:49.640 --> 00:02:51.320]  第三天復活
[00:02:51.320 --> 00:02:53.080]  我們現在就覺得耶穌已經復活了
