
[00:00:00.000 --> 00:00:07.480]  我們今天在這個傳道書繼續來跟大家思想這些經文的時候
[00:00:07.480 --> 00:00:12.680]  我很想跟大家一起繼續去很好的研習
[00:00:12.680 --> 00:00:14.820]  我們今天我們的…
[00:00:14.820 --> 00:00:18.000]  就是我們的…
[00:00:18.000 --> 00:00:19.960]  不知道為什麼都在這裡
[00:00:19.960 --> 00:00:24.100]  我想跟大家先來說一句話
[00:00:24.100 --> 00:00:27.860]  如果我們要說金錢不是萬能
[00:00:28.600 --> 00:00:30.360]  但是金錢卻是…
[00:00:30.360 --> 00:00:33.280]  但是沒錢就是萬萬不能,是吧?
[00:00:33.280 --> 00:00:36.680]  我想我們中國人很多時候都會說這句話
[00:00:36.680 --> 00:00:39.840]  但是這句話也可能因為這樣的緣故
[00:00:39.840 --> 00:00:42.880]  就可能累死了很多人都受不了
[00:00:42.880 --> 00:00:45.460]  有很多人就以為金錢就是一切
[00:00:45.460 --> 00:00:51.220]  以為他人生的目標只是為了累積金錢和財富
[00:00:51.220 --> 00:00:52.880]  但是他忘記了
[00:00:52.880 --> 00:00:57.400]  其實我們人生真正的內涵
[00:00:57.400 --> 00:00:59.400]  其實是更加重要
[00:00:59.400 --> 00:01:01.200]  金錢是不是萬能呢?
[00:01:01.200 --> 00:01:04.300]  是不是能夠讓我們滿足可以享用呢?
[00:01:04.300 --> 00:01:05.640]  不一定
[00:01:05.640 --> 00:01:09.800]  如果這個不是來自神給你的恩典和福氣的時候
[00:01:09.800 --> 00:01:12.200]  你給你累積多少也沒用
[00:01:12.200 --> 00:01:14.440]  因為金錢是短暫的
[00:01:14.440 --> 00:01:16.800]  你能否享受呢?
[00:01:16.800 --> 00:01:18.280]  不一定的
[00:01:18.280 --> 00:01:20.880]  所以有另一句說話更加好的
[00:01:20.880 --> 00:01:23.800]  金錢是一個很好的僕人
[00:01:23.800 --> 00:01:26.760]  但是金錢卻是一個很惡的主人
[00:01:26.760 --> 00:01:30.920]  如果今天你不是駕馭你的財富
[00:01:30.920 --> 00:01:34.960]  而是你給你的財富、你的金錢去奴役你
[00:01:34.960 --> 00:01:37.120]  我們變成一個拜金者
[00:01:37.120 --> 00:01:39.640]  我們以為金錢財富
[00:01:39.640 --> 00:01:42.800]  這就是我一生追求我要敬拜的
[00:01:42.800 --> 00:01:44.600]  這就變成你的偶像
[00:01:44.600 --> 00:01:48.800]  但是我們要敬拜的是至金錢財富給我們的上帝
[00:01:48.800 --> 00:01:50.120]  這個就很不同了
[00:01:50.120 --> 00:01:53.880]  這個說的是敬畏上帝
[00:01:53.880 --> 00:02:00.240]  敬畏神跟我們說今天基督徒的理財觀也很有關係
[00:02:00.240 --> 00:02:04.080]  上一課我們同樣是說第五章頭的七節
[00:02:04.080 --> 00:02:10.720]  那七節裡面楊牧師和Jason Tong傳道
[00:02:10.720 --> 00:02:12.560]  他們就提醒我們
[00:02:12.560 --> 00:02:16.000]  我們進前來每一次來到神的殿
[00:02:16.000 --> 00:02:18.000]  我們要謹慎我們的言語
[00:02:18.000 --> 00:02:22.160]  我們要來到不要輕率我們去務實開口
[00:02:22.160 --> 00:02:27.920]  以及去作一些對應不了的承諾
[00:02:27.920 --> 00:02:31.640]  我們這個就會是一個敬畏神的態度
[00:02:31.640 --> 00:02:33.000]  去敬拜神
[00:02:33.000 --> 00:02:36.000]  如果我們出於同樣的敬畏心
[00:02:36.000 --> 00:02:38.040]  我們看今天我們的財富
[00:02:38.040 --> 00:02:40.760]  我們的金錢的時候
[00:02:40.760 --> 00:02:43.800]  你就決定了你人生很多的方向
[00:02:43.800 --> 00:02:48.960]  也都決定了你的所謂選擇和抉擇
[00:02:48.960 --> 00:02:52.440]  這個對我們來說是非常重要
[00:02:52.440 --> 00:02:54.040]  金錢其實是中性的
[00:02:54.040 --> 00:02:58.240]  我們只要按照神的心意
[00:02:58.240 --> 00:03:02.360]  我們是知道得貨財的力量是從神而來的恩典
[00:03:02.360 --> 00:03:05.080]  但相反如果我們被金錢蒙蔽
[00:03:05.080 --> 00:03:07.240]  我們很容易產生一種錯覺
[00:03:07.240 --> 00:03:08.760]  我們甚至以為
[00:03:08.760 --> 00:03:12.480]  每一天給我們的廣告以為大屋名車遊艇
[00:03:12.480 --> 00:03:14.600]  就是標誌事業成功
[00:03:14.600 --> 00:03:18.880]  人人以為財富就叫生活有快樂有滿足
[00:03:18.880 --> 00:03:23.080]  但很可惜現實告訴我們不是這樣的
[00:03:23.080 --> 00:03:25.160]  多少很有錢的人
[00:03:25.160 --> 00:03:28.240]  他可能甚至名成利就
[00:03:28.240 --> 00:03:31.440]  一樣會可能自尋短見
[00:03:31.440 --> 00:03:32.000]  為什麼?
[00:03:32.000 --> 00:03:34.400]  因為他人生他空虛
[00:03:34.400 --> 00:03:36.880]  他找不到一個真正的滿足
