
[00:00:00.000 --> 00:00:01.720]  上個禮拜我們說了什麼?
[00:00:01.720 --> 00:00:04.840]  憤怒
[00:00:04.840 --> 00:00:06.480]  這禮拜我們說了憂鬱
[00:00:06.480 --> 00:00:07.920]  其實憂鬱
[00:00:07.920 --> 00:00:09.040]  我想了很久
[00:00:09.040 --> 00:00:11.040]  我憂鬱了很久才說憂鬱
[00:00:11.040 --> 00:00:13.320]  因為也不容易說憂鬱
[00:00:13.320 --> 00:00:15.640]  我們很快地說一下
[00:00:15.640 --> 00:00:17.240]  我有一個系列
[00:00:17.240 --> 00:00:18.760]  憂鬱
[00:00:18.760 --> 00:00:19.880]  上個禮拜憤怒
[00:00:19.880 --> 00:00:20.760]  憂鬱
[00:00:20.760 --> 00:00:21.960]  焦慮
[00:00:21.960 --> 00:00:22.880]  迷失
[00:00:22.880 --> 00:00:23.640]  自憐
[00:00:23.640 --> 00:00:24.520]  和喜樂
[00:00:24.520 --> 00:00:27.160]  如果你有朋友
[00:00:27.160 --> 00:00:29.760]  他們也有興趣知道一下
[00:00:29.760 --> 00:00:33.800]  這種心靈裡面的一種倚靠
[00:00:33.800 --> 00:00:35.600]  上帝在我們心靈裡面工作
[00:00:35.600 --> 00:00:36.600]  你可以邀請他們
[00:00:36.600 --> 00:00:40.600]  好了,現在我們就給大家看一個短片
[00:00:59.760 --> 00:01:01.040]  當我憂鬱時
[00:01:01.040 --> 00:01:02.600]  我會把椅子扭得冷冷的
[00:01:02.600 --> 00:01:04.560]  這是我建議的
[00:01:04.560 --> 00:01:05.720]  這些都是我喜歡的東西
[00:01:05.720 --> 00:01:07.120]  當我憂鬱時
[00:01:07.120 --> 00:01:10.200]  想起當你憂鬱時
[00:01:10.200 --> 00:01:11.720]  當芝士是熱的
[00:01:11.720 --> 00:01:13.120]  但酸菜是冷的
[00:01:13.120 --> 00:01:14.080]  看著蟹殼
[00:01:14.080 --> 00:01:16.560]  音樂盤永遠不會售罄
[00:01:16.560 --> 00:01:19.240]  把我的肚子撕開
[00:01:19.240 --> 00:01:20.120]  眼睛是紅的
[00:01:20.120 --> 00:01:22.760]  為了寵物的禮物
[00:01:22.760 --> 00:01:23.920]  坐在地上
[00:01:23.920 --> 00:01:25.440]  很舒服
[00:01:25.440 --> 00:01:26.840]  把嘴唇捂著嘴唇
[00:01:26.840 --> 00:01:28.760]  做一個鬍子
[00:01:28.760 --> 00:01:29.920]  把窗戶打開
[00:01:29.920 --> 00:01:31.360]  讓它閃爍
[00:01:31.360 --> 00:01:34.880]  或吃一個冰淇淋盒的麥克風
[00:01:34.880 --> 00:01:37.400]  當我憂鬱時
[00:01:37.400 --> 00:01:38.360]  打開電梯
[00:01:38.360 --> 00:01:39.440]  關上電梯
[00:01:39.440 --> 00:01:41.000]  那是最好的
[00:01:41.000 --> 00:01:43.600]  當我憂鬱時
[00:01:43.600 --> 00:01:46.880]  想起當你憂鬱時
[00:01:46.880 --> 00:01:49.480]  在PBS看一部紀錄片
[00:01:49.480 --> 00:01:50.960]  發現所有功能
[00:01:50.960 --> 00:01:52.800]  按下CMD選項按鈕
[00:01:52.800 --> 00:01:53.800]  只看一些網站
[00:01:53.800 --> 00:01:55.600]  直到你得到Yatzy
[00:01:55.600 --> 00:01:59.160]  塗上化妝品想像你得到GOTY
[00:01:59.160 --> 00:02:01.760]  下載一張MP3
[00:02:01.760 --> 00:02:03.320]  無論你駕駛它還是不駕駛它
[00:02:03.320 --> 00:02:04.680]  都不關我事
[00:02:04.680 --> 00:02:07.760]  當你憂鬱時
[00:02:07.760 --> 00:02:11.400]  總有些小事可以做
[00:02:11.400 --> 00:02:13.960]  當我憂鬱時喜歡的事情
