
[00:00:00.000 --> 00:00:01.600]  耶穌基督所講的登山補分
[00:00:01.600 --> 00:00:09.600]  為什麼我會叫它做基督徒信仰的基本學習呢?
[00:00:09.600 --> 00:00:11.700]  今天由我打頭陣
[00:00:11.700 --> 00:00:14.500]  每次總統都一樣
[00:00:14.500 --> 00:00:16.900]  一開始的時候我會來當中跟大家分享
[00:00:16.900 --> 00:00:20.100]  今天講關於登山補分的八福、第一福
[00:00:20.100 --> 00:00:25.500]  我們知道應該是三年多前我們都講過八福
[00:00:25.500 --> 00:00:30.900]  所以今天我不會特別講裏面的內容
[00:00:30.900 --> 00:00:33.000]  因為很多可能在三年多前都聽過
[00:00:33.000 --> 00:00:34.800]  但是我們都會看一下
[00:00:34.800 --> 00:00:37.600]  一些講登山補分的小小背景
[00:00:37.600 --> 00:00:40.600]  以及實際我們怎樣可以走出
[00:00:40.600 --> 00:00:45.400]  這個心靈貧窮的人有福了這個吩咐
[00:00:45.400 --> 00:00:48.500]  我們看看聖經和修本的經文
[00:00:48.500 --> 00:00:50.300]  耶穌見這群人
[00:00:50.300 --> 00:00:52.000]  登山補分一開始的時候
[00:00:52.000 --> 00:00:55.400]  就上了山坐下門徒到他跟前來
[00:00:55.400 --> 00:00:58.300]  在這裏講到門徒其實有很多爭論的
[00:00:58.300 --> 00:01:03.600]  就是究竟登山補分是為了普羅大眾
[00:01:03.600 --> 00:01:06.000]  還是只是為了那十二個門徒
[00:01:06.000 --> 00:01:07.900]  因為這裏講的是門徒
[00:01:07.900 --> 00:01:12.000]  但是如果你看清楚馬帝芳裏面所講的虛刀
[00:01:12.000 --> 00:01:13.200]  馬帝芳第十章
[00:01:13.200 --> 00:01:17.000]  耶穌才正式去揀選那十二個門徒
[00:01:17.000 --> 00:01:18.200]  我們就會明白到的就是
[00:01:18.200 --> 00:01:21.300]  這裏是一群願意跟著耶穌
[00:01:21.300 --> 00:01:22.500]  願意聽祂說話
[00:01:22.500 --> 00:01:24.900]  有興趣去了解更多
[00:01:24.900 --> 00:01:28.200]  是願意去聽道的一群人
[00:01:28.200 --> 00:01:30.000]  所以他們就走在一起
[00:01:30.000 --> 00:01:30.700]  耶穌坐下
[00:01:30.700 --> 00:01:32.600]  當時拉比也是這樣
[00:01:32.600 --> 00:01:34.700]  有話要說就坐下
[00:01:34.700 --> 00:01:35.900]  那些人就圍著他
[00:01:35.900 --> 00:01:36.900]  不同今天
[00:01:36.900 --> 00:01:39.300]  今天我還要站著
[00:01:39.300 --> 00:01:40.700]  因為剛才敬拜完站了一段時間
[00:01:40.700 --> 00:01:41.500]  現在還要站著
[00:01:41.500 --> 00:01:42.600]  大家就坐下
[00:01:42.600 --> 00:01:44.800]  現在今時不同往日
[00:01:44.800 --> 00:01:47.300]  於是他就開口教導他們
[00:01:47.300 --> 00:01:49.100]  有些重要的事要說
[00:01:49.100 --> 00:01:51.400]  心靈貧窮的人有福了
[00:01:51.400 --> 00:01:54.800]  因為天國是他們的
[00:01:54.800 --> 00:01:56.500]  去到結尾的時候
[00:01:56.500 --> 00:01:58.900]  這群人聽完這些話
[00:01:58.900 --> 00:02:01.800]  眾人對他的教導都感到稀奇
[00:02:01.800 --> 00:02:03.600]  第七章結尾的時候
[00:02:03.600 --> 00:02:05.400]  因為他教導他們的正像
[00:02:05.400 --> 00:02:06.800]  有權柄的人
[00:02:06.800 --> 00:02:10.000]  不像他們的民事
[00:02:10.000 --> 00:02:11.800]  為什麼人們覺得耶穌說的東西
[00:02:11.800 --> 00:02:13.800]  是那麼有權柄
[00:02:13.800 --> 00:02:15.700]  如果英文很簡單說
[00:02:15.700 --> 00:02:17.300]  那麼有權力
[00:02:17.300 --> 00:02:20.400]  那麼有權力呢
[00:02:20.400 --> 00:02:21.800]  這個時候我們會明白到
[00:02:21.800 --> 00:02:26.800]  當時耶穌說的丹心保訓的背景是怎樣
[00:02:26.800 --> 00:02:28.600]  因為當時的以色列
[00:02:28.600 --> 00:02:31.900]  大家都知道被羅馬帝國統治著
[00:02:31.900 --> 00:02:34.300]  但是在信仰裡面
[00:02:34.300 --> 00:02:37.900]  就出現了很多很特別的地方
[00:02:37.900 --> 00:02:39.700]  這個時候說到耶穌
[00:02:39.700 --> 00:02:42.900]  很多時候我們聽見耶穌說到法利塞人
[00:02:42.900 --> 00:02:45.900]  就是那些跟耶穌敵對
[00:02:45.900 --> 00:02:47.600]  但其實法利塞人
[00:02:47.600 --> 00:02:49.500]  有一些都不是敵對耶穌
[00:02:49.500 --> 00:02:51.400]  他們都是相信耶穌
[00:02:51.400 --> 00:02:53.400]  或者願意的聽從耶穌
[00:02:53.400 --> 00:02:55.200]  好像尼哥底姆
[00:02:55.200 --> 00:02:58.100]  或者約瑟等等
[00:02:58.100 --> 00:03:02.200]  他們都是有心去追求耶穌所說的東西
[00:03:02.200 --> 00:03:03.300]  但是這幫人
[00:03:03.300 --> 00:03:04.900]  法利塞人其實是
[00:03:04.900 --> 00:03:06.700]  是法利塞這個字
[00:03:06.700 --> 00:03:09.000]  原來意思就是分別為性的意思
[00:03:09.000 --> 00:03:11.200]  就是在耶穌出生之前的
[00:03:11.200 --> 00:03:13.400]  百幾二百年代左右
[00:03:13.400 --> 00:03:15.200]  馬加比王朝是一個
[00:03:15.200 --> 00:03:18.800]  猶太人叫做中興復興的一個王朝
[00:03:18.800 --> 00:03:21.700]  但是這個王朝開始世俗化
[00:03:21.700 --> 00:03:23.400]  所以有些猶太人就覺得不行
[00:03:23.400 --> 00:03:25.400]  我們不想再要世俗化
[00:03:25.400 --> 00:03:28.700]  我們要繼續堅持我們的信仰
[00:03:28.700 --> 00:03:31.700]  於是他們就叫自己做法利塞人
[00:03:31.700 --> 00:03:33.100]  是一個民間的運動
[00:03:33.100 --> 00:03:35.300]  是一個宗教信仰的運動
[00:03:35.300 --> 00:03:38.800]  他們就用很多特別的模式
[00:03:38.800 --> 00:03:41.700]  讓自己是標榜自己出來
[00:03:41.700 --> 00:03:43.300]  是一幫分別為性
[00:03:43.300 --> 00:03:46.300]  是一幫愛神的一幫人
[00:03:46.300 --> 00:03:48.300]  其實不是這麼差的
[00:03:48.300 --> 00:03:50.400]  是一幫分別為性的人
[00:03:50.400 --> 00:03:52.000]  但是當時一直發展
[00:03:52.000 --> 00:03:54.200]  到了耶穌年代的時候
[00:03:54.200 --> 00:03:57.200]  在信仰的文化氣氛底下
[00:03:57.200 --> 00:04:03.000]  就出現了四樣很重要的現象
[00:04:03.000 --> 00:04:06.100]  在我們信仰的當中出現
[00:04:06.100 --> 00:04:08.000]  這四樣東西就包括第一樣東西
