
[00:00:00.000 --> 00:00:02.000]  今早會平安
[00:00:02.000 --> 00:00:08.000]  最上一次我們和大家講道的時候
[00:00:08.000 --> 00:00:10.000]  大家記不記得是什麼時候
[00:00:10.000 --> 00:00:12.000]  很難記吧
[00:00:12.000 --> 00:00:14.000]  我記得因為那天是八號風球
[00:00:14.000 --> 00:00:16.000]  我們在網上去講的
[00:00:16.000 --> 00:00:19.000]  還要是七教會最後一封書信的時候
[00:00:19.000 --> 00:00:21.000]  我們在網上講的
[00:00:21.000 --> 00:00:26.000]  所以是很特別的一個經歷
[00:00:26.000 --> 00:00:31.000]  今次講完七個書信之後
[00:00:31.000 --> 00:00:33.000]  七個教會書信
[00:00:33.000 --> 00:00:38.000]  接下來我就用什麼經文去講道呢
[00:00:38.000 --> 00:00:42.000]  其實之前一直在思考
[00:00:42.000 --> 00:00:45.000]  本來有其他想講的經文
[00:00:45.000 --> 00:00:48.000]  但是幾個星期之前
[00:00:48.000 --> 00:00:50.000]  有一段經文
[00:00:50.000 --> 00:00:52.000]  就是今天要和大家講的經文
[00:00:52.000 --> 00:00:55.000]  就在我的心裏面出現
[00:00:55.000 --> 00:00:57.000]  因為我一直有為這件事去禱告
[00:00:57.000 --> 00:01:00.000]  我覺得這都是神的預備
[00:01:00.000 --> 00:01:03.000]  所以到之前
[00:01:03.000 --> 00:01:06.000]  在我們發生大埔火災的時候
[00:01:06.000 --> 00:01:10.000]  我覺得好像神有他的一些心意
[00:01:10.000 --> 00:01:12.000]  今天的經文裏面
[00:01:12.000 --> 00:01:15.000]  包括了傳道書裏面很出名的時間之詩
[00:01:15.000 --> 00:01:17.000]  就是剛才讀的一章
[00:01:17.000 --> 00:01:21.000]  就是三章一至十五節裏面的一至八節時間之詩
[00:01:21.000 --> 00:01:24.000]  但願我們今天在這段經文裏面
[00:01:24.000 --> 00:01:26.000]  得到神所賜的智慧
[00:01:26.000 --> 00:01:27.000]  安慰和力量
[00:01:27.000 --> 00:01:29.000]  讓我們一起禱告
[00:01:29.000 --> 00:01:35.000]  真是天父感謝您
[00:01:35.000 --> 00:01:39.000]  因為您真是使所有的事
[00:01:39.000 --> 00:01:41.000]  即是國安歧視成為美好
[00:01:41.000 --> 00:01:45.000]  我們的人生
[00:01:45.000 --> 00:01:48.000]  我們一切都是在您的心意裏面
[00:01:48.000 --> 00:01:50.000]  求您幫助我們每一個
[00:01:50.000 --> 00:01:52.000]  今天您開通我們耳朵
[00:01:52.000 --> 00:01:56.000]  讓我們能夠聽到您經常的話語
[00:01:56.000 --> 00:02:01.000]  讓我們也能夠聽到您向我們每個人說的話和提醒
[00:02:01.000 --> 00:02:03.000]  又安慰我們的心
