
[00:00:00.000 --> 00:00:02.000]  我想可能住在洛杉磯的人
[00:00:02.000 --> 00:00:05.000]  你大概都被你的親戚朋友
[00:00:05.000 --> 00:00:07.000]  有沒有被親戚朋友問到說
[00:00:07.000 --> 00:00:09.000]  你在洛杉磯都好嗎 有沒有
[00:00:09.000 --> 00:00:12.000]  世界各地 有沒有
[00:00:12.000 --> 00:00:15.000]  好像人家以為我們洛杉磯全部都被燒了
[00:00:15.000 --> 00:00:20.000]  其實我們住在聖蓋爾比你們更深的感覺
[00:00:20.000 --> 00:00:25.000]  到現在你都還可以看見山是黑的
[00:00:26.000 --> 00:00:31.000]  有些時候還會有一點煙在那邊冒
[00:00:31.000 --> 00:00:40.000]  我想這個新聞都已經爆炸性的在報導
[00:00:40.000 --> 00:00:43.000]  大家也看了很多
[00:00:43.000 --> 00:00:47.000]  但是我盼望今天跟大家再一次來思想
[00:00:47.000 --> 00:00:51.000]  到底我們這一次的洛杉磯大火
[00:00:51.000 --> 00:00:53.000]  特別我們生活在洛杉磯的人
[00:00:54.000 --> 00:00:56.000]  對我們來講我想這是一個
[00:00:56.000 --> 00:00:58.000]  很刻骨銘心的一個時刻
[00:00:58.000 --> 00:01:01.000]  到底這個對我們的意義是什麼
[00:01:01.000 --> 00:01:04.000]  神界的這件事情要我們學習什麼功課
[00:01:04.000 --> 00:01:14.000]  所以我就想到這個
[00:01:14.000 --> 00:01:18.000]  這個叫做天火焚塵 有沒有
[00:01:18.000 --> 00:01:22.000]  好像洛杉磯是一個天火在那邊焚塵
[00:01:23.000 --> 00:01:25.000]  當然這個塵不是整個洛杉磯城
[00:01:25.000 --> 00:01:28.000]  但是像阿特丹那
[00:01:28.000 --> 00:01:31.000]  還有一個叫做什麼
[00:01:31.000 --> 00:01:35.000]  聖帕勒斯特利是不是
[00:01:35.000 --> 00:01:39.000]  那個是幾乎可以說是整個
[00:01:39.000 --> 00:01:42.000]  整個城市都被燒了
[00:01:42.000 --> 00:01:46.000]  聖經上面讓我們看見
