
[00:00:00.000 --> 00:00:02.620]  今天我們開一個新的書卷
[00:00:02.620 --> 00:00:04.620]  是哥倫多後書
[00:00:04.620 --> 00:00:06.620]  今天的講題是
[00:00:06.620 --> 00:00:09.120]  苦難帶來的祝福
[00:00:09.120 --> 00:00:11.960]  苦難帶來的祝福
[00:00:11.960 --> 00:00:17.040]  最近我看了一些文章
[00:00:17.040 --> 00:00:19.840]  其中一個文章的主題是
[00:00:19.840 --> 00:00:24.200]  不離不棄的愛情才是真愛情
[00:00:24.200 --> 00:00:27.160]  不離不棄的愛情才是真愛情
[00:00:27.160 --> 00:00:31.200]  裏面我編輯了幾句,覺得很好
[00:00:31.200 --> 00:00:35.080]  他說愛情不是最初的甜蜜
[00:00:35.080 --> 00:00:36.780]  愛情不是最初的甜蜜
[00:00:36.780 --> 00:00:40.740]  而是激情過後的不離不棄
[00:00:40.740 --> 00:00:46.080]  當然我們明白愛情最初的激情是甜蜜
[00:00:46.080 --> 00:00:50.460]  但愛情不是最初的甜蜜
[00:00:50.460 --> 00:00:52.460]  而是激情過後的不離不棄
[00:00:52.460 --> 00:00:57.300]  愛上一個人是容易的
[00:00:57.300 --> 00:01:02.840]  但一切趨於平淡之後
[00:01:02.840 --> 00:01:08.840]  還可以堅守當初那份承諾而不改變
[00:01:08.840 --> 00:01:09.840]  是不容易的
[00:01:09.840 --> 00:01:11.840]  真愛一個人
[00:01:11.840 --> 00:01:13.840]  他惹你的氣
[00:01:13.840 --> 00:01:15.840]  讓你失望
[00:01:15.840 --> 00:01:18.840]  你還是
[00:01:18.840 --> 00:01:20.840]  還是會去愛他
[00:01:20.840 --> 00:01:25.840]  行走還是牽著他的手
[00:01:25.840 --> 00:01:29.840]  總是這樣不由自主
[00:01:29.840 --> 00:01:31.840]  他講得很真實
[00:01:31.840 --> 00:01:33.840]  甚麼是真愛
[00:01:33.840 --> 00:01:34.840]  不是一剎那
[00:01:34.840 --> 00:01:35.840]  不是一瞬間
[00:01:35.840 --> 00:01:37.840]  不是那種高跌
[00:01:37.840 --> 00:01:39.840]  是那個持久度
[00:01:39.840 --> 00:01:43.840]  他還說沒有一個人是完美
[00:01:43.840 --> 00:01:45.840]  我們都有太多的缺點
[00:01:45.840 --> 00:01:49.840]  愛不是去找一個完美的人過一生
[00:01:49.840 --> 00:01:52.840]  而是去接受一個不完美的人
[00:01:52.840 --> 00:01:55.840]  這篇不離不棄的愛情
[00:01:55.840 --> 00:01:59.840]  其實插進去是有一點味道的
[00:01:59.840 --> 00:02:01.840]  因為我們不同的年歲
[00:02:01.840 --> 00:02:03.840]  經歷愛
[00:02:03.840 --> 00:02:05.840]  其實去到某個程度
[00:02:05.840 --> 00:02:07.840]  你發現那種完滿真實的愛
[00:02:07.840 --> 00:02:10.840]  不是那個階段停留
[00:02:10.840 --> 00:02:11.840]  當然
[00:02:11.840 --> 00:02:16.840]  這種情不單止是一種愛
[00:02:16.840 --> 00:02:19.840]  無論我們教會之間的愛
[00:02:19.840 --> 00:02:21.840]  父母家人的愛
[00:02:21.840 --> 00:02:22.840]  朋友之間的愛
[00:02:22.840 --> 00:02:24.840]  如果是真的
[00:02:24.840 --> 00:02:26.840]  都會經歷那種
[00:02:26.840 --> 00:02:29.840]  對方可能惹我們氣
[00:02:29.840 --> 00:02:30.840]  令我們失望
[00:02:30.840 --> 00:02:32.840]  又或者反過來說
[00:02:32.840 --> 00:02:33.840]  我們惹人氣
[00:02:33.840 --> 00:02:34.840]  令人失望
