
[00:00:00.000 --> 00:00:05.000]  在我開始講道之前,我們有一個祈禱。
[00:00:05.000 --> 00:00:15.000]  七愛天父,當我們祈禱的時候,我們要Hallelujah,讚美祢,因為一切都是恩典。
[00:00:15.000 --> 00:00:29.000]  我們早上起來的時候,能夠聽到鳥語花香,能夠有清新的空氣,能夠有生命氣息,主啊,這一切都是恩典。
[00:00:29.000 --> 00:00:37.000]  我們知道我們所領受的恩惠,這一切都並非必然的事情。
[00:00:37.000 --> 00:00:46.000]  但是我們感謝主,祢教導我們常存感恩的心,因為我們要凡事謝恩。
[00:00:46.000 --> 00:00:52.000]  我們今天所蒙受的、領受的,都是天父所賜的。
[00:00:52.000 --> 00:01:08.000]  所以我們在這個崇拜的當中,我們也謙卑聆聽祢的話語,求主在當中親自的透過祢的訊息教導我們,開啟我們的內心,奉主明求,阿們。
[00:01:08.000 --> 00:01:17.000]  今天這段聖經讀的時候,我相信大家都不會陌生,因為是一段很熟悉的經文。
[00:01:17.000 --> 00:01:32.000]  有人說想知道耶穌當年傳福音是怎樣傳的,我想告訴大家,這段經文已經很清晰勾畫耶穌當年傳道的景況。
[00:01:32.000 --> 00:01:39.000]  所以有人說這段聖經是耶穌當年傳道的縮影,我們一看就很明白。
[00:01:39.000 --> 00:01:55.000]  但今早我想和大兄姊妹從另一個角度去看,原來這幾節聖經裡面同樣都是隱藏了一個重要的圖畫,這幅是什麼圖畫呢?
[00:01:55.000 --> 00:02:07.000]  這幅就是無牆教會的圖畫,原來在這幾節經文當中我們看到耶穌當年傳道的榜樣裡面提示了,
[00:02:07.000 --> 00:02:15.000]  讓我們知道原來無牆教會是應該具備有三個條件在當中。
[00:02:15.000 --> 00:02:22.000]  第一個條件是什麼呢?第一個條件就是超越界限,超越界限。
[00:02:22.000 --> 00:02:29.000]  所以耶穌這裡一開始怎麼說呢?他說祂是走遍各城各鄉。
[00:02:29.000 --> 00:02:40.000]  耶穌當年去傳道去不同的村莊裡面去傳福音,你猜祂是不是很容易呢?一定不是。
