
[00:00:00.000 --> 00:00:02.000]  感恩我們繼續敬拜
[00:00:02.000 --> 00:00:04.000]  繼續親近我們的神
[00:00:04.000 --> 00:00:06.000]  亦繼續讓我們的神
[00:00:06.000 --> 00:00:07.600]  感動我們
[00:00:07.600 --> 00:00:08.640]  帶領我們
[00:00:08.640 --> 00:00:16.560]  今天我和大家分享敬拜的教導
[00:00:16.560 --> 00:00:21.000]  就在大約兩個星期之前
[00:00:21.000 --> 00:00:27.200]  我們有崇拜聖岳的主日
[00:00:27.200 --> 00:00:31.200]  我們很感謝礦泉道
[00:00:31.200 --> 00:00:36.000]  和我們講解了很多關於敬拜
[00:00:36.000 --> 00:00:39.200]  崇拜的聚會和聖岳
[00:00:39.200 --> 00:00:44.200]  各方面的互相關係
[00:00:44.200 --> 00:00:51.600]  以及我們可以怎樣透過音樂和敬拜的聚會
[00:00:51.600 --> 00:00:55.200]  來聚集敬拜神
[00:00:55.200 --> 00:00:57.800]  所以無論我們在現場聚集
[00:00:57.800 --> 00:01:00.800]  或者在網上聚集
[00:01:00.800 --> 00:01:03.800]  起碼我們都有一種聚集
[00:01:03.800 --> 00:01:05.800]  有時我會想
[00:01:05.800 --> 00:01:07.800]  在聖經的時代
[00:01:07.800 --> 00:01:09.800]  因為沒有網上聚集
[00:01:09.800 --> 00:01:11.800]  所以沒有提及
[00:01:11.800 --> 00:01:13.800]  有些人可能會覺得
[00:01:13.800 --> 00:01:15.800]  聖經沒有提及
[00:01:15.800 --> 00:01:17.800]  那可不可以做呢?
[00:01:17.800 --> 00:01:20.800]  這個問題很有趣
[00:01:20.800 --> 00:01:23.800]  其實也有很多人解答過
[00:01:23.800 --> 00:01:25.800]  譬如說
[00:01:25.800 --> 00:01:27.800]  聖經的時代沒有飛機
[00:01:27.800 --> 00:01:29.800]  現在會不會坐飛機呢?
[00:01:29.800 --> 00:01:32.800]  有點類似
[00:01:32.800 --> 00:01:37.800]  我今天繼續講敬拜的課題
[00:01:37.800 --> 00:01:39.800]  因為在前兩個月
[00:01:39.800 --> 00:01:44.800]  我和崇拜敬岳的士工領導人
[00:01:44.800 --> 00:01:46.800]  喝咖啡
[00:01:46.800 --> 00:01:51.800]  喝咖啡有很多思維
[00:01:51.800 --> 00:01:54.800]  一邊喝咖啡就有很多事情發生
[00:01:54.800 --> 00:01:55.800]  在腦裏
[00:01:55.800 --> 00:01:57.800]  我們覺得
[00:01:57.800 --> 00:01:59.800]  應該是差不多時間
[00:01:59.800 --> 00:02:01.800]  講一下關於崇拜
[00:02:01.800 --> 00:02:03.800]  所以崇拜聖岳主日講了一次
[00:02:03.800 --> 00:02:05.800]  今天我會講一次
[00:02:05.800 --> 00:02:07.800]  然後兩個星期之後
[00:02:07.800 --> 00:02:09.800]  我會講道的時候
[00:02:09.800 --> 00:02:11.800]  再繼續講崇拜
[00:02:11.800 --> 00:02:13.800]  都是幫助我們
[00:02:13.800 --> 00:02:16.800]  希望更加深入的了解
[00:02:16.800 --> 00:02:18.800]  甚麼是崇拜
[00:02:18.800 --> 00:02:21.800]  用這個課題在講道的時候講
[00:02:21.800 --> 00:02:23.800]  是很不容易的
[00:02:23.800 --> 00:02:25.800]  因為在在有些弟兄姊妹
[00:02:25.800 --> 00:02:27.800]  你已經參加崇拜的聚會
[00:02:27.800 --> 00:02:29.800]  是五十年了
[00:02:29.800 --> 00:02:31.800]  所以崇拜這件事
[00:02:31.800 --> 00:02:33.800]  都沒有甚麼你不懂的
