
[00:00:00.000 --> 00:00:02.620]  今天的題目叫《苦盡甘來一母親》
[00:00:02.620 --> 00:00:09.280]  今天我會從我自己靈修默想的角度去看這段經文
[00:00:09.280 --> 00:00:10.500]  《創世紀二十一章》
[00:00:10.500 --> 00:00:12.740]  八字到二十一節和修本的經文
[00:00:12.740 --> 00:00:17.420]  正在聽《創世紀》中的一個真實故事的記載
[00:00:17.420 --> 00:00:21.180]  孩子漸漸長大 就斷了奶
[00:00:21.180 --> 00:00:22.940]  以殺斷奶的那天
[00:00:22.940 --> 00:00:25.860]  阿伯拉罕就切封成的賢直
[00:00:25.860 --> 00:00:28.580]  那時 撒拉罕見埃及人
[00:00:28.580 --> 00:00:32.300]  下甲為阿伯拉罕所生的兒子氣笑
[00:00:32.300 --> 00:00:33.640]  就對阿伯拉罕說
[00:00:33.640 --> 00:00:36.080]  你把這侍女和她的兒子趕出去
[00:00:36.080 --> 00:00:41.520]  因為這侍女的兒子不可與我的兒子以殺一同承受產孽
[00:00:41.520 --> 00:00:45.820]  阿伯拉罕為這事非常受煩 憂愁
[00:00:45.820 --> 00:00:47.800]  因為他關乎他的兒子
[00:00:47.800 --> 00:00:49.480]  上帝對阿伯拉罕說
[00:00:49.480 --> 00:00:53.040]  你不要為這孩子和你的侍女憂愁
[00:00:53.040 --> 00:00:55.880]  撒拉對你所說的話 你也要聽從他
[00:00:55.880 --> 00:00:59.840]  因為從以殺生的 才要被稱為你的後裔
[00:00:59.840 --> 00:01:01.760]  至於你侍女的兒子
[00:01:01.760 --> 00:01:03.960]  我也必使他成為一國
[00:01:03.960 --> 00:01:06.600]  因為他是你的後裔
[00:01:06.600 --> 00:01:08.240]  阿伯拉罕清晨起來
[00:01:08.240 --> 00:01:11.480]  拿餅和一袋皮袋水就吸了下甲
[00:01:11.480 --> 00:01:15.360]  搭在他肩上 把他和孩子一起送走
[00:01:15.360 --> 00:01:16.680]  下甲就走了
[00:01:16.680 --> 00:01:20.160]  但他卻在別事巴的曠野流浪
[00:01:20.160 --> 00:01:21.360]  皮袋水用完了
[00:01:21.360 --> 00:01:24.040]  下甲就把孩子放在一棵小樹下
[00:01:24.040 --> 00:01:28.080]  自己走開約一戰之源 相對而助說
[00:01:28.080 --> 00:01:30.640]  我不忍心看著孩子死
[00:01:30.640 --> 00:01:34.000]  就坐在對面放聲大哭
[00:01:34.000 --> 00:01:36.760]  上帝對下甲聽見孩子的聲音
[00:01:36.760 --> 00:01:39.440]  上帝的使者就和天上呼叫下甲說
[00:01:39.440 --> 00:01:42.240]  下甲你為何這樣呢
[00:01:42.240 --> 00:01:43.040]  不要害怕
[00:01:43.040 --> 00:01:46.000]  上帝已經聽見孩子在那裡聲音了
[00:01:46.000 --> 00:01:47.520]  起來把孩子扶起來
[00:01:47.520 --> 00:01:49.320]  用你的手握住他
[00:01:49.320 --> 00:01:52.440]  因我必使他成為大國
[00:01:52.440 --> 00:01:54.240]  上帝開了下甲的眼睛
[00:01:54.240 --> 00:01:56.120]  就看見一口水井
[00:01:56.120 --> 00:01:58.720]  他就去把皮袋裝滿了水
[00:01:58.720 --> 00:01:59.880]  給孩子喝
[00:01:59.880 --> 00:02:02.000]  上帝與孩子同在
[00:02:02.000 --> 00:02:03.240]  他就漸漸長大
[00:02:03.240 --> 00:02:06.120]  住在曠野成了一個弓箭手
[00:02:06.120 --> 00:02:08.240]  他住在巴蘭的曠野
[00:02:08.240 --> 00:02:11.000]  他母親從埃及地為他
[00:02:11.000 --> 00:02:13.560]  娶了一個妻子
[00:02:13.560 --> 00:02:15.200]  苦盡甘來一母親
[00:02:15.200 --> 00:02:17.280]  我們整個故事都很熟悉
[00:02:17.280 --> 00:02:18.400]  不需要多說
[00:02:18.400 --> 00:02:20.040]  我想這個也是
[00:02:20.040 --> 00:02:21.880]  今天我想和大家分享一下
[00:02:21.880 --> 00:02:23.240]  怎樣從這件事裡面
[00:02:23.240 --> 00:02:24.560]  看看我們
[00:02:24.560 --> 00:02:27.120]  當面對人生的困境
[00:02:27.120 --> 00:02:29.400]  或者人生的苦難的時候
[00:02:29.400 --> 00:02:31.000]  無論是你的家庭裡面
[00:02:31.000 --> 00:02:32.120]  你夫婦的關係
[00:02:32.120 --> 00:02:33.240]  你和子女的關係
[00:02:33.240 --> 00:02:35.400]  和你爸爸媽媽的關係
[00:02:35.400 --> 00:02:38.400]  又或者是工作方面面對的困難
[00:02:38.400 --> 00:02:39.920]  經濟方面面對的困難
[00:02:39.920 --> 00:02:42.800]  或者甚至教會的服侍裡面面對的困難
[00:02:42.800 --> 00:02:46.920]  我們怎樣從這些人生的苦的裡面
[00:02:46.920 --> 00:02:49.880]  去經歷上帝的同在呢
[00:02:49.880 --> 00:02:52.920]  或者我們看看整件事裡面
[00:02:52.920 --> 00:02:55.200]  帶出一個我希望大家學習的
[00:02:55.200 --> 00:02:57.800]  一個思想反省的方式
[00:02:57.800 --> 00:03:01.320]  這也是我大半年前
[00:03:01.320 --> 00:03:02.080]  和大家分享過
[00:03:02.080 --> 00:03:05.760]  耶穌平靜風浪的一個流程
[00:03:05.760 --> 00:03:07.400]  我也說過這個流程
[00:03:07.400 --> 00:03:08.400]  不是我自己發明的
[00:03:08.400 --> 00:03:09.760]  是一個天主教的神父
[00:03:09.760 --> 00:03:10.760]  叫Regina Cole
[00:03:10.760 --> 00:03:12.560]  這也是我一直以來
[00:03:12.560 --> 00:03:13.440]  現在金門神學院
[00:03:13.440 --> 00:03:14.880]  也都在用這一套的方式
[00:03:14.880 --> 00:03:17.080]  去幫助神學生
[00:03:17.080 --> 00:03:19.280]  做一些思想的反省
