
[00:00:00.000 --> 00:00:02.000]  好,我們也有個祈禱
[00:00:02.000 --> 00:00:05.700]  親愛的主,我們求你開啟我們
[00:00:05.700 --> 00:00:08.900]  讓我們明白你的話語是寶貴
[00:00:08.900 --> 00:00:12.100]  讓我們能夠將你的話語放在心裡
[00:00:12.100 --> 00:00:14.600]  讓我們能夠好好地活出來
[00:00:14.600 --> 00:00:16.000]  求主你幫助我們
[00:00:16.000 --> 00:00:19.100]  聽我們祈禱,奉耶穌名字而求
[00:00:19.100 --> 00:00:20.100]  阿們
[00:00:20.100 --> 00:00:24.700]  好,接著今天跟大家分享的一個題目
[00:00:24.700 --> 00:00:26.400]  就叫知行合一
[00:00:26.700 --> 00:00:31.100]  也藉著《爾忽所書》幫我們思考一下
[00:00:31.100 --> 00:00:35.600]  很久在《爾忽所書》所說的教會的事情
[00:00:35.600 --> 00:00:40.200]  所以也要問一個問題
[00:00:40.200 --> 00:00:42.500]  就是不知道你怎樣去回應
[00:00:42.500 --> 00:00:46.500]  就是一間成長、成熟的教會需要怎樣呢?
[00:00:46.500 --> 00:00:50.300]  一間成長、成熟的教會需要怎樣呢?
[00:00:50.300 --> 00:00:52.300]  特別是一間主耶穌的教會
[00:00:52.300 --> 00:00:54.500]  會需要一個怎樣的狀況呢?
[00:00:54.500 --> 00:00:56.500]  我就會這樣去描述
[00:00:56.500 --> 00:00:58.700]  就是教會最需要的其實就是你們
[00:00:58.700 --> 00:01:02.900]  需要你們的存在、你們的參與
[00:01:02.900 --> 00:01:06.200]  或者再仔細一點地說是什麼呢?
[00:01:06.200 --> 00:01:09.700]  就是一間教會最需要的就是你們作僕人
[00:01:09.700 --> 00:01:12.200]  願意成為上帝使用的僕人
[00:01:12.200 --> 00:01:15.300]  正如上次跟大家分享的講道一樣
[00:01:15.300 --> 00:01:20.300]  上帝要給我們一個才能、兩個才能、五個才能
[00:01:20.300 --> 00:01:21.800]  去成為祂的僕人
[00:01:21.800 --> 00:01:24.600]  但是再講深一點就是什麼呢?
[00:01:24.800 --> 00:01:29.300]  教會最需要的就是你們要活用恩賜作僕人
[00:01:29.300 --> 00:01:32.000]  所以兩個星期前跟大家講過這個信息
[00:01:32.000 --> 00:01:36.300]  不知道這兩個星期裡面你有沒有這樣去做
[00:01:36.300 --> 00:01:38.500]  就是活用上帝給你的恩賜
[00:01:38.500 --> 00:01:41.000]  去在不同的環境裡面去服侍上帝
[00:01:41.000 --> 00:01:46.700]  事實上當港獨人要活用恩賜去作成的僕人的時候
[00:01:46.700 --> 00:01:48.700]  我們也要思考
[00:01:48.700 --> 00:01:51.700]  就是上帝怎樣去再繼續鼓勵我們
[00:01:51.700 --> 00:01:54.400]  去活用上帝給我們的恩賜呢?
[00:01:55.000 --> 00:01:56.800]  特別在二分所裡面也講了很多
[00:01:56.800 --> 00:02:02.000]  今天我也會藉著今天四章一至六節的經文
[00:02:02.000 --> 00:02:03.500]  去思考多一點
[00:02:03.500 --> 00:02:07.200]  我們希望跟大家再讀一次這段聖經
[00:02:07.200 --> 00:02:09.000]  加深我們的記憶
[00:02:09.000 --> 00:02:11.000]  讓我們真的多一點讀聖經
[00:02:11.000 --> 00:02:12.700]  好 讓我去讀一讀
[00:02:12.700 --> 00:02:15.600]  我為主被囚的勸你們
[00:02:15.600 --> 00:02:18.600]  既然夢照行事為人
[00:02:18.600 --> 00:02:21.400]  就當與夢照的恩相證
[00:02:21.400 --> 00:02:24.400]  凡事謙虛、溫柔、忍耐
[00:02:25.000 --> 00:02:26.700]  用愛心互相寬容
[00:02:26.700 --> 00:02:29.000]  用和平彼此聯絡
[00:02:29.000 --> 00:02:31.800]  竭力保守聖靈所賜
[00:02:31.800 --> 00:02:33.600]  合二為一的心
[00:02:33.600 --> 00:02:35.600]  身體只有一角
[00:02:35.600 --> 00:02:37.300]  聖靈只有一角
[00:02:37.300 --> 00:02:40.500]  正如你們夢照同有一個指望
[00:02:40.500 --> 00:02:43.100]  一主一信一誓
[00:02:43.100 --> 00:02:46.000]  一神就是眾人的父
[00:02:46.000 --> 00:02:48.000]  超乎眾人之上
[00:02:48.000 --> 00:02:49.500]  半乎眾人之中
[00:02:49.500 --> 00:02:51.500]  也住在眾人之內
[00:02:53.100 --> 00:02:56.000]  這段經文是來自《爾忽所書》
[00:02:56.000 --> 00:02:58.700]  《爾忽所書》可能大家都很熟悉
[00:02:58.700 --> 00:03:00.700]  我們簡單講一講
[00:03:00.700 --> 00:03:02.400]  《爾忽所書》裡面
[00:03:02.400 --> 00:03:05.900]  基本上大綱總共有六章
[00:03:05.900 --> 00:03:08.800]  其中一章一至二節
[00:03:08.800 --> 00:03:13.100]  就是講到保羅對爾忽所教會的民安
[00:03:13.100 --> 00:03:16.500]  而去到一章三節至六章二十節
[00:03:16.500 --> 00:03:17.600]  就是正文
[00:03:17.600 --> 00:03:20.500]  而去到六章二十一節至二十四節
[00:03:20.500 --> 00:03:21.800]  就是結語
[00:03:22.600 --> 00:03:24.300]  當你看回正文裡面
[00:03:24.300 --> 00:03:26.300]  《爾忽所書》簡單來講
[00:03:26.300 --> 00:03:28.300]  一至三章是一個部分
[00:03:28.300 --> 00:03:30.300]  四至六章是另一個部分
[00:03:30.300 --> 00:03:32.800]  一至三章就是一個神學
[00:03:32.800 --> 00:03:35.200]  特別講神所賜下的救恩
[00:03:35.200 --> 00:03:36.800]  是一個怎樣的救恩呢
[00:03:36.800 --> 00:03:39.500]  保羅就去《爾忽所書》的教會講説
[00:03:39.500 --> 00:03:43.300]  但是當聽完整個保羅三章裡面
[00:03:43.300 --> 00:03:45.100]  講到正確的救恩的時候
[00:03:45.100 --> 00:03:47.500]  原來去到第四至六節
[00:03:47.500 --> 00:03:50.300]  保羅就在講那種實踐
[00:03:50.300 --> 00:03:52.300]  當你明白這種救恩之後
[00:03:52.300 --> 00:03:53.700]  你怎樣去實踐呢
[00:03:53.700 --> 00:03:56.200]  會不會有一個相稱的信仰生活
[00:03:56.200 --> 00:03:57.600]  去活現出來呢
[00:03:57.600 --> 00:04:01.100]  這就是保羅在《爾忽所書》裡面所講的
[00:04:01.100 --> 00:04:02.300]  所以
[00:04:02.300 --> 00:04:05.100]  或者我們怎樣去描述《爾忽所書》
[00:04:05.100 --> 00:04:06.700]  其中一種講法就是
[00:04:06.700 --> 00:04:10.300]  其實《爾忽所書》就是一個關於教會論的書信
[00:04:10.300 --> 00:04:13.100]  就是關於教會生活
[00:04:13.100 --> 00:04:17.100]  怎樣去實踐我們信仰所領受的一個身份之後
[00:04:17.100 --> 00:04:19.700]  我們怎樣在教會裡面生活的書信
[00:04:19.700 --> 00:04:22.100]  所以我們都希望藉著今天這段影片
[00:04:22.100 --> 00:04:25.900]  再多想一想跟我們有什麼相關呢
[00:04:25.900 --> 00:04:30.000]  四章一節我們剛才讀到的就是
[00:04:30.000 --> 00:04:32.000]  我們為主被囚的勸你們
[00:04:32.000 --> 00:04:33.200]  既然蒙照行事
