
[00:00:00.000 --> 00:00:06.000]  前一陣子我在那個臉書上就看到一段的影片
[00:00:06.000 --> 00:00:09.000]  是關於一個善良的乞丐的
[00:00:09.000 --> 00:00:15.000]  話說這個乞丐他連續幾天就睡在一個店鋪的門口
[00:00:15.000 --> 00:00:21.000]  那頭一天當那個老闆拉開門看到那個乞丐的時候
[00:00:21.000 --> 00:00:22.000]  他就很生氣
[00:00:22.000 --> 00:00:27.000]  你這個骯骯髒髒的人幹嘛睡在我的店鋪裏面
[00:00:27.000 --> 00:00:33.000]  所以第一天他看到他就拿着那個掃帚來趕他
[00:00:33.000 --> 00:00:35.000]  第二天又看到他了
[00:00:35.000 --> 00:00:37.000]  他就用水來潑他
[00:00:37.000 --> 00:00:40.000]  到第三天他又來了
[00:00:40.000 --> 00:00:42.000]  他就用腳去踢這個乞丐
[00:00:42.000 --> 00:00:48.000]  那連隔壁的那些店鋪的人看到也對這個老闆搖搖頭
[00:00:48.000 --> 00:00:51.000]  覺得他太過分了
[00:00:51.000 --> 00:00:57.000]  但是到第四天那個老闆拉開門就沒有再發現那個乞丐
[00:00:57.000 --> 00:01:02.000]  他就問那些的鄰居那個乞丐去哪了
[00:01:02.000 --> 00:01:07.000]  鄰居就告訴他那個乞丐在前一天的晚上已經死了
[00:01:07.000 --> 00:01:09.000]  那個老闆覺得很奇怪
[00:01:09.000 --> 00:01:11.000]  那到底發生什麼事情呢
[00:01:11.000 --> 00:01:14.000]  他就拿攝像機回去看
[00:01:14.000 --> 00:01:19.000]  那過去那幾天的到底發生了什麼事情
[00:01:19.000 --> 00:01:26.000]  後來他才發現原來自己一直冤枉和苦待了這個乞丐
[00:01:26.000 --> 00:01:31.000]  原來過去那幾天的晚上那個乞丐一直是見義勇爲
[00:01:31.000 --> 00:01:39.000]  他爲那個店鋪的老闆趕走那些想在他的店鋪門外生事的人
[00:01:39.000 --> 00:01:44.000]  那些人包括棄置一些的垃圾在那個他的店鋪的門口
[00:01:44.000 --> 00:01:50.000]  或者是在那個門口撒尿或者塗鴉
[00:01:50.000 --> 00:01:52.000]  這個乞丐見義勇爲
[00:01:52.000 --> 00:01:55.000]  但是後來卻被那些人來報復
[00:01:55.000 --> 00:01:59.000]  某一天的晚上就被那些人殺死了
[00:01:59.000 --> 00:02:02.000]  這個店鋪的老闆他只看表面
[00:02:02.000 --> 00:02:05.000]  卻沒有看到背後看不見的
[00:02:05.000 --> 00:02:10.000]  以致他誤會和苦待了這個乞丐
