
[00:00:00.000 --> 00:00:03.360]  感謝主可以和大家分享神的說話
[00:00:03.360 --> 00:00:10.440]  今天和大家分享的是關於我們的身份的問題
[00:00:10.440 --> 00:00:15.800]  不知道大家有沒有身份的問題
[00:00:15.800 --> 00:00:20.680]  我們經常說要去哪 要有甚麼身份
[00:00:20.680 --> 00:00:22.680]  我們屬於哪裏
[00:00:22.680 --> 00:00:25.320]  你也有很多身份和角色
[00:00:25.320 --> 00:00:27.600]  你可能是別人的爸爸媽媽
[00:00:27.600 --> 00:00:29.440]  可能你是別人的子女
[00:00:29.440 --> 00:00:32.120]  你是別人的丈夫 你是別人的太太
[00:00:32.120 --> 00:00:35.920]  很多角色 你是公司的員工
[00:00:35.920 --> 00:00:39.320]  你是我們家庭裏面的一份子
[00:00:39.320 --> 00:00:41.400]  不過對信耶穌的人來說
[00:00:41.400 --> 00:00:44.200]  有一個身份是很重要的
[00:00:44.200 --> 00:00:47.840]  就是我們是屬神的身份
[00:00:47.840 --> 00:00:50.120]  你知不知道你有這個身份
[00:00:50.120 --> 00:00:52.960]  聖經有說的
[00:00:52.960 --> 00:00:54.960]  彼得前書告說甚麼呢
[00:00:54.960 --> 00:01:00.840]  我們是未簡宣的族裏 君尊的祭司
[00:01:00.840 --> 00:01:02.840]  是聖潔的國度
[00:01:02.840 --> 00:01:04.840]  是屬神的子民
[00:01:04.840 --> 00:01:06.840]  所以請你和你的鄰居說
[00:01:06.840 --> 00:01:08.840]  你是屬神的子民
[00:01:08.840 --> 00:01:10.840]  你是屬神的
[00:01:10.840 --> 00:01:14.840]  如果你是認真信耶穌
[00:01:14.840 --> 00:01:16.840]  原來我們有這個身份
[00:01:16.840 --> 00:01:18.840]  我們是屬神的子民
[00:01:18.840 --> 00:01:20.840]  我們是屬於神的
[00:01:20.840 --> 00:01:22.840]  如果你確認這個身份
[00:01:22.840 --> 00:01:24.840]  請你留心
[00:01:24.840 --> 00:01:26.840]  是不再屬這個世界的
[00:01:26.840 --> 00:01:28.840]  你同意嗎
[00:01:28.840 --> 00:01:31.840]  原來屬神和屬世界
[00:01:31.840 --> 00:01:33.840]  這兩者是不相容的
[00:01:33.840 --> 00:01:38.840]  基本上是一個相對敵對的面
[00:01:38.840 --> 00:01:40.840]  所以我今天給的題目是甚麼呢
[00:01:40.840 --> 00:01:44.840]  就是屬神 屬世 不相容
[00:01:44.840 --> 00:01:46.840]  我們會提一段經文
[00:01:46.840 --> 00:01:49.840]  這段經文是亞國書第四章
[00:01:49.840 --> 00:01:51.840]  一至第十節
[00:01:51.840 --> 00:01:53.840]  十節的聖經
[00:01:53.840 --> 00:01:55.840]  在這段聖經裏
[00:01:55.840 --> 00:01:57.840]  亞國講得很白
[00:01:57.840 --> 00:01:59.840]  甚至他用的詞語
[00:01:59.840 --> 00:02:01.840]  是很激烈的
[00:02:01.840 --> 00:02:04.840]  是帶有一種很強烈的
[00:02:04.840 --> 00:02:07.840]  責備的意味
[00:02:07.840 --> 00:02:09.840]  所以作為信耶穌的我們
[00:02:09.840 --> 00:02:12.840]  我覺得我們都應該很仔細去理解
[00:02:12.840 --> 00:02:14.840]  聽聽這段聖經講甚麼
[00:02:14.840 --> 00:02:16.840]  這十節的聖經裏
[00:02:16.840 --> 00:02:18.840]  第一至第三節
[00:02:18.840 --> 00:02:20.840]  其實亞國在講甚麼呢
[00:02:20.840 --> 00:02:23.840]  他在講那些信耶穌的群體裏面
[00:02:23.840 --> 00:02:25.840]  有一些很激烈的情況發生
[00:02:25.840 --> 00:02:27.840]  這個很激烈的情況是甚麼呢
[00:02:27.840 --> 00:02:29.840]  就是在那個群體裏面
[00:02:29.840 --> 00:02:32.840]  有鬥毆爭戰
[00:02:32.840 --> 00:02:34.840]  有嫉妒 有殺害
[00:02:34.840 --> 00:02:37.840]  原來是在講那個群體裏面
[00:02:37.840 --> 00:02:38.840]  人和人之間
[00:02:38.840 --> 00:02:40.840]  那些信徒和信徒之間
[00:02:40.840 --> 00:02:43.840]  有一個很激烈的衝突
[00:02:43.840 --> 00:02:44.840]  有很多爭執
[00:02:44.840 --> 00:02:46.840]  甚至進入那種嫉妒
[00:02:46.840 --> 00:02:48.840]  即是妒忌人
[00:02:48.840 --> 00:02:50.840]  妒忌到一個地步會怎樣
[00:02:50.840 --> 00:02:52.840]  最後會產生甚麼
[00:02:52.840 --> 00:02:54.840]  人命的傷亡
[00:02:54.840 --> 00:02:56.840]  因為有殺害
[00:02:56.840 --> 00:02:59.840]  原來可以這麼激烈
[00:02:59.840 --> 00:03:00.840]  他就說
[00:03:00.840 --> 00:03:02.840]  你們這些爭戰鬥毆
[00:03:02.840 --> 00:03:03.840]  是從哪裏來的
[00:03:03.840 --> 00:03:04.840]  這些狀況
[00:03:04.840 --> 00:03:06.840]  為甚麼會發生這樣的事
[00:03:06.840 --> 00:03:09.840]  亞國是很直接的
[00:03:09.840 --> 00:03:11.840]  用一個切問的問題
[00:03:11.840 --> 00:03:14.840]  帶出問題的根源在哪裏呢
[00:03:14.840 --> 00:03:19.840]  不是從你們百體中戰鬥的私欲來的嗎
[00:03:19.840 --> 00:03:27.840]  原來是從我們人的肉體的私欲那裏來的
[00:03:27.840 --> 00:03:29.840]  原來我們裏面的私欲
[00:03:29.840 --> 00:03:32.840]  是可以引發人和人之間
[00:03:32.840 --> 00:03:35.840]  一個這麼激烈的問題
[00:03:35.840 --> 00:03:36.840]  鄧小平
[00:03:36.840 --> 00:03:38.840]  你有沒有理解呢
[00:03:38.840 --> 00:03:40.840]  私欲是甚麼呢
[00:03:40.840 --> 00:03:42.840]  私欲和屬神的人
[00:03:42.840 --> 00:03:44.840]  有甚麼關連呢
[00:03:44.840 --> 00:03:47.840]  我們看另一段聖經
[00:03:47.840 --> 00:03:52.840]  加拿大書第五章
[00:03:52.840 --> 00:03:54.840]  第十七節
[00:03:54.840 --> 00:03:58.840]  因為情欲和性靈相爭
[00:03:58.840 --> 00:04:00.840]  性靈和情欲相爭
[00:04:00.840 --> 00:04:02.840]  這兩個是彼此相敵
[00:04:02.840 --> 00:04:05.840]  使你們不能做所願意做的
[00:04:05.840 --> 00:04:13.840]  原來情欲和私欲是會和性靈互相對抗的
[00:04:13.840 --> 00:04:15.840]  是彼此為敵人的
[00:04:15.840 --> 00:04:17.840]  是敵對的
[00:04:17.840 --> 00:04:20.840]  即是當你的情欲出來的時候
