
[00:00:00.000 --> 00:00:08.000]  主持人:好,我們繼續來到思想以弗所學的《肥納比書》第二章。
[00:00:08.000 --> 00:00:17.000]  請聽我先讀這一段經文,我們是講到時代的侍奉者。
[00:00:17.000 --> 00:00:23.000]  我們看到保羅和他的同工伊巴弗提是怎樣的?
[00:00:23.000 --> 00:00:26.000]  在一個艱難的時代被神使用。
[00:00:26.000 --> 00:00:30.000]  今日我們都是生活在一個艱難的時代,
[00:00:30.000 --> 00:00:37.000]  我們也都同樣的需要求神為我們興起更多的保羅,更多的伊巴弗提。
[00:00:37.000 --> 00:00:40.000]  這段經文怎樣講呢?
[00:00:40.000 --> 00:00:44.000]  《肥納比書》第二章二十五節:
[00:00:44.000 --> 00:00:49.000]  「然而我想必須打發伊巴弗提到你們那裡去,
[00:00:49.000 --> 00:00:54.000]  他是我的兄弟,與我一同作供,一同當兵,
[00:00:54.000 --> 00:01:00.000]  是你們所猜顯的,也是供給我所用的。
[00:01:00.000 --> 00:01:05.000]  他很想念你們眾人,並且極其難過,
[00:01:05.000 --> 00:01:11.000]  因為你們聽見他病了,他實在是病了,幾乎要死。
[00:01:11.000 --> 00:01:18.000]  然而神連恤他,不但連恤他,也連恤我,免得我憂傷加憂。
[00:01:18.000 --> 00:01:24.000]  所以我要急速打發他去,叫你們再見他,
[00:01:24.000 --> 00:01:28.000]  就可以喜樂,我也可以少些憂愁。
[00:01:28.000 --> 00:01:34.000]  故此你們要在主裡歡歡樂樂地接待他,
[00:01:34.000 --> 00:01:37.000]  而且要尊重這樣的人。
[00:01:37.000 --> 00:01:41.000]  因他為作基督的功夫,幾乎致死,
[00:01:41.000 --> 00:01:48.000]  不顧性命,要補足你們供給我的不合之處。」
[00:01:48.000 --> 00:01:52.000]  保羅在這書很簡單的,特別是二十五節,
[00:01:52.000 --> 00:01:57.000]  提到五方面,這個伊巴弗提,
[00:01:57.000 --> 00:01:59.000]  怎樣與他同供,
[00:01:59.000 --> 00:02:03.000]  怎樣在一個艱難的時代裡面,被神興起。
[00:02:03.000 --> 00:02:06.000]  我們上次跟大家思想到,
[00:02:06.000 --> 00:02:12.000]  第一,保羅說伊巴弗提是他的兄弟,
[00:02:12.000 --> 00:02:16.000]  在屬靈方面是同屬一個家庭,
[00:02:16.000 --> 00:02:24.000]  然後說伊巴弗提也是他做神的工作的同供。
[00:02:24.000 --> 00:02:27.000]  你會發現這五個的形容,
[00:02:27.000 --> 00:02:31.000]  提到伊巴弗提都是進步性的,
[00:02:31.000 --> 00:02:34.000]  我們同屬一個家庭,
[00:02:34.000 --> 00:02:36.000]  然後一起的工作,
[00:02:36.000 --> 00:02:39.000]  今天我們要看的就是第三方面,
[00:02:39.000 --> 00:02:42.000]  第二十五節說保羅說伊巴弗提,
[00:02:42.000 --> 00:02:45.000]  是與他一同當兵的,
[00:02:45.000 --> 00:02:48.000]  不單止作供,而且一起打仗,
[00:02:48.000 --> 00:02:55.000]  打一場漂亮的屬靈的戰爭。
[00:02:55.000 --> 00:02:58.000]  然後說到「是你們所差遣的,
[00:02:58.000 --> 00:03:04.000]  是他們在菲律賓教會所差派的使者,
[00:03:04.000 --> 00:03:08.000]  也是供給我需用的,
[00:03:08.000 --> 00:03:14.000]  是被神使用來供應保羅的需要。」
[00:03:14.000 --> 00:03:16.000]  雖然只是帶錢,
[00:03:16.000 --> 00:03:19.000]  但是在神看來,
[00:03:19.000 --> 00:03:22.000]  他是一種美麗的侍奉。
[00:03:22.000 --> 00:03:25.000]  所以我們要看伊巴弗提,
[00:03:25.000 --> 00:03:28.000]  他如何與保羅同供。
[00:03:28.000 --> 00:03:33.000]  第三,說到一同當兵,
[00:03:33.000 --> 00:03:42.000]  伊巴弗提是保羅認為屬靈戰爭上的戰友,
[00:03:42.000 --> 00:03:50.000]  與保羅一起在羅馬打屬靈的一場爭戰。
