
[00:00:00.000 --> 00:00:02.000]  在整個之前同心來祈禱
[00:00:02.000 --> 00:00:04.000]  神的獨身兒子耶穌基督
[00:00:04.000 --> 00:00:06.000]  求祢施恩可憐這個罪人
[00:00:06.000 --> 00:00:09.000]  願意在主祢面前施立宣講主因言
[00:00:09.000 --> 00:00:14.000]  願意耶穌基督的保血再一次洗整個不配的人的罪
[00:00:14.000 --> 00:00:17.000]  讓諧子能夠成為神話語的出口
[00:00:17.000 --> 00:00:19.000]  能夠將主因言解明
[00:00:19.000 --> 00:00:21.000]  願意真理聖靈開啟我們心竅
[00:00:21.000 --> 00:00:24.000]  帶領我們進入真理
[00:00:24.000 --> 00:00:26.000]  我們恭敬將以下環節交託仰望
[00:00:26.000 --> 00:00:28.000]  求主因令
[00:00:28.000 --> 00:00:31.000]  祈禱,乃奉主耶穌的聖命祈求
[00:00:31.000 --> 00:00:33.000]  啞沒
[00:00:33.000 --> 00:00:38.000]  今天講到的題目是生死的抉擇
[00:00:38.000 --> 00:00:41.000]  這段聖經的技術是講到
[00:00:41.000 --> 00:00:47.000]  摩西和法老去面對人生的轉折
[00:00:47.000 --> 00:00:53.000]  摩西百般不願十分無奈地回到埃及
[00:00:53.000 --> 00:00:56.000]  去執行神要他帶領他
[00:00:56.000 --> 00:01:00.000]  要他帶領以色列人出埃及這個命令
[00:01:00.000 --> 00:01:03.000]  帶同家人回到埃及
[00:01:03.000 --> 00:01:05.000]  怎知在耶穌的時間
[00:01:05.000 --> 00:01:11.000]  面對耶和華神的追殺
[00:01:11.000 --> 00:01:15.000]  神差遣摩西向法老宣告
[00:01:15.000 --> 00:01:19.000]  以色列是神的長子
[00:01:19.000 --> 00:01:22.000]  要法老無條件地放人
[00:01:22.000 --> 00:01:26.000]  可以讓以色列人自由地敬拜
[00:01:26.000 --> 00:01:28.000]  同時預告
[00:01:28.000 --> 00:01:32.000]  告訴摩西和阿倫知道
[00:01:32.000 --> 00:01:35.000]  我們所做的都是白費氣力
[00:01:35.000 --> 00:01:39.000]  法老不道烏江心不死
[00:01:39.000 --> 00:01:40.000]  上網查過
[00:01:40.000 --> 00:01:41.000]  我說烏江比較好
[00:01:41.000 --> 00:01:43.000]  因為講項語
[00:01:43.000 --> 00:01:44.000]  自問是烏江
[00:01:44.000 --> 00:01:48.000]  因為他發覺已經到了人生的結局
[00:01:48.000 --> 00:01:52.000]  雖然他死不認輸、死不悔改
[00:01:52.000 --> 00:01:58.000]  但最終在烏江自問
[00:01:58.000 --> 00:01:59.000]  同樣
