
[00:00:00.000 --> 00:00:08.420]  大家知道物想退休是一個很寶貴的屬靈傳統
[00:00:08.420 --> 00:00:13.500]  但是我們往往很少會走去物想退休
[00:00:13.500 --> 00:00:18.080]  反而近年我們很多人都會說Me-Kind
[00:00:18.080 --> 00:00:22.800]  每個人都會走去Me-Kind的時間
[00:00:22.800 --> 00:00:28.100]  因為可能可以令到我們離開一些的煩擾
[00:00:28.100 --> 00:00:31.040]  一個人原來都可以盡興
[00:00:31.040 --> 00:00:34.960]  沉默看聲 聽到月兒呼應
[00:00:34.960 --> 00:00:39.000]  繼而平靜 到訪這個一人之境
[00:00:39.000 --> 00:00:42.500]  哇 這種感覺多棒啊
[00:00:42.500 --> 00:00:45.800]  我覺得大家也可以更加想像一下
[00:00:45.800 --> 00:00:50.020]  如果那一刻耶穌一起在
[00:00:50.020 --> 00:00:56.320]  陪你去聽下風 看下月光
[00:00:56.320 --> 00:01:01.140]  甚至和你有些對話 那一刻多棒啊
[00:01:01.140 --> 00:01:04.720]  其實在《約翰福音》五章裡面
[00:01:04.720 --> 00:01:10.720]  都有一個一人之境 有一個一個人在的境況
[00:01:10.720 --> 00:01:12.880]  我們一起去再看一下
[00:01:12.880 --> 00:01:16.040]  《約翰福音》五章1至9節
[00:01:16.040 --> 00:01:20.240]  這個人的處境又是怎樣呢
[00:01:20.240 --> 00:01:26.280]  經文一開始不是提一個人 反而是很循序的去說
[00:01:26.280 --> 00:01:30.480]  這個人所在的之處在哪裡
[00:01:30.480 --> 00:01:33.900]  經文他說 第一節他都不這麼說
[00:01:33.900 --> 00:01:38.540]  他說這次以後都沒有猶太人的一個節期
[00:01:38.540 --> 00:01:40.960]  耶穌就上耶路撒冷去
[00:01:40.960 --> 00:01:45.680]  在耶路撒冷扣著陽門有一個的慈子
[00:01:45.680 --> 00:01:52.620]  希伯蘭話叫做「不是大」 旁邊有五個的男子
[00:01:52.620 --> 00:02:02.720]  子女躺著 黑眼的 腹腿的 血氣 枯乾的許多病人
[00:02:02.720 --> 00:02:07.180]  「不是大慈」其實這裡講的地方
[00:02:07.180 --> 00:02:12.780]  在耶路撒冷聖殿商的東北邊的一個小局
[00:02:12.780 --> 00:02:19.740]  附近是聖殿的陽門 大家聽到的名字都猜到的
[00:02:19.740 --> 00:02:25.640]  是給那些憲制的羊牛出入後門來的
[00:02:25.640 --> 00:02:31.160]  但其實這個名字它本身有一個意思 很有意思的
[00:02:31.160 --> 00:02:34.120]  是一個叫「傾流之處」
[00:02:34.120 --> 00:02:38.460]  講到傾流之處 你就會猜到這個詞
[00:02:38.460 --> 00:02:43.660]  就不同它的中文譯名「不是大」
[00:02:43.660 --> 00:02:46.200]  完全不同的 是一個相反的
[00:02:46.200 --> 00:02:55.220]  它說這個局的形勢是一個天然的儲水池
[00:02:55.220 --> 00:02:58.520]  很大的 不小的
[00:02:58.520 --> 00:03:06.260]  其實在當時是耶路撒冷裡面一個很主要的儲水池
[00:03:06.260 --> 00:03:15.140]  考古發現一個的池好像一個日字的形狀
[00:03:15.140 --> 00:03:17.780]  一個很大的長方形
[00:03:17.780 --> 00:03:23.540]  中間有一個的籠子分割了變成兩個的小字
[00:03:23.540 --> 00:03:29.500]  所以就有五個的籠子在當中
[00:03:29.500 --> 00:03:36.340]  約翰提到一個的讀者要留意一樣東西
[00:03:36.340 --> 00:03:41.260]  要用希伯來文去理解「不是大」
[00:03:41.260 --> 00:03:48.220]  原來希伯來文的意思是「憐憫至惡」
[00:03:48.220 --> 00:03:53.680]  所以你明白在第三席那裡指出
[00:03:53.680 --> 00:04:02.520]  在這裡餓了一些黑眼的 腹腿的 血氣枯乾的
[00:04:02.520 --> 00:04:06.140]  有許多病人在這裡做什麼?
[00:04:06.140 --> 00:04:13.340]  等 等天父傾流出來的那份憐憫
[00:04:13.340 --> 00:04:20.940]  在這裡很詳細講到這個人所在之處之後
[00:04:20.940 --> 00:04:25.700]  鏡頭就慢慢靠近這個人的身上
[00:04:25.700 --> 00:04:31.300]  在第二席他沒有講到這個人有什麼病
[00:04:31.300 --> 00:04:35.820]  他的回應你能夠知道
[00:04:35.820 --> 00:04:43.100]  他起碼看得到水洞 又能夠走得到一點
[00:04:43.100 --> 00:04:47.020]  而且能夠生存這麼多年
[00:04:47.020 --> 00:04:51.980]  所以你應該猜到他不是黑眼 又不是腹腿
[00:04:51.980 --> 00:04:54.780]  或者血氣枯乾
[00:04:54.780 --> 00:04:57.300]  甚至可以講得清楚一點
[00:04:57.300 --> 00:05:02.380]  他應該不是絕症或者一些重病
[00:05:02.380 --> 00:05:06.220]  事實上 經文很特別
[00:05:06.220 --> 00:05:09.820]  他沒有關心過他有什麼病
[00:05:09.820 --> 00:05:12.620]  他只是關心他在哪裡
[00:05:12.620 --> 00:05:16.420]  他在哪裡躺臥 在哪裡住的意思
[00:05:16.420 --> 00:05:23.260]  或者他關心的是在那裡的時間
[00:05:23.260 --> 00:05:27.020]  已經38年了
[00:05:27.020 --> 00:05:31.740]  到底為什麼會講時間和這個地點
[00:05:31.740 --> 00:05:36.740]  和這個人有什麼關係 有什麼特別
[00:05:36.740 --> 00:05:39.820]  我們很想知道
[00:05:39.820 --> 00:05:44.500]  但是未答之先 這一刻 耶穌就出現了
[00:05:44.500 --> 00:05:50.540]  很特別 病人無數 重病的耶穌不少
[00:05:50.540 --> 00:05:59.180]  但是耶穌偏偏只是聚焦focus在這個人的身上
[00:05:59.180 --> 00:06:03.380]  莫非這個人好像其他神蹟的主角一樣
[00:06:03.380 --> 00:06:07.860]  在大喊 耶穌救我 耶穌救我
[00:06:07.860 --> 00:06:11.140]  我猜你也看到 不是這樣
[00:06:11.140 --> 00:06:20.140]  情況完全不是這樣 這次是耶穌很主動去提出要幫他
[00:06:20.140 --> 00:06:24.100]  他很簡單做了三個動作
[00:06:24.100 --> 00:06:29.740]  針對同樣都是他的事 地 人
[00:06:29.740 --> 00:06:35.300]  他先做什麼 他看見 他躺臥那個地方
[00:06:35.300 --> 00:06:41.820]  之後他知道他病了很長的時間
[00:06:41.820 --> 00:06:47.900]  於是他就問這個人 你要得寸如萬
[00:06:47.900 --> 00:06:52.420]  這個問題其實是明知故問的問題
[00:06:52.420 --> 00:06:56.300]  但是耶穌為什麼要問這個問題
[00:06:56.300 --> 00:07:00.140]  要對這個人問一個這樣的問題
[00:07:00.140 --> 00:07:04.460]  不如我們聽一下這個人又怎樣去回答
[00:07:04.460 --> 00:07:12.380]  他說 先生 水凍的時候 會有人把我放在池子裡
[00:07:12.380 --> 00:07:19.180]  我正去的時候 就有別人比我先下去
[00:07:19.180 --> 00:07:24.340]  經文除了很客氣的稱呼耶穌之外
[00:07:24.340 --> 00:07:28.380]  這個人去再一次提到時間
[00:07:28.380 --> 00:07:32.420]  而且有兩個的講到時間
[00:07:32.420 --> 00:07:36.260]  他說水凍的時間和我正去的時間
