
[00:00:00.000 --> 00:00:04.400]  平時你吵架的時候會吵什麼呢?
[00:00:04.400 --> 00:00:07.800]  有人問我
[00:00:07.800 --> 00:00:10.520]  我剛結婚時的青少年會問我
[00:00:10.520 --> 00:00:13.680]  你結婚吵架的時候會吵什麼呢?
[00:00:13.680 --> 00:00:18.080]  其實你結過婚就知道了
[00:00:18.080 --> 00:00:20.400]  會吵一些無聊的事情
[00:00:20.400 --> 00:00:23.600]  會吵一些很傻的事情
[00:00:23.600 --> 00:00:27.040]  我其中一件事就是吵吃飯
[00:00:27.040 --> 00:00:28.640]  餐桌禮儀
[00:00:29.120 --> 00:00:32.680]  在說我的餐桌禮儀之前
[00:00:32.680 --> 00:00:34.760]  大家要明白我的成長背景
[00:00:34.760 --> 00:00:37.040]  我家裡有五個兄弟姐妹
[00:00:37.040 --> 00:00:38.360]  我是孫子
[00:00:38.360 --> 00:00:43.880]  我們總共有四個男孩和一個女孩
[00:00:43.880 --> 00:00:48.000]  對上的已經比我大五年
[00:00:48.000 --> 00:00:50.320]  所以對我們來說
[00:00:50.320 --> 00:00:56.800]  如果你有比較多兒子的小朋友
[00:00:56.800 --> 00:00:58.880]  我想你會知道
[00:00:58.880 --> 00:01:01.720]  吃飯是很恐怖的事情
[00:01:01.720 --> 00:01:03.440]  恐怖到什麼程度呢?
[00:01:03.440 --> 00:01:05.320]  我那時候大概四歲左右
[00:01:05.320 --> 00:01:07.120]  我們一家人去馬來西亞
[00:01:07.120 --> 00:01:13.920]  我爸爸點了四十串串燒
[00:01:13.920 --> 00:01:17.640]  四十串給七個人吃就可以了
[00:01:17.640 --> 00:01:19.880]  你猜我吃了多少條呢?
[00:01:19.880 --> 00:01:21.760]  什麼?
[00:01:21.760 --> 00:01:22.560]  一條?
[00:01:22.560 --> 00:01:23.960]  慘了
[00:01:23.960 --> 00:01:25.680]  我以為一條
[00:01:25.680 --> 00:01:27.040]  剛才我哥哥改正了我
[00:01:27.040 --> 00:01:28.560]  我吃了兩條
[00:01:29.200 --> 00:01:33.000]  因為我的哥哥是兩條兩條
[00:01:33.000 --> 00:01:34.760]  每隻手都兩條
[00:01:34.760 --> 00:01:36.120]  這樣吃的
[00:01:36.120 --> 00:01:38.680]  等我很辛苦地吃完第二條的時候
[00:01:38.680 --> 00:01:40.400]  我抬頭一看
[00:01:40.400 --> 00:01:41.720]  沒有了
[00:01:41.720 --> 00:01:43.640]  然後我爸爸就說
[00:01:43.640 --> 00:01:44.840]  多點六十條
[00:01:44.840 --> 00:01:45.840]  這樣
[00:01:45.840 --> 00:01:47.880]  這樣我才可以多吃一點
[00:01:47.880 --> 00:01:49.360]  所以大家要明白
[00:01:49.360 --> 00:01:54.720]  當你是一個很多男孩的家裡成長的時候
[00:01:54.720 --> 00:01:58.640]  你就很明白餐桌上面是個戰場
[00:01:58.640 --> 00:02:02.280]  你很明白什麼叫做弱肉強食
[00:02:02.280 --> 00:02:03.760]  所以大家要明白
[00:02:03.760 --> 00:02:05.360]  為什麼會在餐桌禮儀上面
[00:02:05.360 --> 00:02:07.680]  我和我太太會有衝突
[00:02:07.680 --> 00:02:08.600]  其實她罵我
[00:02:08.600 --> 00:02:09.280]  沒什麼衝突
[00:02:09.280 --> 00:02:09.840]  她罵我
[00:02:09.840 --> 00:02:11.000]  不是我
[00:02:11.000 --> 00:02:12.040]  因為她經常問我
[00:02:12.040 --> 00:02:13.520]  為什麼不夾菜給她
[00:02:13.520 --> 00:02:14.200]  為什麼不夾菜給我
[00:02:14.200 --> 00:02:16.040]  我說你要吃就自己拿
[00:02:16.040 --> 00:02:17.960]  因為她是大女兒
[00:02:17.960 --> 00:02:19.760]  照顧所有人
[00:02:19.760 --> 00:02:22.080]  但是我就不太明白
[00:02:22.080 --> 00:02:25.680]  所以經常都會有這些小小的爭執
[00:02:25.680 --> 00:02:27.160]  總是爭執無謂的事情
[00:02:27.160 --> 00:02:30.720]  其實我也想起當時我們婚前輔導的時候
[00:02:30.720 --> 00:02:34.840]  也有說過我們的成長背景會影響我們相處
[00:02:34.840 --> 00:02:36.960]  因為我們成長的潛規則
[00:02:36.960 --> 00:02:40.040]  就會很自然地覺得是這樣的
[00:02:40.040 --> 00:02:41.760]  所以夾不夾菜給別人
[00:02:41.760 --> 00:02:43.840]  是和我們的成長有關的
[00:02:43.840 --> 00:02:45.120]  自然地就會有衝突
[00:02:45.120 --> 00:02:47.040]  我被別人壓著罵
[00:02:47.040 --> 00:02:49.480]  當然結婚之後就要重新學習
[00:02:49.480 --> 00:02:50.920]  所以大家稍安毋躁
[00:02:50.920 --> 00:02:52.480]  我現在經常夾菜給她
[00:02:52.480 --> 00:02:54.360]  沒事
[00:02:54.360 --> 00:02:57.800]  事實上你在什麼環境成長
[00:02:57.800 --> 00:02:59.200]  你會做些什麼事
[00:02:59.200 --> 00:03:00.360]  無論在家庭裡
[00:03:00.360 --> 00:03:01.600]  或者拉闊一點
[00:03:01.600 --> 00:03:02.360]  你的民族
[00:03:02.360 --> 00:03:03.520]  你的文化裡
[00:03:03.520 --> 00:03:04.480]  都是這樣
[00:03:04.480 --> 00:03:06.880]  所以很多種的種族衝突
[00:03:06.880 --> 00:03:08.760]  都是和這些有關係
[00:03:08.760 --> 00:03:10.120]  大家的習性不同
[00:03:10.120 --> 00:03:13.040]  相處起來就會爭執
[00:03:13.040 --> 00:03:15.720]  基督徒成長不知道又是怎樣的
[00:03:15.720 --> 00:03:18.960]  基督徒在我們的環境裡成長
[00:03:18.960 --> 00:03:20.640]  不知道又會做些什麼事
[00:03:20.640 --> 00:03:22.600]  如果我們說什麼人成長
[00:03:22.600 --> 00:03:24.680]  或者什麼人就會做些什麼事
[00:03:24.680 --> 00:03:29.400]  到底基督徒成長和世界做的事有什麼不同呢
[00:03:29.400 --> 00:03:31.160]  可能有些令人憂慮的事
[00:03:31.160 --> 00:03:33.280]  是有時我們基督徒做的事情
[00:03:33.280 --> 00:03:35.440]  和世界是一樣的
[00:03:35.440 --> 00:03:37.000]  今天我們一起看二福所書
[00:03:37.000 --> 00:03:38.040]  五章一節四節
[00:03:38.040 --> 00:03:41.560]  看看保羅怎樣說基督徒是什麼人
[00:03:41.560 --> 00:03:43.640]  做什麼事
[00:03:43.640 --> 00:03:45.280]  五章一節二節說
[00:03:45.280 --> 00:03:47.800]  所以作為蒙慈愛的兒女
[00:03:47.800 --> 00:03:49.280]  你們該效法神
[00:03:49.280 --> 00:03:50.680]  要憑愛心行事
[00:03:50.680 --> 00:03:52.520]  正如基督愛我們
[00:03:52.520 --> 00:03:54.360]  為我們捨了自己
[00:03:54.360 --> 00:03:58.440]  當作輕香的供物和祭物獻給神
[00:03:58.440 --> 00:04:02.400]  這和上星期的講道有點相似
[00:04:02.400 --> 00:04:05.480]  五章一節二節可以說是一個總結
[00:04:05.480 --> 00:04:08.040]  也是承接在四章尾的講道
[00:04:08.040 --> 00:04:09.280]  如果大家記得上星期
[00:04:09.280 --> 00:04:10.720]  朱牧師提醒大家
[00:04:10.720 --> 00:04:14.320]  在靈裡面大家學習的就是彼此要恕
[00:04:14.320 --> 00:04:15.640]  這裡特別再說
