
[00:00:00.000 --> 00:00:03.720]  今日我哋係睇呢個詩篇嘅
[00:00:03.720 --> 00:00:07.200]  咁我陣間先同大家去睇一齊嚟睇
[00:00:07.200 --> 00:00:13.400]  咁我想講一個修道院嘅故事畀大家聽
[00:00:13.400 --> 00:00:16.960]  咁有間修道院裏面嘅修士
[00:00:16.960 --> 00:00:23.400]  每一日都會喺院長嘅帶領底下定時聚集
[00:00:23.400 --> 00:00:26.240]  一齊嚟到去祈禱嘅
[00:00:26.240 --> 00:00:30.200]  咁有日佢哋又係咁樣一齊聚集去祈禱嘅時候
[00:00:30.200 --> 00:00:33.600]  點知佢哋祈禱嘅時候
[00:00:33.600 --> 00:00:39.600]  就有一隻貓仔走咗入嚟修道院
[00:00:39.600 --> 00:00:43.000]  唔知係咪好似呢隻咁可愛
[00:00:43.000 --> 00:00:49.400]  嗰隻貓仔仲走到去院長嘅腳邊
[00:00:49.400 --> 00:00:52.920]  攪佢嘅腳 舔佢
[00:00:52.920 --> 00:00:57.640]  院長喺苦服禱告嘅時候
[00:00:57.640 --> 00:01:01.520]  嗰隻貓仔竟然舔佢個頭
[00:01:01.520 --> 00:01:04.720]  咁院長就覺得 哎呀 咁點搞呀
[00:01:04.720 --> 00:01:07.760]  搞到我唔能夠專心祈禱
[00:01:07.760 --> 00:01:10.160]  咁呢隻貓仔唔止淨係嗰日係咁
[00:01:10.160 --> 00:01:14.920]  跟住嗰幾日每逢佢哋祈禱嘅時候
[00:01:14.920 --> 00:01:16.680]  佢就走嚟搞院長
[00:01:16.680 --> 00:01:20.160]  呢個已經成為佢嘅習慣
[00:01:20.160 --> 00:01:23.920]  咁院長就真係冇辦法要處理呢個問題
[00:01:23.920 --> 00:01:25.840]  咁佢就諗到條橋
[00:01:25.840 --> 00:01:29.320]  就係每一次佢哋咁樣聚集祈禱嘅時候
[00:01:29.320 --> 00:01:31.960]  佢都帶備一條繩
[00:01:31.960 --> 00:01:35.280]  呢條繩就要嚟招呼下貓仔
[00:01:35.280 --> 00:01:37.560]  當貓仔嚟到嘅時候
[00:01:37.560 --> 00:01:41.080]  院長就會攞條繩就去綁住呢隻貓仔
[00:01:41.080 --> 00:01:43.640]  喺嗰個聖堂門外嗰度
[00:01:43.640 --> 00:01:47.760]  咁佢哋就可以專心嚟到去祈禱
[00:01:47.760 --> 00:01:51.040]  咁如是者過咗幾年
[00:01:51.040 --> 00:01:54.680]  院長都返咗天家
[00:01:54.680 --> 00:01:58.280]  呢間修道院仍然係喺佢哋祈禱嘅時候
[00:01:58.280 --> 00:02:02.960]  都會綁隻貓喺聖堂嘅門外
[00:02:02.960 --> 00:02:05.160]  又過咗幾年
[00:02:05.160 --> 00:02:09.160]  呢隻貓仔都八年歸老
[00:02:09.160 --> 00:02:12.320]  修道院又養過另外一隻貓
