
[00:00:00.000 --> 00:00:03.900]  所以人的時間不是用長短來計算的
[00:00:03.900 --> 00:00:07.740]  是我們怎樣來重視我們的生命
[00:00:07.740 --> 00:00:09.420]  重視你的光陰
[00:00:09.420 --> 00:00:13.120]  在《聖經》裏面都起碼有五個地方
[00:00:13.120 --> 00:00:15.820]  有講到關於一這個事情
[00:00:15.820 --> 00:00:19.160]  一是一件事 又或者一什麼
[00:00:19.160 --> 00:00:21.460]  五個一
[00:00:21.460 --> 00:00:23.540]  第一件事我想和大家一起看的
[00:00:23.540 --> 00:00:29.320]  《馬可福音》第十章的二十一節
[00:00:29.320 --> 00:00:33.520]  在經文裏面講到耶穌遇到一個少年
[00:00:33.520 --> 00:00:35.880]  這個少年什麼都做齊
[00:00:35.880 --> 00:00:38.320]  非常有德行
[00:00:38.320 --> 00:00:40.960]  非常有修養
[00:00:40.960 --> 00:00:45.460]  做齊人很高尚的品德
[00:00:45.460 --> 00:00:47.700]  都不錯的
[00:00:47.700 --> 00:00:51.720]  他就說耶穌啊 我還有什麼可以做的
[00:00:51.720 --> 00:00:55.920]  耶穌看著他 就愛他
[00:00:55.920 --> 00:00:59.360]  喜歡這個人 因為這個人是很有德行的
[00:00:59.360 --> 00:01:01.800]  很懂得潔身自愛的
[00:01:01.800 --> 00:01:06.520]  很追求人生的一些應該做的事情
[00:01:06.520 --> 00:01:08.200]  所以耶穌就愛他
[00:01:08.200 --> 00:01:11.080]  不過他知道他心裏面還有一件事放不下的
[00:01:11.080 --> 00:01:14.760]  就是你還缺少一件事
[00:01:14.760 --> 00:01:19.400]  就是去變賣你所有的分級窮人
[00:01:19.400 --> 00:01:21.400]  就必有財寶在天上
[00:01:21.400 --> 00:01:23.880]  你還要來跟從我
[00:01:23.880 --> 00:01:30.040]  經文下面這個人悠悠瘦瘦的走了
[00:01:30.040 --> 00:01:32.760]  他就沒有跟從 悠悠瘦瘦的
[00:01:32.760 --> 00:01:34.160]  為什麼呢?
[00:01:34.160 --> 00:01:36.160]  這件事情他做不到
[00:01:36.160 --> 00:01:37.320]  做不到什麼事呢?
[00:01:37.320 --> 00:01:41.840]  將自己所有的變賣給有需要的人
[00:01:41.840 --> 00:01:43.720]  還有要跟從主
[00:01:43.720 --> 00:01:46.280]  原來耶穌要求他的
[00:01:46.280 --> 00:01:49.000]  就是你不要以為你做完了
[00:01:49.000 --> 00:01:51.280]  你還有一件事情沒做的
[00:01:51.280 --> 00:01:54.640]  而這件事情就是你最大的障礙
[00:01:54.640 --> 00:01:56.560]  是你最難做的事情
[00:01:56.560 --> 00:02:03.440]  就是讓你好好的徹底跟從主其中一個最大的障礙
[00:02:03.440 --> 00:02:05.280]  其實我們的生命裏面
[00:02:05.280 --> 00:02:07.840]  一講到跟隨主我們很樂意的
[00:02:07.840 --> 00:02:09.040]  很願意的
[00:02:09.040 --> 00:02:11.840]  但是所以在我們的祈禱裏面我們怎麼講的
[00:02:11.840 --> 00:02:15.920]  神啊我很樂意祢使用我
[00:02:15.920 --> 00:02:18.240]  盼望祢用我一生
[00:02:18.240 --> 00:02:19.920]  用盡我
[00:02:19.920 --> 00:02:22.160]  跟著後面加上一個字
[00:02:22.160 --> 00:02:24.240]  但是
[00:02:24.240 --> 00:02:26.480]  是不是你的心聲
[00:02:26.480 --> 00:02:28.240]  主啊你什麼都行
[00:02:28.240 --> 00:02:31.880]  但是千萬不要拿走我這個東西
[00:02:31.880 --> 00:02:33.840]  這個東西可能是我的愛情
[00:02:33.840 --> 00:02:35.360]  是我的事業
[00:02:35.360 --> 00:02:37.120]  是我的好快樂的家庭
[00:02:37.120 --> 00:02:39.040]  或者是什麼理想
[00:02:39.040 --> 00:02:40.360]  主啊什麼都行
[00:02:40.360 --> 00:02:41.800]  但是
[00:02:41.800 --> 00:02:43.920]  所以有些人說我很尊重
[00:02:43.920 --> 00:02:44.880]  很尊重傳福音
[00:02:44.880 --> 00:02:47.920]  但是千萬不要送我去非洲
[00:02:47.920 --> 00:02:51.280]  有人說我可以帶小組
[00:02:51.280 --> 00:02:54.640]  千萬不要帶那些我很討厭的那些人
[00:02:54.640 --> 00:02:55.600]  什麼都行
[00:02:55.600 --> 00:02:56.640]  但是
[00:02:56.640 --> 00:03:02.800]  你帶著條件不肯放棄一切
[00:03:02.800 --> 00:03:04.400]  原來
[00:03:04.400 --> 00:03:07.280]  耶穌知道你和我的心
[00:03:07.280 --> 00:03:10.320]  我們掛在嘴邊就說什麼都侍奉
[00:03:10.320 --> 00:03:12.800]  其實真的很難的
[00:03:12.800 --> 00:03:14.400]  我年輕的時候
[00:03:14.400 --> 00:03:17.040]  一道奉獻就唱了一首歌叫做
[00:03:17.040 --> 00:03:19.040]  一切全奉獻
[00:03:19.040 --> 00:03:22.000]  一切全奉獻
[00:03:22.000 --> 00:03:24.560]  我唱著唱著都不敢唱
[00:03:24.560 --> 00:03:25.360]  是不是
[00:03:25.360 --> 00:03:26.000]  第一
[00:03:26.000 --> 00:03:28.480]  奉獻的那些就是雞碎那麼多
[00:03:28.480 --> 00:03:29.280]  第二
[00:03:29.280 --> 00:03:31.280]  都不是完全想奉獻的
[00:03:31.280 --> 00:03:33.280]  很多的保留
[00:03:33.280 --> 00:03:35.280]  所以這一首詩歌
[00:03:35.280 --> 00:03:38.160]  我一唱我就不唱了
[00:03:38.160 --> 00:03:40.160]  為什麼呢?我知道我做不到
[00:03:40.160 --> 00:03:42.080]  但是當我們說
[00:03:42.080 --> 00:03:44.720]  我願意為主耶穌來侍奉祂的時候
[00:03:44.720 --> 00:03:46.720]  將我的心靈交託祂
[00:03:46.720 --> 00:03:49.280]  特別是說到一直有受浸的
[00:03:49.280 --> 00:03:51.280]  是意味著什麼
[00:03:51.280 --> 00:03:54.160]  意味著我們的生命從那天開始
[00:03:54.160 --> 00:03:57.920]  是再沒有自己的擁有權
[00:03:57.920 --> 00:04:01.760]  而是將我們的主權交託給耶穌
[00:04:01.760 --> 00:04:04.320]  我們和耶穌其中的關係是什麼呢
[00:04:04.320 --> 00:04:06.320]  是主僕的關係
[00:04:06.320 --> 00:04:08.320]  祂是主,我是僕
[00:04:08.320 --> 00:04:11.280]  所以今天有一件事情我們要知道
[00:04:11.280 --> 00:04:14.560]  有什麼事情纏累著你纏累著我
[00:04:14.560 --> 00:04:17.120]  使我們不能再向前迷進呢
[00:04:17.120 --> 00:04:20.000]  如果是的
[00:04:20.000 --> 00:04:22.000]  我們要靠著主的恩典
[00:04:22.000 --> 00:04:24.000]  將祂拿走
[00:04:24.000 --> 00:04:27.040]  靠著主有時候靠著我們自己是不行的
[00:04:27.040 --> 00:04:30.000]  你知道撒旦魔鬼是很厲害的
[00:04:30.000 --> 00:04:35.040]  當他和你要迷惑你的時候是很容易的
[00:04:35.040 --> 00:04:37.040]  他會用很多的方法告訴你
[00:04:37.040 --> 00:04:39.040]  某某人
[00:04:39.040 --> 00:04:41.040]  你是屬於耶穌的人
[00:04:41.040 --> 00:04:43.040]  所以你一生人一定要好好侍奉主
[00:04:43.040 --> 00:04:45.040]  你一定要侍奉神
[00:04:45.040 --> 00:04:47.040]  如果你不侍奉神是很虧欠的
[00:04:47.040 --> 00:04:49.040]  所以你要將你的生命都交給他
[00:04:49.040 --> 00:04:53.040]  說得好像很乾脆
[00:04:53.040 --> 00:04:55.040]  不過他接著跟你說
[00:04:55.040 --> 00:04:59.040]  你不要在現在侍奉祂
[00:04:59.040 --> 00:05:01.040]  你將你的心祭遲一點
[00:05:01.040 --> 00:05:05.040]  等你做完你要做的事情才來侍奉神
[00:05:05.040 --> 00:05:11.040]  撒旦魔鬼往往叫你擔言擔言再擔言
[00:05:11.040 --> 00:05:13.040]  直到有一天我們沒有能力的時候
[00:05:13.040 --> 00:05:15.040]  接著說神求你使用我
[00:05:15.040 --> 00:05:17.040]  誰知道別人在做事情你做不到
[00:05:17.040 --> 00:05:19.040]  為什麼呢?你就坐在輪椅上
[00:05:19.040 --> 00:05:21.040]  什麼都不能做
[00:05:21.040 --> 00:05:23.040]  所以靠神幫助我們
[00:05:23.040 --> 00:05:25.040]  當我們有困難
[00:05:25.040 --> 00:05:27.040]  有一些錢累我們的時候
[00:05:27.040 --> 00:05:29.040]  我們變賣
[00:05:29.040 --> 00:05:31.040]  耶穌說變賣
[00:05:31.040 --> 00:05:33.040]  耶穌不是說賣
[00:05:33.040 --> 00:05:35.040]  是變賣
[00:05:35.040 --> 00:05:37.040]  變賣的意思是什麼呢?
[00:05:37.040 --> 00:05:39.040]  將你所擁有的化為一個
[00:05:39.040 --> 00:05:43.040]  亦都是一個祝福人的東西
[00:05:43.040 --> 00:05:45.040]  這些才是變賣
[00:05:45.040 --> 00:05:47.040]  不只是放棄,是丟棄
[00:05:47.040 --> 00:05:49.040]  丟棄其實也很浪費
[00:05:49.040 --> 00:05:51.040]  吃不完的食物
[00:05:51.040 --> 00:05:53.040]  丟棄,是不可以的
[00:05:53.040 --> 00:05:55.040]  用不完的食物,丟棄,是不可以的
[00:05:55.040 --> 00:05:57.040]  有些人的手機也有十個八個
[00:05:57.040 --> 00:05:59.040]  但是放在家裡的抽屜裡
[00:05:59.040 --> 00:06:01.040]  為什麼你不拿出來送給別人呢?
[00:06:01.040 --> 00:06:03.040]  放在那裡就是浪費
[00:06:03.040 --> 00:06:05.040]  我們所使用的東西
[00:06:05.040 --> 00:06:07.040]  不是一個陳列品
[00:06:07.040 --> 00:06:09.040]  而是成為工具
[00:06:09.040 --> 00:06:11.040]  我們的身體上有很多工具
[00:06:11.040 --> 00:06:13.040]  我們懂得舉手,懂得唱歌
[00:06:13.040 --> 00:06:15.040]  看東西,寫字,很多工具
[00:06:15.040 --> 00:06:17.040]  但往往我們就收起來
[00:06:17.040 --> 00:06:19.040]  到什麼時候呢?
[00:06:19.040 --> 00:06:21.040]  到覺得需要用的時候
[00:06:21.040 --> 00:06:23.040]  但那時候,那些工具
[00:06:23.040 --> 00:06:25.040]  已經確實是
[00:06:25.040 --> 00:06:27.040]  塵,生了瘦
[00:06:27.040 --> 00:06:29.040]  然後拿去
[00:06:29.040 --> 00:06:31.040]  整理的時候
[00:06:31.040 --> 00:06:33.040]  整理修理的時候
[00:06:33.040 --> 00:06:35.040]  你都是換一部新的
[00:06:35.040 --> 00:06:37.040]  所以求神幫助我們
[00:06:37.040 --> 00:06:39.040]  千萬不要在某些時候
[00:06:39.040 --> 00:06:41.040]  留戀,留戀
[00:06:41.040 --> 00:06:43.040]  接著就是
[00:06:43.040 --> 00:06:45.040]  成為我們的前類
[00:06:45.040 --> 00:06:47.040]  神要我們變賣
[00:06:47.040 --> 00:06:49.040]  將你所擁有的化為
[00:06:49.040 --> 00:06:51.040]  祝福
[00:06:51.040 --> 00:06:53.040]  第二件事
[00:06:53.040 --> 00:06:55.040]  當保羅出來
[00:06:55.040 --> 00:06:57.040]  侍奉上帝的時候
[00:06:57.040 --> 00:06:59.040]  菲律賓書十三章
[00:06:59.040 --> 00:07:01.040]  三章十三節那裡說什麼呢?
[00:07:01.040 --> 00:07:03.040]  我們看一看
[00:07:03.040 --> 00:07:05.040]  保羅說:弟兄們
[00:07:05.040 --> 00:07:07.040]  我不是以為自己已經得著了
[00:07:07.040 --> 00:07:09.040]  我只有一件事
[00:07:09.040 --> 00:07:11.040]  就是忘記背後
[00:07:11.040 --> 00:07:13.040]  努力面前的
[00:07:13.040 --> 00:07:15.040]  我不是
[00:07:15.040 --> 00:07:17.040]  以為自己已經得著了
[00:07:17.040 --> 00:07:19.040]  接著他說什麼呢?
[00:07:19.040 --> 00:07:21.040]  我只有一件事情
[00:07:21.040 --> 00:07:23.040]  一件事
[00:07:23.040 --> 00:07:25.040]  這個一件事在原文翻譯出來
[00:07:25.040 --> 00:07:27.040]  就是一個單一的心
[00:07:27.040 --> 00:07:29.040]  Single minded
[00:07:29.040 --> 00:07:31.040]  就是我只有一條心
[00:07:31.040 --> 00:07:33.040]  我再沒有第二條心
[00:07:33.040 --> 00:07:35.040]  不是我們所說的心心兩意
[00:07:35.040 --> 00:07:37.040]  就是一心一意
[00:07:37.040 --> 00:07:39.040]  第二件事對於保羅來說是什麼呢?
[00:07:39.040 --> 00:07:41.040]  由第二件事開始
[00:07:41.040 --> 00:07:43.040]  到無數事情的時候
[00:07:43.040 --> 00:07:45.040]  保羅在聖經裡面說什麼呢?
[00:07:45.040 --> 00:07:47.040]  我看世事如
[00:07:47.040 --> 00:07:49.040]  如糞土
[00:07:49.040 --> 00:07:51.040]  所以你看
[00:07:51.040 --> 00:07:53.040]  糞土很清楚的
[00:07:53.040 --> 00:07:55.040]  要麼就是神,要麼就是糞土
[00:07:55.040 --> 00:07:57.040]  界限很清楚的
[00:07:57.040 --> 00:07:59.040]  不會有灰色地帶
[00:07:59.040 --> 00:08:01.040]  神是一,我今次是第二
[00:08:01.040 --> 00:08:03.040]  愛情是第三
[00:08:03.040 --> 00:08:05.040]  事業是第四
[00:08:05.040 --> 00:08:07.040]  不是的
[00:08:07.040 --> 00:08:09.040]  其他的都是什麼呢?
[00:08:09.040 --> 00:08:11.040]  糞土
[00:08:11.040 --> 00:08:13.040]  專一
[00:08:13.040 --> 00:08:15.040]  專一
[00:08:15.040 --> 00:08:17.040]  一個專一的心
[00:08:17.040 --> 00:08:19.040]  使我們能夠好好地
[00:08:19.040 --> 00:08:21.040]  侍奉上帝
[00:08:21.040 --> 00:08:23.040]  而不會以為
[00:08:23.040 --> 00:08:25.040]  已經有的
[00:08:25.040 --> 00:08:27.040]  為滿足
[00:08:27.040 --> 00:08:29.040]  好了
[00:08:29.040 --> 00:08:31.040]  我都算不錯
[00:08:31.040 --> 00:08:33.040]  我每個禮拜都來教會
[00:08:33.040 --> 00:08:35.040]  我都算不錯
[00:08:35.040 --> 00:08:37.040]  我都有少少侍奉
[00:08:37.040 --> 00:08:39.040]  我都算不錯,我每天都親近上帝
[00:08:39.040 --> 00:08:41.040]  臨睡前當然是做一個
[00:08:41.040 --> 00:08:43.040]  很漂亮的祈禱
[00:08:43.040 --> 00:08:45.040]  我都算不錯
[00:08:45.040 --> 00:08:47.040]  我都有奉獻,我都有幫助人
[00:08:47.040 --> 00:08:49.040]  我都算幾好
[00:08:49.040 --> 00:08:51.040]  我都幾犧牲
[00:08:51.040 --> 00:08:53.040]  為了主的緣故
[00:08:53.040 --> 00:08:55.040]  我都願意做這樣做那樣
[00:08:55.040 --> 00:08:57.040]  當我們看回自己的時候
[00:08:57.040 --> 00:08:59.040]  我們可懂得
[00:08:59.040 --> 00:09:01.040]  欣賞自己
[00:09:01.040 --> 00:09:03.040]  人是一個很有趣的動物
[00:09:03.040 --> 00:09:05.040]  往往都會欣賞自己
[00:09:05.040 --> 00:09:07.040]  然後評論別人
[00:09:07.040 --> 00:09:09.040]  很有趣
[00:09:09.040 --> 00:09:11.040]  當然
[00:09:11.040 --> 00:09:13.040]  當我們說外表的時候
[00:09:13.040 --> 00:09:15.040]  就會有比較
[00:09:15.040 --> 00:09:17.040]  當你看回自己的鏡子的時候
[00:09:17.040 --> 00:09:19.040]  你就會覺得
[00:09:19.040 --> 00:09:21.040]  為什麼自己的鼻子沒有別人那麼尖
[00:09:21.040 --> 00:09:23.040]  為什麼自己的眼睛沒有別人那麼大
[00:09:23.040 --> 00:09:25.040]  為什麼自己的眼睛沒有別人那麼大
[00:09:25.040 --> 00:09:27.040]  然後去整容
[00:09:27.040 --> 00:09:29.040]  弄得像Michael Jackson
[00:09:29.040 --> 00:09:31.040]  他叫Michael
[00:09:31.040 --> 00:09:33.040]  但不像Jackson
[00:09:33.040 --> 00:09:35.040]  很多時候
[00:09:35.040 --> 00:09:37.040]  以自己有的為滿足
[00:09:37.040 --> 00:09:39.040]  以自己有的為滿足
[00:09:39.040 --> 00:09:41.040]  但保祿不是
