
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 大家早上好
[00:00:03.000 --> 00:00:06.000]  今天是母親節 我想在這裏先恭祝
[00:00:06.000 --> 00:00:09.000]  我們所有的母親們 還有所有
[00:00:09.000 --> 00:00:12.000]  有母親心腸的婦女們
[00:00:12.000 --> 00:00:15.000]  母親節快樂 好不好 好 我們先來
[00:00:15.000 --> 00:00:18.000]  互相祝賀一下 來祝賀我們
[00:00:18.000 --> 00:00:21.000]  在我們當中的女性朋友們 母親節快樂
[00:00:21.000 --> 00:00:26.000]  非常開心啊 看到大家就好像看到了
[00:00:26.000 --> 00:00:29.000]  在座每一個都是才德的婦人
[00:00:29.000 --> 00:00:32.000]  我就覺得今天的講到不用講了 我們回家
[00:00:32.000 --> 00:00:35.000]  慶祝母親節就可以了
[00:00:35.000 --> 00:00:38.000]  回到我們今天的題目
[00:00:38.000 --> 00:00:41.000]  我想先跟大家分享一個小故事
[00:00:41.000 --> 00:00:44.000]  有一個公司呢 打出了一個
[00:00:44.000 --> 00:00:47.000]  招聘的廣告 招聘什麼職位呢
[00:00:47.000 --> 00:00:50.000]  招聘的職位呢 是營運總監
[00:00:50.000 --> 00:00:53.000]  我們都知道 招聘廣告
[00:00:53.000 --> 00:00:56.000]  都有工作的描述 對不對 我們看一下這個
[00:00:56.000 --> 00:00:59.000]  營運總監的工作描述是怎樣的
[00:00:59.000 --> 00:01:02.000]  第一 要求能夠在一個
[00:01:02.000 --> 00:01:05.000]  混亂的環境當中工作
[00:01:05.000 --> 00:01:08.000]  第二 要有出色的談判
[00:01:08.000 --> 00:01:11.000]  和人際交往技巧
[00:01:11.000 --> 00:01:14.000]  第三 此工作流動性
[00:01:14.000 --> 00:01:17.000]  很強 要求你大部分時間
[00:01:17.000 --> 00:01:20.000]  站着工作 不斷地站着
[00:01:20.000 --> 00:01:23.000]  不斷地彎腰 不斷地運用自己的體力
[00:01:23.000 --> 00:01:26.000]  第四 要有
[00:01:26.000 --> 00:01:29.000]  醫學 金融 烹飪
[00:01:29.000 --> 00:01:32.000]  藝術 等等學位
[00:01:32.000 --> 00:01:35.000]  必須能夠身兼數職
[00:01:35.000 --> 00:01:38.000]  第五 要求高度的僞身性
[00:01:38.000 --> 00:01:41.000]  如果你有一個自己的生活
[00:01:41.000 --> 00:01:44.000]  此工作要求你爲此放棄自己的生活
[00:01:44.000 --> 00:01:47.000]  好 我們再來看一下
[00:01:47.000 --> 00:01:50.000]  工作福利 此工作的工作福利
[00:01:50.000 --> 00:01:53.000]  是每週工作135個小時
[00:01:53.000 --> 00:01:56.000]  或者以上 基本上是
[00:01:56.000 --> 00:01:59.000]  每星期7天 每天24小時
[00:01:59.000 --> 00:02:02.000]  然後呢 有必要的時候
[00:02:02.000 --> 00:02:05.000]  你還需要跟你的同事一起熬夜
[00:02:05.000 --> 00:02:08.000]  一起加班
[00:02:08.000 --> 00:02:11.000]  有沒有假期呢 抱歉 全年無休
[00:02:11.000 --> 00:02:14.000]  365天都要工作
[00:02:14.000 --> 00:02:17.000]  並且呢 我們樂意啊 你在感恩節
[00:02:17.000 --> 00:02:20.000]  聖誕節 復活節
[00:02:20.000 --> 00:02:23.000]  新年 以及所有的假期
[00:02:23.000 --> 00:02:26.000]  樂意你的工作量大大提高
[00:02:26.000 --> 00:02:29.000]  第三 我們提供午餐
[00:02:29.000 --> 00:02:32.000]  不過要等所有的同事都喫完了 你纔可以喫
[00:02:32.000 --> 00:02:35.000]  那麼這樣的一份工作
[00:02:35.000 --> 00:02:38.000]  有什麼樣的工作意義呢
[00:02:38.000 --> 00:02:41.000]  就是所有你做的有意義的事情
[00:02:41.000 --> 00:02:44.000]  或者是從幫助同事所得到的感受
[00:02:44.000 --> 00:02:47.000]  是無法估量的
[00:02:47.000 --> 00:02:50.000]  有人也許好奇
[00:02:50.000 --> 00:02:53.000]  這樣的一份工作 全年無休
[00:02:53.000 --> 00:02:56.000]  又要樂意付出 是不是
[00:02:56.000 --> 00:02:59.000]  要很高的薪水啊
[00:02:59.000 --> 00:03:02.000]  那我們就來談談薪水吧 抱歉
[00:03:02.000 --> 00:03:05.000]  你的薪水是絕對無薪
[00:03:05.000 --> 00:03:08.000]  要像義工一樣這樣的付出
[00:03:08.000 --> 00:03:11.000]  有人會問 有這樣的一份工作嗎
[00:03:11.000 --> 00:03:14.000]  有的應聘者 聽到這樣的一份工作
[00:03:14.000 --> 00:03:17.000]  他們的回應是 太瘋狂了
[00:03:17.000 --> 00:03:20.000]  不可思議 合法的嗎
[00:03:20.000 --> 00:03:23.000]  沒有人會幹 幾近殘酷
[00:03:23.000 --> 00:03:26.000]  但是我想告訴你 全球
[00:03:26.000 --> 00:03:29.000]  有幾十億個人正在做着這份的工作
[00:03:29.000 --> 00:03:32.000]  這份工作就是
[00:03:32.000 --> 00:03:35.000]  營運總監 或者稱母親們
[00:03:35.000 --> 00:03:38.000]  給在座的母親一個掌聲 好不好
[00:03:42.000 --> 00:03:45.000]  非常感恩
[00:03:45.000 --> 00:03:48.000]  感恩在座我們有很多很多的母親們
[00:03:48.000 --> 00:03:51.000]  這樣的養育了我們
[00:03:51.000 --> 00:03:54.000]  那麼聖經也描述了一位
[00:03:54.000 --> 00:03:57.000]  幾近十全十美的一個才德的婦人
[00:03:57.000 --> 00:04:00.000]  工作家務裏裏外外樣樣精通
[00:04:00.000 --> 00:04:03.000]  首先這個第十節到第十二節
[00:04:03.000 --> 00:04:06.000]  是對才德婦女一個總體的評價
[00:04:06.000 --> 00:04:09.000]  我們看一下第十節
[00:04:09.000 --> 00:04:12.000]  第十節是怎樣先總括
[00:04:12.000 --> 00:04:15.000]  整個才德的婦女呢 上面講到
[00:04:15.000 --> 00:04:18.000]  才德的婦人誰能得着呢
[00:04:18.000 --> 00:04:21.000]  她的價值遠勝珍珠
[00:04:21.000 --> 00:04:24.000]  十一節 她丈夫心裏倚靠她
[00:04:24.000 --> 00:04:27.000]  她並不缺少利益
[00:04:27.000 --> 00:04:30.000]  第十二節
[00:04:30.000 --> 00:04:33.000]  她一生使丈夫有益無損
[00:04:33.000 --> 00:04:36.000]  我今天特地帶了一個珍珠項鍊來
[00:04:36.000 --> 00:04:39.000]  我今天特地帶了一個珍珠項鍊來
[00:04:39.000 --> 00:04:42.000]  這個珍珠呢背後是有一個小故事在後面的
[00:04:42.000 --> 00:04:45.000]  那我自己不是一個特別去注重首飾的人
[00:04:45.000 --> 00:04:48.000]  那我自己不是一個特別去注重首飾的人
[00:04:48.000 --> 00:04:51.000]  但是這個珍珠項鍊呢
[00:04:51.000 --> 00:04:54.000]  它就是我在離開自己的母會
[00:04:54.000 --> 00:04:57.000]  來到港福堂的時候
[00:04:57.000 --> 00:05:00.000]  我們團契小組的弟兄姊妹
[00:05:00.000 --> 00:05:03.000]  他們一起嘎分就是存錢
[00:05:03.000 --> 00:05:06.000]  在這個卡片裏面就是引用了這句話
[00:05:06.000 --> 00:05:09.000]  說才德的婦人誰能得着呢
[00:05:09.000 --> 00:05:12.000]  她的價值遠勝珍珠
[00:05:12.000 --> 00:05:15.000]  我想他們的意思並不是講說
[00:05:15.000 --> 00:05:18.000]  我在才德的婦人每一項都做到了
[00:05:18.000 --> 00:05:21.000]  而是一種對我的祝福
[00:05:21.000 --> 00:05:24.000]  在他們的心裏面他們願意祝福
[00:05:24.000 --> 00:05:27.000]  他的姊妹們能夠得到這樣的價值
[00:05:27.000 --> 00:05:30.000]  那麼今天我也想把這一份的祝福送給大家
[00:05:30.000 --> 00:05:33.000]  在我們的眼中我們每一位都是寶貴的
[00:05:33.000 --> 00:05:36.000]  每一位婦人的價值都遠勝珍珠
[00:05:36.000 --> 00:05:39.000]  那接下來我們就看開心的事情
[00:05:39.000 --> 00:05:42.000]  看看聖經怎麼誇這一個婦人
[00:05:42.000 --> 00:05:43.000]  就是誇我們自己啊
[00:05:43.000 --> 00:05:45.000]  誇的時候大家想着自己有哪一點
[00:05:45.000 --> 00:05:47.000]  有的就tick一下啊
[00:05:47.000 --> 00:05:49.000]  好我們來看
[00:05:49.000 --> 00:05:51.000]  先看第十
[00:05:51.000 --> 00:05:53.000]  我把它分成了七大類
[00:05:53.000 --> 00:05:56.000]  我們先看第一類
[00:05:56.000 --> 00:05:57.000]  這位才德的婦人呢
[00:05:57.000 --> 00:05:59.000]  她對家人照顧有加
[00:05:59.000 --> 00:06:02.000]  首先看第十四節
[00:06:02.000 --> 00:06:03.000]  十四節說
[00:06:03.000 --> 00:06:07.000]  她好像商船從遠方運糧來
[00:06:07.000 --> 00:06:09.000]  這裏講到
[00:06:09.000 --> 00:06:13.000]  我們的母親每一天都供應家人所需的食物
[00:06:13.000 --> 00:06:15.000]  我想大家都非常理解啊
[00:06:15.000 --> 00:06:17.000]  母親每天都張羅三餐
[00:06:17.000 --> 00:06:21.000]  大大小小的葷菜素菜一桌子的食物
[00:06:21.000 --> 00:06:22.000]  好
[00:06:22.000 --> 00:06:23.000]  第十三節說
[00:06:23.000 --> 00:06:25.000]  她尋找羊絨和麻
[00:06:25.000 --> 00:06:27.000]  甘心用手做工
[00:06:27.000 --> 00:06:31.000]  這就說明我們的母親是非常的勤勞
[00:06:31.000 --> 00:06:34.000]  每一個母親可能都有勤勞的特質
[00:06:34.000 --> 00:06:35.000]  第十七節說
[00:06:35.000 --> 00:06:37.000]  她以能力束腰
[00:06:37.000 --> 00:06:40.000]  使綁臂有力
[00:06:40.000 --> 00:06:42.000]  那麼這一節經文呢
[00:06:42.000 --> 00:06:44.000]  能力綁臂有力
[00:06:44.000 --> 00:06:47.000]  通常是來形容男性的字眼
[00:06:47.000 --> 00:06:48.000]  作者呢
[00:06:48.000 --> 00:06:53.000]  就特地用了形容男性或者是戰士的字眼
[00:06:53.000 --> 00:06:55.000]  來形容這一位母親
[00:06:55.000 --> 00:06:57.000]  就是說有時候啊
[00:06:57.000 --> 00:06:59.000]  我們做母親的做媽的
[00:06:59.000 --> 00:07:01.000]  也要有男子漢的氣概
[00:07:01.000 --> 00:07:03.000]  要撐起這頭家
[00:07:03.000 --> 00:07:06.000]  可能在座的母親也並不陌生
[00:07:06.000 --> 00:07:08.000]  有時候要又當爹又當媽
[00:07:08.000 --> 00:07:11.000]  有的時候甚至風雨來的時候
[00:07:11.000 --> 00:07:15.000]  還要像父親一樣去硬幣家裏面的人
[00:07:15.000 --> 00:07:17.000]  二十一節說
[00:07:17.000 --> 00:07:20.000]  她不因下雪爲家裏的人擔心
[00:07:20.000 --> 00:07:24.000]  因爲全家都穿着珠紅衣服
[00:07:24.000 --> 00:07:26.000]  珠紅衣服是什麼衣服呢
[00:07:26.000 --> 00:07:28.000]  可以易做雙層的衣服
[00:07:28.000 --> 00:07:30.000]  就是比較厚的衣服
[00:07:30.000 --> 00:07:33.000]  在冬天可以預寒保暖
[00:07:33.000 --> 00:07:35.000]  說明這位母親還是一個
[00:07:35.000 --> 00:07:38.000]  未雨綢繆常做預備的母親
[00:07:38.000 --> 00:07:42.000]  常常把各樣的事物提早預備妥當
[00:07:42.000 --> 00:07:44.000]  當家裏面發生困難
[00:07:44.000 --> 00:07:47.000]  或者有突發狀況發生的時候
[00:07:47.000 --> 00:07:51.000]  家人都不需要爲這樣的狀況來擔心
[00:07:51.000 --> 00:07:53.000]  好 這是第一點
[00:07:53.000 --> 00:07:56.000]  講到這位母親對家人的照顧
[00:07:56.000 --> 00:07:58.000]  第二點是講到
[00:07:58.000 --> 00:08:01.000]  這個母親還是一位家務能手
[00:08:01.000 --> 00:08:03.000]  第十五節
[00:08:03.000 --> 00:08:06.000]  未到黎明她就起來
[00:08:06.000 --> 00:08:08.000]  把食物分給家中的人
[00:08:08.000 --> 00:08:11.000]  將當做的工分派婢女
[00:08:11.000 --> 00:08:13.000]  所以她是天沒亮
[00:08:13.000 --> 00:08:17.000]  早早的就起牀來打理家務
[00:08:17.000 --> 00:08:19.000]  並且把一天的家務工作
[00:08:19.000 --> 00:08:22.000]  分配給家裏面的婢女
[00:08:22.000 --> 00:08:23.000]  二十七節
[00:08:23.000 --> 00:08:27.000]  她觀察家務並不喫閒飯
[00:08:27.000 --> 00:08:28.000]  這裏就說啊
[00:08:28.000 --> 00:08:31.000]  家裏面所有一切要有的家務活
[00:08:31.000 --> 00:08:33.000]  都在她的心裏面
[00:08:33.000 --> 00:08:35.000]  什麼時候家裏該添米了
[00:08:35.000 --> 00:08:38.000]  什麼時候要買菜做飯了
[00:08:38.000 --> 00:08:40.000]  什麼時候要打掃洗手間
[00:08:40.000 --> 00:08:42.000]  什麼時候要大掃除了
[00:08:42.000 --> 00:08:43.000]  一樣一樣的家務
[00:08:43.000 --> 00:08:48.000]  都在她的心裏面並不喫閒飯
[00:08:48.000 --> 00:08:51.000]  她不僅對於家務的事情非常在行
[00:08:51.000 --> 00:08:53.000]  她還有工作的技能
[00:08:53.000 --> 00:08:55.000]  我們來看第三點
[00:08:55.000 --> 00:09:00.000]  這位婦女還具有超強的工作的技能
[00:09:00.000 --> 00:09:01.000]  十九節
[00:09:01.000 --> 00:09:04.000]  她手拿擰線杆
[00:09:04.000 --> 00:09:06.000]  手把紡線車
[00:09:06.000 --> 00:09:08.000]  說明她心靈手巧
[00:09:08.000 --> 00:09:12.000]  有一項專業的工作的技能
[00:09:12.000 --> 00:09:13.000]  那我們知道
[00:09:13.000 --> 00:09:14.000]  現代的婦女
[00:09:14.000 --> 00:09:15.000]  很多的婦女
[00:09:15.000 --> 00:09:17.000]  不僅是照顧家裏面
[00:09:17.000 --> 00:09:19.000]  我們也有很多的專業的知識
[00:09:19.000 --> 00:09:21.000]  專業的技能
[00:09:21.000 --> 00:09:23.000]  第二十四節
[00:09:23.000 --> 00:09:26.000]  她做細麻布衣裳出賣
[00:09:26.000 --> 00:09:29.000]  又將腰帶賣與商家
[00:09:29.000 --> 00:09:32.000]  那麼這個婦女穿的是細麻布
[00:09:32.000 --> 00:09:34.000]  她不僅自己做細麻布
[00:09:34.000 --> 00:09:36.000]  還把細麻布賣給別人
[00:09:36.000 --> 00:09:39.000]  又將腰帶賣與商家
[00:09:39.000 --> 00:09:41.000]  所以說她是會賺錢的
[00:09:41.000 --> 00:09:42.000]  會做買賣的
[00:09:42.000 --> 00:09:44.000]  有工作的技能
[00:09:44.000 --> 00:09:47.000]  還懂得財務管理
[00:09:47.000 --> 00:09:50.000]  關於財務管理和資產的投資
[00:09:50.000 --> 00:09:51.000]  十六節和十八節
[00:09:51.000 --> 00:09:53.000]  講得更加的清楚
[00:09:53.000 --> 00:09:54.000]  十六節說
[00:09:54.000 --> 00:09:56.000]  她想得田地就買來
[00:09:56.000 --> 00:10:00.000]  用手所得之力栽種葡萄園
[00:10:00.000 --> 00:10:01.000]  所以這位婦女
[00:10:01.000 --> 00:10:03.000]  還是一位精明的婦女
[00:10:03.000 --> 00:10:05.000]  懂得理財
[00:10:05.000 --> 00:10:07.000]  懂得應用金錢
[00:10:07.000 --> 00:10:08.000]  看準時機
[00:10:08.000 --> 00:10:10.000]  適時投資
[00:10:10.000 --> 00:10:12.000]  智慧的管理金錢
[00:10:12.000 --> 00:10:13.000]  十八
[00:10:13.000 --> 00:10:15.000]  她覺得所經營的有利
[00:10:15.000 --> 00:10:18.000]  她的燈終夜不滅
[00:10:18.000 --> 00:10:21.000]  凡是對家裏有利益的事情
[00:10:21.000 --> 00:10:25.000]  她都會徹夜不眠
[00:10:25.000 --> 00:10:25.000]  好
[00:10:25.000 --> 00:10:27.000]  她對家人好
[00:10:27.000 --> 00:10:28.000]  不僅如此
[00:10:28.000 --> 00:10:30.000]  她對外人怎樣呢
[00:10:30.000 --> 00:10:31.000]  聖經說
[00:10:31.000 --> 00:10:33.000]  她對外人有憐憫
[00:10:33.000 --> 00:10:34.000]  二十節
[00:10:34.000 --> 00:10:37.000]  她張手賙濟困苦人
[00:10:37.000 --> 00:10:40.000]  伸手幫補窮乏人
[00:10:40.000 --> 00:10:41.000]  所以呢
[00:10:41.000 --> 00:10:45.000]  她是一個有仁慈和憐憫的人
[00:10:45.000 --> 00:10:48.000]  大家想到這種仁慈和憐憫
[00:10:48.000 --> 00:10:50.000]  張手賙濟困苦人
[00:10:50.000 --> 00:10:52.000]  伸手幫補窮乏人
[00:10:52.000 --> 00:10:54.000]  會想到誰呢
[00:10:54.000 --> 00:10:56.000]  我們的神耶和華
[00:10:56.000 --> 00:10:58.000]  也有這樣的屬性
[00:10:58.000 --> 00:11:02.000]  所以這位婦女有神的憐憫和神的恩慈
[00:11:02.000 --> 00:11:05.000]  在她的手中
[00:11:05.000 --> 00:11:07.000]  最後不僅如此
[00:11:07.000 --> 00:11:08.000]  這位婦女啊
[00:11:08.000 --> 00:11:13.000]  還幫助她的家族建立了好的名聲
[00:11:13.000 --> 00:11:14.000]  二十三節
[00:11:14.000 --> 00:11:19.000]  她的丈夫在城門口與本地的長老同坐
[00:11:19.000 --> 00:11:21.000]  爲衆人所認識
[00:11:21.000 --> 00:11:23.000]  城門口是一個地方
[00:11:23.000 --> 00:11:26.000]  是行使公義的地方
[00:11:26.000 --> 00:11:30.000]  古代義士和判斷都在城門口進行
[00:11:30.000 --> 00:11:31.000]  所以這裏講呢
[00:11:31.000 --> 00:11:34.000]  不是說她的丈夫在城門口喫閒飯
