
[00:00:00.000 --> 00:00:07.280]  今晚的講題是「活在神的時候中」
[00:00:07.280 --> 00:00:13.280]  希望我們屬主的人能夠活在神的時候中
[00:00:13.280 --> 00:00:15.760]  這個很重要
[00:00:15.760 --> 00:00:20.480]  當我小時候很喜歡去看馬戲
[00:00:20.480 --> 00:00:23.280]  相信有很多人與我有同感
[00:00:23.280 --> 00:00:29.120]  看馬戲固然有很多動物、鳥獸等等
[00:00:29.120 --> 00:00:30.400]  很開心
[00:00:30.400 --> 00:00:35.680]  但除此之外還有一個節目我很喜歡看
[00:00:35.680 --> 00:00:37.040]  很期盼看到
[00:00:37.040 --> 00:00:39.040]  是甚麼呢?
[00:00:39.040 --> 00:00:42.720]  「空中飛人」
[00:00:42.720 --> 00:00:44.480]  「空中飛人」很刺激
[00:00:44.480 --> 00:00:46.960]  我們看見雜技人在空中飛來飛去
[00:00:46.960 --> 00:00:48.560]  又轉身又翻滾
[00:00:48.560 --> 00:00:50.640]  然後很重要的是在一式間之外
[00:00:50.640 --> 00:00:54.240]  大家來到接手
[00:00:54.240 --> 00:00:56.880]  或者接到那支棒
[00:00:56.880 --> 00:00:58.480]  搖緊的棒
[00:00:58.480 --> 00:01:01.680]  讓觀看者很興奮、驚歎
[00:01:01.680 --> 00:01:04.240]  甚至覺得真的有點危險
[00:01:04.240 --> 00:01:05.520]  因為我們一直在想
[00:01:05.520 --> 00:01:08.240]  究竟下一次能否接到呢?
[00:01:08.240 --> 00:01:10.240]  接不到就會掉下去
[00:01:10.240 --> 00:01:11.920]  雖然有安全網
[00:01:11.920 --> 00:01:13.520]  但也很危險
[00:01:13.520 --> 00:01:15.600]  所以當我們來看的時候
[00:01:15.600 --> 00:01:18.960]  就會覺得非常興奮
[00:01:18.960 --> 00:01:20.800]  是很好看的
[00:01:20.800 --> 00:01:23.520]  我不知道大家對於這種「空中飛人」
[00:01:23.520 --> 00:01:25.440]  當你去想的時候
[00:01:25.440 --> 00:01:29.040]  你覺得在哪一個環節是最重要的呢?
[00:01:29.040 --> 00:01:32.800]  你覺得在哪一個過程裡
[00:01:32.800 --> 00:01:37.840]  哪一部分你覺得是最重要的呢?
[00:01:37.840 --> 00:01:40.400]  如果你問我的話
[00:01:40.400 --> 00:01:47.200]  我覺得就是手接手的時機是最重要的
[00:01:47.200 --> 00:01:49.680]  那個最適當的時間
[00:01:49.680 --> 00:01:51.120]  最準確的時間
[00:01:51.120 --> 00:01:54.320]  就是大家剛剛連在一起
[00:01:54.320 --> 00:01:57.760]  這個「空中飛人」才可以繼續下去
[00:01:57.760 --> 00:02:00.400]  所以在整個節目裡
[00:02:00.400 --> 00:02:02.640]  這是一個很關鍵性的
[00:02:02.640 --> 00:02:06.240]  我也很相信那些習技的人
[00:02:06.240 --> 00:02:07.600]  在之前練習了很多次
[00:02:07.600 --> 00:02:09.280]  甚至可能跌過很多次
[00:02:09.280 --> 00:02:11.120]  他們要學習這件事
[00:02:11.120 --> 00:02:13.840]  因為他們需要掌握得到
[00:02:13.840 --> 00:02:17.680]  適當的時間和準確的時間
[00:02:17.680 --> 00:02:20.080]  否則就不用玩了
[00:02:20.080 --> 00:02:21.520]  很重要
[00:02:21.520 --> 00:02:26.000]  如果我們轉念去想一想屬靈的道理
[00:02:26.000 --> 00:02:29.040]  轉念去想一想我們怎樣活在神的面前
[00:02:29.040 --> 00:02:30.800]  討神的喜悅
[00:02:30.800 --> 00:02:33.920]  我相信我們都需要學一件事
[00:02:33.920 --> 00:02:38.160]  就是我們需要掌握屬靈的時間
[00:02:38.160 --> 00:02:41.920]  準確的時間和最適當的時間
[00:02:41.920 --> 00:02:46.720]  也就是神的時間、神的時候
[00:02:46.720 --> 00:02:49.440]  這方面我相信我們的主
[00:02:49.440 --> 00:02:52.160]  在世上來服侍的時候
[00:02:52.160 --> 00:02:54.800]  祂最能夠做到這一點
[00:02:54.800 --> 00:02:59.280]  是最能夠體現這個道理讓我們知道
[00:02:59.280 --> 00:03:02.320]  我們可以從我們的主耶穌的身上學到
[00:03:02.320 --> 00:03:07.120]  祂怎樣來掌握神的時候
[00:03:07.120 --> 00:03:13.440]  來活著、來抉擇、來行動、來教導、來行神蹟
[00:03:13.440 --> 00:03:16.080]  祂做事不是沒有方針的
[00:03:16.080 --> 00:03:17.760]  不是沒有次序的
[00:03:17.760 --> 00:03:19.440]  是很有步驟的
[00:03:19.440 --> 00:03:21.200]  但是最重要的一樣
[00:03:21.200 --> 00:03:26.640]  就是祂是在神的時候裡面去表達出來
[00:03:26.640 --> 00:03:27.920]  而這個我覺得
[00:03:27.920 --> 00:03:30.720]  今天我們基督徒需要在這方面
