
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹,早安!
[00:00:02.000 --> 00:00:06.000]  在這裡跟大家拜年,祝大家新年快樂,日日蒙恩!
[00:00:06.000 --> 00:00:10.000]  農曆新年,不知道大家有什麼新年願望呢?
[00:00:10.000 --> 00:00:14.000]  或者我們給祝福的時候,多數會說什麼?
[00:00:14.000 --> 00:00:25.000]  新年快樂,身體健康,讀書的祝他學業進步,工作愉快,步步高升,薪金有得加就好了!
[00:00:25.000 --> 00:00:28.000]  信主的,可能我們多說幾句,福般滿日!
[00:00:28.000 --> 00:00:42.000]  新曆年的時候,2016年12月31日,不同的報章就和香港人做了一些訪問,問他們有什麼新年願望。
[00:00:42.000 --> 00:00:58.000]  文匯報就這樣寫的,很多受訪者都是願意大家身體健康,生活安定,希望社會減少一些爭拗,又希望可以互相尊重包容,給香港回復和平。
[00:00:58.000 --> 00:01:16.000]  我抽了幾個香港的市民,他們說的話。陳女士就說,2016年全球各地很多恐襲,很多空難,戰爭不斷,死傷無數,她希望今年世界能夠回復和平。
[00:01:16.000 --> 00:01:34.000]  她說香港的政局都是一片混亂,立法會不斷在爭執,令人都不是很開心。希望新年新開始,各界能夠以和為貴,一起搞好香港,這樣大家都開心。
[00:01:34.000 --> 00:01:39.000]  所以她的大標題是2017,很想一定要開心。
[00:01:39.000 --> 00:01:54.000]  王女士就說,過去一年世界各地都是發生很多天災人禍,世界很亂,不是飛機失事,就是那些貨車撞人,又希望新一年世界和平,少一些爭端。
[00:01:54.000 --> 00:02:05.000]  又希望香港今年2017年選出一個好的特首,希望可以加快增加房屋供應,又希望中央繼續關照香港。
[00:02:05.000 --> 00:02:18.000]  一個已經退休的梁女士就說,希望身體能夠保持健康,不用家人擔心,因為狗病床前無孝子,她最重要是不想連累家人。
[00:02:18.000 --> 00:02:40.000]  同樣提到香港今年的政局很動亂,希望未來一年立法會可以少一些爭拗,政府新一年推出多一些舒緩樓價,物價,高企那些問題,不要為反而反,讓政府可以多一些做事。
[00:02:40.000 --> 00:02:47.000]  一個退休的長者湯婆婆就說,希望自己和家人身體健康,因為健康就是財富。
[00:02:47.000 --> 00:02:56.000]  香港社會現在不斷爭拗,令到社會無法向前發展,希望大家可以彼此包容,有商有量。
