
[00:00:00.000 --> 00:00:02.720]  本節目由我們在聆聽主的說話而設
[00:00:02.720 --> 00:00:04.320]  我們一起同心低頭禱告
[00:00:30.000 --> 00:00:33.440]  我們的得救為上帝祢的心願
[00:00:33.440 --> 00:00:37.280]  而去甘願受苦死在十字架上
[00:00:37.280 --> 00:00:42.640]  讓我們在這個時候再次為了這件事獻上感恩之言
[00:00:42.640 --> 00:00:50.320]  讓我們每一個都能夠好好地學會上主這份侍奉的心志
[00:00:50.320 --> 00:00:57.440]  讓我們能夠在我們今天屬靈人生的路上所行所想所作
[00:00:57.440 --> 00:01:04.560]  都是滿有明白、體貼上主心思而去實踐的事情
[00:01:04.560 --> 00:01:08.240]  禱告奉靠主耶穌基督德性的名字而靠
[00:01:08.240 --> 00:01:08.960]  阿們
[00:01:08.960 --> 00:01:15.040]  移民很多人都為了去找工作而去酬賬
[00:01:15.040 --> 00:01:20.400]  我在加拿大這幾十年的日子裏面
[00:01:20.400 --> 00:01:29.440]  其實在工作上雖然是主要以侍奉主為我的基礎
[00:01:29.440 --> 00:01:33.120]  但是有時候因應著財政的需要
[00:01:33.120 --> 00:01:37.760]  也都試過有很多不同的在加拿大的工作機會
[00:01:37.760 --> 00:01:42.400]  在英語世界裏面工作
[00:01:42.400 --> 00:01:51.360]  其實我想第一個挑戰就是對於這邊的文化或者語言上等等的種種挑戰
[00:01:51.360 --> 00:01:56.800]  我記得我有一份在英語世界的工作
[00:01:56.800 --> 00:02:03.680]  就是做一個移民中心的一個全日的工作
[00:02:03.680 --> 00:02:05.040]  interpreter
[00:02:05.040 --> 00:02:10.160]  大家順帶講一講
[00:02:10.160 --> 00:02:14.800]  interpretation和translation是兩種工作
[00:02:14.800 --> 00:02:22.800]  interpreter除了要將人說的話轉成另一個語言之外
[00:02:22.800 --> 00:02:25.360]  同時要捉到那個語氣
[00:02:25.360 --> 00:02:28.080]  這個是不容易的工作
[00:02:28.080 --> 00:02:33.680]  以及那個反應的快速是很大的需要
[00:02:33.680 --> 00:02:37.360]  所以當時為了要做這份工作
[00:02:37.360 --> 00:02:40.240]  我就要去考一個牌照
[00:02:40.240 --> 00:02:42.880]  要去考一個全日牌
[00:02:42.880 --> 00:02:48.640]  全日牌在加拿大特別安省還有兩個牌你要考的
[00:02:48.640 --> 00:02:52.160]  一個就是一般的全日牌
[00:02:52.160 --> 00:02:59.280]  另一個全日牌就是專門為了家庭暴力去做這個牌照
[00:02:59.280 --> 00:03:06.240]  考完這個考試才可以去真正做一個即時全日者
[00:03:06.240 --> 00:03:13.120]  我記得我第一份找的即時全日工作就是一個移民中心
[00:03:13.120 --> 00:03:20.640]  是一個所謂社福界的一個移民中心裏面的全日員
[00:03:20.640 --> 00:03:24.320]  但是全日不是這麼簡單的一件事
[00:03:24.320 --> 00:03:28.320]  不只是一個人去到懂得一個語言就可以的
[00:03:28.320 --> 00:03:32.080]  有很多的訓練在職訓練
[00:03:32.080 --> 00:03:36.480]  就在第一個星期基本上就很忙碌的
[00:03:36.480 --> 00:03:42.080]  除了要去觀摩人家其他的全日怎樣做之外
[00:03:42.080 --> 00:03:44.960]  因為我就做普通話一國
[00:03:44.960 --> 00:03:49.680]  和廣東話翻譯英語雙向翻譯
[00:03:49.680 --> 00:03:55.440]  所以那個即時的反應是很大的需要
[00:03:55.440 --> 00:03:58.320]  我記得我第一次做的時候
[00:03:58.320 --> 00:04:02.480]  全日沒多久就十多二十分鐘左右
[00:04:02.480 --> 00:04:05.760]  我真的要睡一個多小時才可以恢復元氣
[00:04:05.760 --> 00:04:08.880]  因為用腦是用得很厲害的
[00:04:08.880 --> 00:04:13.120]  因為這麼要求高的工作
[00:04:13.120 --> 00:04:18.880]  那時候我在這個移民中心就有一個導師
[00:04:18.880 --> 00:04:22.320]  專門去訓練我去做這件事
[00:04:22.320 --> 00:04:24.480]  他用了一個星期左右去訓練
[00:04:24.480 --> 00:04:28.400]  但是訓練到最後一個星期
[00:04:28.400 --> 00:04:30.480]  他給的評語就是說
