
[00:00:00.000 --> 00:00:04.040]  我們的賽事院是在教會中設立
[00:00:04.040 --> 00:00:07.120]  也是由教會設立
[00:00:07.120 --> 00:00:11.720]  也同樣是爲教會來的設立
[00:00:11.720 --> 00:00:13.320]  因爲這個緣故
[00:00:13.320 --> 00:00:16.240]  我們的盼望全民皆兵
[00:00:16.240 --> 00:00:17.880]  全民皆將
[00:00:17.880 --> 00:00:21.560]  每一個人在徵道上都能夠好像
[00:00:21.560 --> 00:00:23.200]  牧者一樣同歸於一
[00:00:23.200 --> 00:00:24.400]  這是我的心願
[00:00:26.040 --> 00:00:30.040]  今天我都是有很大的掙扎
[00:00:30.040 --> 00:00:32.360]  到底要講多深
[00:00:32.360 --> 00:00:35.200]  才讓你們能夠了解
[00:00:35.200 --> 00:00:38.040]  今天三學教育的重要性
[00:00:38.040 --> 00:00:43.120]  我大概在八九年前講了一篇的道
[00:00:43.120 --> 00:00:46.840]  就是有關基督是受造的嗎
[00:00:46.840 --> 00:00:49.800]  就講到哥羅西蘇一章15節
[00:00:49.800 --> 00:00:51.440]  講完了以後
[00:00:51.880 --> 00:00:56.480]  我受到一個教會的攻擊
[00:00:56.480 --> 00:00:59.040]  然後很多的文章發表
[00:00:59.040 --> 00:01:03.400]  就批評我所講的立場是有問題
[00:01:03.400 --> 00:01:11.720]  這個教派的本身是受到他們的創辦人影響
[00:01:11.720 --> 00:01:16.400]  認爲耶穌的靈是造物主
[00:01:16.400 --> 00:01:18.960]  他的肉體是受造物
[00:01:18.960 --> 00:01:21.120]  但最大的問題在哪裏
[00:01:21.640 --> 00:01:25.920]  就是在解釋哥羅西蘇一章15節的時間
[00:01:25.920 --> 00:01:30.760]  他們認定耶穌是受造物中的第一個
[00:01:30.760 --> 00:01:40.800]  然後在因爲解經引熱到一個一個的教派就產生出來
[00:01:40.800 --> 00:01:43.840]  其中一個教派叫庫爾派
[00:01:43.840 --> 00:01:45.840]  在中國大陸非常流行
[00:01:45.840 --> 00:01:49.120]  非常多人來到去加入教派
[00:01:49.480 --> 00:01:53.000]  令到我們更加擔心的就從這個庫爾派
[00:01:53.000 --> 00:01:56.400]  後來更產生了東方閃電
[00:01:56.400 --> 00:01:59.880]  因爲東方閃電幕後的黑手
[00:01:59.880 --> 00:02:04.160]  也是在庫爾派來的去聚會成長
[00:02:04.160 --> 00:02:09.320]  後來他自己有智力門戶來的成立東方閃電
[00:02:09.320 --> 00:02:11.360]  各位親愛的弟兄姐妹
[00:02:11.360 --> 00:02:13.120]  因爲這個緣故
[00:02:13.120 --> 00:02:16.520]  我在這個地方跟各位來的分享這些的時間
[00:02:16.880 --> 00:02:20.040]  允許我要回到聖經裏面
[00:02:20.040 --> 00:02:21.720]  這個原文要跟各位
[00:02:21.720 --> 00:02:25.240]  但我儘量要用你們能夠了解的方式
[00:02:25.240 --> 00:02:28.240]  讓你們能夠知道這個真道到底是什麼樣
[00:02:28.240 --> 00:02:33.720]  今天在我們分享這個經文的時間
[00:02:33.720 --> 00:02:37.080]  我同樣也想到一個故事
[00:02:37.080 --> 00:02:39.400]  叫做膝蓋王子
[00:02:39.400 --> 00:02:40.720]  有聽過嗎
[00:02:40.720 --> 00:02:43.840]  有個王子
[00:02:44.840 --> 00:02:47.240]  爲了更加的清楚
[00:02:47.240 --> 00:02:52.720]  整個國家人民在各種生活上實際的需要
[00:02:52.720 --> 00:02:54.960]  瞭解這個國情了以後
[00:02:54.960 --> 00:02:57.400]  讓他能夠成爲一個更好的王子
[00:02:57.400 --> 00:03:01.160]  因爲這個緣故他找到一個跟他非常相像的
[00:03:01.160 --> 00:03:03.880]  這樣很多不同的故事的版本
[00:03:03.880 --> 00:03:05.840]  我就把我的版本跟你們講
[00:03:05.840 --> 00:03:08.480]  找到一個跟他非常相似的人
[00:03:08.480 --> 00:03:09.920]  就跟他有個約定
[00:03:09.920 --> 00:03:12.600]  這個約定就是你帶我做王子
[00:03:12.600 --> 00:03:14.560]  我帶你做膝蓋
[00:03:15.320 --> 00:03:16.400]  因爲這個緣故
[00:03:16.400 --> 00:03:19.480]  他就開始到處去
[00:03:19.480 --> 00:03:22.880]  還用一個膝蓋的身份來的出現
[00:03:22.880 --> 00:03:27.440]  當他真的這樣來的去到國家每一個不同的地方的時間
[00:03:27.440 --> 00:03:30.920]  受盡別人的踐踏
[00:03:30.920 --> 00:03:32.280]  嘲笑
[00:03:32.280 --> 00:03:35.040]  欺侮各方面的東西
[00:03:35.040 --> 00:03:38.320]  都受盡各種不同的侮辱
[00:03:38.320 --> 00:03:43.960]  但是當到後來真正成爲王子了以後
[00:03:44.280 --> 00:03:48.280]  他才曉得如何能夠把這個國家治理得更加的好
[00:03:48.280 --> 00:03:51.400]  叫整個國家裏面那些貧窮的人
[00:03:51.400 --> 00:03:54.400]  能夠真正得着他們應該有的一些的供應
[00:03:54.400 --> 00:03:56.320]  各位都知道
[00:03:56.320 --> 00:03:58.640]  今天要是一個國家的高官
[00:03:58.640 --> 00:04:00.120]  只是高高在上
[00:04:00.120 --> 00:04:03.640]  從來不會爲福出巡
[00:04:03.640 --> 00:04:06.760]  我們叫爲福才能夠讓人能夠知道
[00:04:06.760 --> 00:04:08.720]  因爲爲什麼又一定要爲福
[00:04:08.720 --> 00:04:11.360]  換了一個平民的服裝
[00:04:11.360 --> 00:04:13.640]  不要讓人能夠了解你是高官
[00:04:13.680 --> 00:04:16.080]  不要叫別人知道你是高官
[00:04:16.080 --> 00:04:19.240]  然後出來的時間很多保鏢在那個地方
[00:04:19.240 --> 00:04:21.680]  這樣出去的時間看不到東西的
[00:04:21.680 --> 00:04:24.280]  我們的國家是這個樣子
[00:04:24.280 --> 00:04:26.280]  社會也是這個樣子
