
[00:00:00.000 --> 00:00:02.960]  在開始宣禱之前
[00:00:02.960 --> 00:00:04.960]  讓我們先做一個祈禱
[00:00:04.960 --> 00:00:10.320]  親愛的主,我們感謝讚美你
[00:00:10.320 --> 00:00:15.120]  多謝你讓我們今天可以在這裡領受你給我們的話語
[00:00:15.120 --> 00:00:18.320]  主也求你讓我們有一個謙卑的心
[00:00:18.320 --> 00:00:21.840]  去讓你的話語成為我們生命的動力
[00:00:21.840 --> 00:00:29.200]  以至於我們在地上能活現上帝在我們生命裡所發出的光芒和榮耀
[00:00:29.200 --> 00:00:32.240]  在我們將以下的時間恭敬的交上
[00:00:32.240 --> 00:00:34.240]  求主繼續與我們同在
[00:00:34.240 --> 00:00:38.240]  同心合意的禱告,是奉教主耶穌基督的聖名自祈求
[00:00:38.240 --> 00:00:40.240]  阿們
[00:00:40.240 --> 00:00:44.240]  各位弟兄姊妹,今天是五一勞動節
[00:00:44.240 --> 00:00:47.040]  這是一個國際性的節日
[00:00:47.040 --> 00:00:49.040]  如果我們這幾天看新聞
[00:00:49.040 --> 00:00:53.440]  都可能會有提到這個節日帶來的意義
[00:00:53.440 --> 00:00:57.040]  其實它是源自於19世紀
[00:00:57.040 --> 00:01:03.040]  當時勞工階層為了爭取縮減工作時間和改善工作環境
[00:01:03.040 --> 00:01:07.040]  就發起了一連串大規模的罷工和遊行
[00:01:07.040 --> 00:01:14.240]  最終他們在1886年成功爭取了每一天工作八小時的待遇
[00:01:14.240 --> 00:01:21.040]  去到1889年更加透過國際勞工協會將五月一號定為勞動節
[00:01:21.040 --> 00:01:26.240]  目的就是為了慶祝勞動階層受到社會的重視
[00:01:26.240 --> 00:01:33.040]  亦都提醒各國勞動階層對社會的經濟所造成的貢獻
[00:01:33.040 --> 00:01:36.240]  不過過了一百二十幾年的今天
[00:01:36.240 --> 00:01:41.040]  這個原本提醒社會對勞動階層關注的日子
[00:01:41.040 --> 00:01:43.040]  是否仍然存在呢
