
[00:00:00.000 --> 00:00:02.000]  我們低頭做個禱告
[00:00:02.000 --> 00:00:04.500]  主耶穌我們求祢真的幫助我們
[00:00:04.500 --> 00:00:07.500]  因為過去一個月我們看到
[00:00:07.500 --> 00:00:11.500]  香港的社會有很多的惡在我們當中
[00:00:11.500 --> 00:00:13.500]  無論是
[00:00:13.500 --> 00:00:16.000]  我想無論我們藍營、黃營
[00:00:16.000 --> 00:00:20.500]  我們都不希望見到社會有這麼多的爭拗
[00:00:20.500 --> 00:00:22.000]  這麼多的暴力
[00:00:22.000 --> 00:00:23.500]  求祢幫助我們
[00:00:23.500 --> 00:00:25.000]  在這個社會裏面
[00:00:25.000 --> 00:00:27.000]  更加需要祢的兒女
[00:00:27.000 --> 00:00:29.000]  活出一個愛的見證
[00:00:29.000 --> 00:00:31.000]  幫助我們知道
[00:00:31.000 --> 00:00:33.000]  我們的生命屬於祢
[00:00:33.000 --> 00:00:37.000]  讓我們在這個社會充滿怨氣
[00:00:37.000 --> 00:00:40.000]  充滿一個灰色的一個時間
[00:00:40.000 --> 00:00:43.000]  我們的生命更加能夠為祢去發光
[00:00:43.000 --> 00:00:46.000]  求祢今天聽到的時間
[00:00:46.000 --> 00:00:47.000]  祢親自
[00:00:47.000 --> 00:00:50.000]  祢的聖靈親自教導我們每一個人
[00:00:50.000 --> 00:00:52.000]  禱告奉耶穌基督名
[00:00:52.000 --> 00:00:53.000]  好
[00:00:53.000 --> 00:00:55.000]  這樣我們就
[00:00:55.000 --> 00:00:57.000]  過去幾個星期
[00:00:57.000 --> 00:00:59.000]  其實我在不同的教會講道
[00:00:59.000 --> 00:01:02.000]  都講過一些跟香港近來發生的事有關的東西
[00:01:02.000 --> 00:01:05.000]  今天我主要是講十二章
[00:01:05.000 --> 00:01:07.000]  雖然十二章都有些東西
[00:01:07.000 --> 00:01:10.000]  是會跟今天的處境有些關係
[00:01:10.000 --> 00:01:12.000]  講到的時候再講
